ebsd_id,mesh_id,confidence
5,1,100.0
6,2,98.52
8,3,100.0
9,4,99.79
10,5,100.0
11,6,98.65
12,7,96.59
13,8,93.79
14,9,98.88
15,10,96.35
16,11,100.0
17,12,98.44
18,13,99.18
19,14,100.0
20,15,96.67
22,16,100.0
23,17,94.26
24,18,93.82
25,19,90.4
26,20,96.6
27,21,90.29
28,22,96.56
29,23,97.5
30,24,99.35
31,25,89.08
32,26,91.57
33,27,95.54
34,28,93.9
35,29,95.05
36,30,96.14
37,31,97.31
38,32,94.88
39,33,97.14
40,34,93.55
41,35,97.6
42,36,99.59
43,37,99.31
44,38,98.59
45,39,97.6
46,40,94.26
47,41,94.87
48,42,93.57
49,43,99.01
50,44,99.89
51,45,99.12
52,46,100.0
53,47,98.09
54,48,95.6
55,49,99.44
57,50,99.83
58,51,97.87
59,52,92.5
60,53,95.46
61,54,99.16
62,55,95.18
63,56,96.83
64,57,99.24
65,58,94.48
66,59,90.96
67,60,99.23
68,61,96.31
69,62,96.61
71,63,97.55
72,64,94.62
73,65,96.55
74,66,94.6
75,67,91.11
76,68,97.24
77,69,95.34
78,70,94.6
79,71,92.63
80,72,98.59
81,73,89.78
82,74,93.7
83,75,100.0
84,76,97.4
85,77,98.0
86,78,98.65
87,79,91.78
88,80,97.02
89,81,92.22
90,82,100.0
91,83,94.92
92,84,94.87
93,85,95.0
94,86,98.59
95,87,99.35
96,88,96.67
97,89,96.67
98,90,91.28
99,91,94.28
100,92,96.12
101,93,98.37
102,94,95.84
103,95,97.94
104,96,93.33
105,97,97.56
106,98,93.71
107,99,97.7
108,100,90.69
109,101,95.13
110,102,96.34
111,103,100.0
112,104,91.37
113,105,94.74
114,106,96.51
115,107,96.69
116,108,95.51
117,109,96.0
118,110,90.0
119,111,96.0
120,112,94.44
121,113,97.37
122,114,94.57
123,115,99.18
124,116,98.29
125,117,98.13
126,118,96.31
127,119,97.78
128,120,100.0
129,121,98.1
130,122,98.0
131,123,98.11
132,124,98.61
133,125,98.12
134,126,100.0
135,127,99.28
137,128,96.2
138,129,95.98
139,130,87.66
140,131,100.0
141,132,90.71
142,133,97.42
143,134,93.55
144,135,95.24
145,136,93.1
146,137,96.57
147,138,97.56
148,139,97.87
149,140,96.86
150,141,89.11
151,142,100.0
152,143,95.35
153,144,96.93
154,145,95.11
155,146,89.62
156,147,97.27
157,148,100.0
158,149,94.67
159,150,97.27
160,151,96.01
161,152,97.18
162,153,98.41
163,154,96.54
164,155,94.93
165,156,91.01
166,157,96.13
167,158,95.9
168,159,97.73
169,160,97.67
170,161,97.73
171,162,99.24
172,163,92.5
173,164,96.67
174,165,93.55
175,166,94.92
176,167,97.21
177,168,95.32
178,169,91.88
179,170,98.36
180,171,92.41
181,172,94.59
182,173,95.11
183,174,93.85
184,175,98.32
185,176,95.57
186,177,100.0
187,178,96.99
188,179,94.8
189,180,97.87
190,181,93.76
191,182,100.0
192,183,92.38
194,184,99.08
195,185,97.76
196,186,99.44
197,187,100.0
198,188,100.0
199,189,98.04
200,190,99.52
201,191,96.29
202,192,96.52
203,193,95.21
204,194,95.74
205,195,96.82
206,196,91.11
207,197,97.0
208,198,96.03
209,199,96.88
210,200,93.54
211,201,98.86
212,202,93.47
213,203,97.36
214,204,98.27
215,205,98.75
216,206,93.62
217,207,100.0
218,208,98.92
219,209,95.23
220,210,97.54
221,211,98.19
222,212,97.45
223,213,91.72
224,214,100.0
225,215,90.28
226,216,100.0
227,217,99.62
228,218,97.24
229,219,96.95
230,220,96.77
231,221,94.89
232,222,91.69
233,223,93.68
234,224,97.31
235,225,93.25
236,226,90.42
237,227,96.74
238,228,94.79
239,229,95.29
240,230,98.32
241,231,95.62
242,232,97.86
243,233,97.61
244,234,96.92
245,235,92.05
246,236,97.76
247,237,97.27
248,238,95.2
249,239,95.95
250,240,100.0
251,241,96.85
252,242,96.59
253,243,95.48
254,244,94.1
255,245,95.42
256,246,98.54
257,247,97.44
258,248,93.7
259,249,92.56
260,250,97.01
261,251,97.27
262,252,98.4
263,253,97.07
264,254,97.06
265,255,98.73
267,256,94.79
268,257,96.91
269,258,92.45
270,259,91.23
271,260,98.64
272,261,96.67
273,262,99.72
274,263,95.06
275,264,90.75
276,265,95.8
277,266,99.11
278,267,96.39
279,268,96.77
280,269,97.54
281,270,91.75
282,271,94.46
283,272,95.84
284,273,97.71
285,274,96.07
286,275,99.06
287,276,97.46
288,277,96.55
289,278,97.14
290,279,98.21
291,280,97.5
293,281,96.59
294,282,90.4
295,283,96.14
296,284,98.86
297,285,98.61
298,286,92.89
299,287,96.19
300,288,99.52
301,289,97.68
302,290,96.67
303,291,96.81
304,292,99.65
305,293,96.77
306,294,93.33
307,295,92.45
308,296,97.34
309,297,98.36
310,298,95.7
311,299,96.43
312,300,93.09
313,301,100.0
314,302,94.85
315,303,95.81
316,304,91.11
317,305,92.83
318,306,94.86
319,307,92.93
320,308,90.62
321,309,97.78
322,310,100.0
323,311,96.12
324,312,91.71
325,313,94.23
326,314,98.31
327,315,92.38
328,316,94.34
329,317,99.82
330,318,96.0
331,319,98.25
332,320,97.8
333,321,100.0
334,322,95.71
335,323,91.46
336,324,95.08
337,325,95.8
338,326,98.69
339,327,94.36
340,328,95.34
341,329,94.64
342,330,100.0
343,331,97.44
344,332,91.92
345,333,98.22
346,334,93.29
347,335,92.11
348,336,97.87
349,337,98.42
350,338,95.73
351,339,92.86
