ebsd_id,mesh_id,confidence
1,1,100.0
6,2,100.0
7,3,57.89
8,4,76.92
9,5,93.33
10,6,100.0
11,7,90.0
12,8,79.17
13,9,85.71
14,10,100.0
15,11,100.0
16,12,88.89
18,13,100.0
19,14,100.0
20,15,72.22
21,16,100.0
22,17,93.06
23,18,90.91
24,19,90.48
25,20,100.0
26,21,100.0
27,22,95.56
28,23,100.0
29,24,95.83
30,25,100.0
31,26,97.78
32,27,100.0
33,28,92.86
34,29,100.0
35,30,96.49
36,31,95.24
37,32,100.0
38,33,80.8
39,34,100.0
40,35,82.35
41,36,85.51
42,37,100.0
43,38,87.5
44,39,92.86
45,40,73.33
46,41,100.0
47,42,94.44
48,43,100.0
49,44,96.97
50,45,88.24
51,46,92.86
53,47,100.0
54,48,80.0
56,49,84.1
57,50,100.0
58,51,81.58
59,52,85.71
60,53,100.0
61,54,100.0
62,55,100.0
63,56,88.89
64,57,87.69
66,58,91.42
67,59,100.0
68,60,92.86
69,61,81.82
70,62,98.25
72,63,100.0
73,64,85.71
74,65,85.9
75,66,91.67
76,67,83.33
77,68,92.86
78,69,98.55
79,70,100.0
80,71,90.91
81,72,90.91
82,73,95.45
83,74,89.9
84,75,90.91
85,76,94.74
86,77,92.86
87,78,87.5
88,79,93.33
89,80,96.83
90,81,92.86
91,82,100.0
92,83,100.0
93,84,100.0
95,85,85.71
96,86,83.33
97,87,71.79
99,88,90.91
100,89,68.63
101,90,67.95
102,91,100.0
103,92,98.61
104,93,92.75
105,94,100.0
106,95,86.49
107,96,96.97
108,97,92.86
109,98,100.0
110,99,82.78
111,100,72.5
112,101,90.55
113,102,100.0
114,103,92.11
115,104,92.86
116,105,72.22
117,106,100.0
118,107,85.71
119,108,80.0
120,109,92.31
122,110,90.48
123,111,100.0
125,112,100.0
126,113,100.0
127,114,100.0
128,115,88.89
129,116,91.49
130,117,94.12
132,118,69.44
133,119,100.0
134,120,92.86
135,121,100.0
136,122,100.0
137,123,100.0
138,124,82.46
139,125,97.44
140,126,100.0
141,127,93.33
142,128,93.33
143,129,90.91
145,130,100.0
146,131,81.25
147,132,93.33
148,133,76.47
149,134,88.24
150,135,54.55
151,136,87.88
152,137,100.0
153,138,100.0
154,139,70.0
155,140,95.45
156,141,100.0
157,142,100.0
158,143,100.0
159,144,92.86
161,145,88.89
162,146,83.33
163,147,100.0
164,148,93.14
165,149,92.86
166,150,81.48
167,151,94.62
168,152,100.0
169,153,82.98
171,154,75.0
172,155,100.0
173,156,89.03
175,157,100.0
176,158,85.96
177,159,100.0
178,160,95.65
179,161,95.24
180,162,95.45
181,163,100.0
183,164,72.73
185,165,66.67
186,166,84.21
187,167,100.0
188,168,95.65
189,169,92.86
190,170,93.52
191,171,90.91
192,172,94.29
193,173,90.91
194,174,100.0
195,175,100.0
196,176,89.86
197,177,92.86
198,178,80.7
199,179,100.0
200,180,100.0
201,181,100.0
202,182,60.26
203,183,94.74
204,184,85.71
205,185,90.91
206,186,100.0
207,187,94.12
208,188,88.46
209,189,86.27
210,190,95.83
211,191,83.33
212,192,90.0
213,193,100.0
215,194,100.0
216,195,84.92
217,196,89.29
218,197,100.0
219,198,76.32
220,199,100.0
221,200,100.0
222,201,95.45
223,202,93.06
224,203,100.0
225,204,75.0
226,205,100.0
227,206,92.86
228,207,100.0
229,208,81.82
230,209,94.29
231,210,93.33
232,211,90.91
233,212,72.22
234,213,90.0
235,214,100.0
236,215,96.97
237,216,80.0
238,217,100.0
239,218,85.0
240,219,100.0
241,220,92.86
242,221,97.22
243,222,92.0
244,223,100.0
245,224,75.0
246,225,82.35
247,226,100.0
248,227,77.78
249,228,90.55
250,229,100.0
251,230,100.0
252,231,100.0
253,232,100.0
254,233,95.24
255,234,100.0
256,235,75.0
257,236,92.16
258,237,100.0
259,238,80.65
261,239,100.0
262,240,100.0
264,241,90.6
265,242,75.83
268,243,85.71
269,244,92.31
270,245,86.96
271,246,94.87
272,247,100.0
273,248,100.0
274,249,90.0
275,250,100.0
276,251,81.98
277,252,88.89
278,253,86.11
279,254,92.86
280,255,100.0
281,256,100.0
282,257,100.0
283,258,100.0
284,259,100.0
285,260,100.0
286,261,94.67
287,262,92.98
288,263,87.5
289,264,87.5
291,265,79.49
292,266,91.67
293,267,71.98
294,268,97.62
295,269,79.17
299,270,100.0
300,271,100.0
302,272,94.74
303,273,100.0
304,274,100.0
306,275,91.67
309,276,100.0
312,277,100.0
313,278,72.73
