ebsd_id,mesh_id,confidence
7,1,57.89
16,2,100.0
21,3,53.12
22,4,56.52
27,5,63.04
29,6,54.84
31,7,57.14
35,8,56.52
37,9,86.36
38,10,66.67
40,11,100.0
41,12,81.25
46,13,100.0
49,14,92.31
56,15,72.88
59,16,58.62
61,17,100.0
64,18,59.7
66,19,75.68
77,20,58.33
78,21,58.33
80,22,70.0
81,23,84.21
82,24,84.93
88,25,37.93
97,26,73.68
99,27,61.9
102,28,57.89
103,29,85.71
106,30,62.5
109,31,100.0
110,32,81.25
112,33,67.39
114,34,88.24
119,35,66.67
120,36,64.29
123,37,52.0
125,38,70.0
128,39,88.0
129,40,90.0
138,41,68.42
140,42,63.64
146,43,64.81
148,44,100.0
149,45,81.25
155,46,72.0
156,47,38.1
162,48,87.5
164,49,88.46
166,50,100.0
167,51,70.0
169,52,72.73
173,53,50.67
176,54,56.25
178,55,85.0
179,56,66.67
185,57,90.0
186,58,100.0
190,59,79.31
192,60,100.0
195,61,73.91
198,62,65.38
202,63,60.0
207,64,90.0
208,65,66.67
211,66,68.33
213,67,78.95
216,68,73.58
217,69,61.11
219,70,72.41
222,71,62.5
223,72,71.88
230,73,100.0
231,74,100.0
239,75,72.22
241,76,52.0
242,77,100.0
245,78,57.89
246,79,76.19
247,80,61.11
249,81,69.51
250,82,58.33
251,83,82.61
252,84,54.55
258,85,100.0
259,86,78.95
261,87,100.0
264,88,90.0
265,89,77.5
269,90,64.71
271,91,81.25
274,92,78.95
275,93,55.0
276,94,75.0
278,95,52.0
279,96,81.25
286,97,61.29
289,98,100.0
293,99,61.54
294,100,76.19
299,101,66.67
100001,102,81.45
100002,103,83.87
