average_strain,average_grain_strain,average_grip_strain,average_stress,average_grain_stress,average_grip_stress,average_elastic,average_grain_elastic,average_grip_elastic,g1_stress,g2_stress,g3_stress,g4_stress,g1_elastic,g2_elastic,g3_elastic,g4_elastic,g1_volume,g2_volume,g3_volume,g4_volume,g1_phi_1,g1_Phi,g1_phi_2,g2_phi_1,g2_Phi,g2_phi_2,g3_phi_1,g3_Phi,g3_phi_2,g4_phi_1,g4_Phi,g4_phi_2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2832,2.3562,0.78541,1.1868,0.66322,1.2566,1.9199,1.309,1.3963,4.7124,0.0,1.5708
0.00012205,0.00013251,8.0225e-05,16.581,16.581,16.581,0.00012205,0.00013251,8.0225e-05,16.581,16.581,16.581,16.582,0.00011678,9.9951e-05,0.00014067,0.00017207,0.20238,0.19762,0.19762,0.20238,6.2832,2.3562,0.78539,1.1868,0.66325,1.2566,1.9199,1.309,1.3963,0.51831,2.8042e-06,5.7649
0.00024409,0.00026501,0.00016043,33.159,33.16,33.157,0.00024409,0.000265,0.00016043,33.159,33.158,33.161,33.163,0.00023354,0.00019988,0.00028131,0.00034413,0.20238,0.19762,0.19762,0.20238,6.2831,2.3562,0.78537,1.1868,0.66326,1.2566,1.9199,1.309,1.3963,0.56553,5.7499e-06,5.7176
0.00048811,0.00052997,0.00032067,66.283,66.285,66.273,0.00048791,0.00052973,0.00032067,66.281,66.277,66.288,66.296,0.00046681,0.00039953,0.00056233,0.00068795,0.20238,0.19762,0.19762,0.20238,6.2831,2.3563,0.78534,1.1867,0.66329,1.2567,1.9199,1.309,1.3963,0.64577,1.2078e-05,5.6374
0.00097588,0.0010608,0.0006361,131.47,131.48,131.43,0.00096772,0.0010506,0.00063605,131.46,131.44,131.49,131.52,0.00092561,0.00079248,0.0011153,0.0013646,0.20238,0.19762,0.19762,0.20238,6.283,2.3563,0.78531,1.1867,0.66336,1.2567,1.92,1.309,1.3963,0.76469,2.6732e-05,5.5184
0.0019503,0.0021486,0.0011571,234.65,234.7,234.49,0.0017265,0.0018739,0.001137,234.63,234.54,234.73,234.87,0.0016472,0.0014165,0.0019894,0.0024343,0.20238,0.19762,0.19762,0.20238,6.2829,2.3565,0.78524,1.1865,0.66348,1.2568,1.92,1.309,1.3964,0.87151,6.7505e-05,5.4116
0.0038938,0.0044236,0.0017748,309.26,309.41,308.64,0.0022725,0.0024649,0.0015031,309.24,308.76,309.56,310.09,0.0021543,0.0018731,0.0026176,0.0032041,0.20238,0.19762,0.19762,0.20238,6.2826,2.3571,0.78511,1.1858,0.66375,1.2571,1.92,1.3091,1.3966,0.8886,0.00016658,5.3944
0.007759,0.0089918,0.0028281,340.23,340.64,338.61,0.002498,0.0027089,0.0016544,340.27,338.78,341.06,342.41,0.0023541,0.0020627,0.0028782,0.0035295,0.20238,0.19762,0.19762,0.20238,6.2819,2.3583,0.78487,1.1845,0.66426,1.2578,1.92,1.3096,1.3969,0.88802,0.00032968,5.3948
0.015411,0.017901,0.0054498,364.91,365.8,361.35,0.0026818,0.0029111,0.0017646,365.14,361.52,366.84,369.61,0.00252,0.0022042,0.0030947,0.0038131,0.20238,0.19762,0.19762,0.20238,6.2807,2.3611,0.78454,1.1821,0.66509,1.259,1.9198,1.3111,1.3973,0.83187,0.00053681,5.4505
0.030439,0.034837,0.012848,403.09,404.83,396.13,0.0029726,0.0032346,0.0019246,403.88,395.72,407.19,412.4,0.0027924,0.002414,0.0034429,0.0042748,0.20238,0.19762,0.19762,0.20238,6.2789,2.3674,0.78419,1.1781,0.66636,1.2613,1.919,1.3149,1.398,0.52809,0.00065328,5.7532
0.059772,0.066269,0.033786,465.73,468.73,453.76,0.0034556,0.0037739,0.0021824,467.5,449.5,473.8,483.76,0.0032504,0.0027449,0.0040306,0.0050515,0.20238,0.19762,0.19762,0.20238,6.2765,2.3807,0.78369,1.1718,0.66833,1.2655,1.9161,1.3227,1.3988,0.10862,0.00080609,6.1698
0.11567,0.12037,0.096847,558.27,560.99,547.4,0.0041767,0.0045731,0.0025908,559.58,521.32,571.19,591.18,0.0039273,0.0031887,0.0049298,0.0062225,0.20238,0.19762,0.19762,0.20238,6.2749,2.406,0.78339,1.1633,0.67132,1.2722,1.907,1.3371,1.3997,5.6566,0.00093702,0.61609
0.21733,0.20459,0.26829,666.9,659.04,698.37,0.0050251,0.0054716,0.0032391,653.97,580.53,676.64,723.57,0.0046457,0.0035587,0.0060051,0.0076442,0.20238,0.19762,0.19762,0.20238,6.2732,2.4448,0.78207,1.1509,0.67617,1.2824,1.8817,1.3609,1.4027,4.688,0.0040854,1.5803
0.36823,0.28401,0.70511,575.76,523.81,783.59,0.0041907,0.0043355,0.0036111,502.91,427.18,530.12,632.9,0.0035854,0.002627,0.004829,0.0062723,0.20238,0.19762,0.19762,0.20238,6.2491,2.4739,0.76294,1.1457,0.68778,1.272,1.8463,1.3952,1.396,4.0676,0.033949,2.1874
