average_strain,average_grain_strain,average_grip_strain,average_stress,average_grain_stress,average_grip_stress,average_elastic,average_grain_elastic,average_grip_elastic,g1_stress,g2_stress,g3_stress,g4_stress,g1_elastic,g2_elastic,g3_elastic,g4_elastic,g1_volume,g2_volume,g3_volume,g4_volume,g1_phi_1,g1_Phi,g1_phi_2,g2_phi_1,g2_Phi,g2_phi_2,g3_phi_1,g3_Phi,g3_phi_2,g4_phi_1,g4_Phi,g4_phi_2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2832,2.3562,0.78541,1.1868,0.66322,1.2566,1.9199,1.309,1.3963,4.7124,0.0,1.5708
0.00012206,0.00012206,0.00012205,25.753,25.753,25.753,0.00012205,0.00012205,0.00012205,25.753,25.753,25.753,25.753,0.00012205,0.00012205,0.00012205,0.00012205,0.20238,0.19762,0.19762,0.20238,1.3562e-05,2.3562,0.78541,1.1868,0.66322,1.2566,1.9199,1.309,1.3963,-4.6849e-11,0.0,-4.6849e-11
0.0002441,0.0002441,0.00024407,51.497,51.497,51.497,0.00024406,0.00024406,0.00024407,51.497,51.497,51.497,51.497,0.00024406,0.00024407,0.00024406,0.00024406,0.20238,0.19762,0.19762,0.20238,1.3562e-05,2.3562,0.78541,1.1868,0.66322,1.2566,1.9199,1.309,1.3963,-1.048e-09,0.0,-1.048e-09
0.00048812,0.00048845,0.00048678,102.69,102.69,102.69,0.00048669,0.00048667,0.00048678,102.69,102.69,102.69,102.69,0.00048664,0.00048673,0.00048669,0.00048661,0.20238,0.19762,0.19762,0.20238,1.3562e-05,2.3562,0.78541,1.1868,0.66322,1.2566,1.9199,1.309,1.3963,5.2162,1.7249e-07,1.0669
0.00097592,0.00098762,0.00092911,195.12,195.12,195.11,0.00092475,0.00092408,0.0009274,195.12,195.11,195.13,195.13,0.00092327,0.00092602,0.00092464,0.00092247,0.20238,0.19762,0.19762,0.20238,6.2832,2.3562,0.78539,1.1868,0.66324,1.2566,1.9199,1.309,1.3963,5.4223,4.3468e-06,0.86093
0.0019504,0.0020771,0.0014436,287.11,287.14,286.97,0.0013607,0.0013564,0.001378,287.12,286.98,287.17,287.3,0.0013503,0.0013698,0.0013588,0.0013469,0.20238,0.19762,0.19762,0.20238,6.283,2.3564,0.78532,1.1866,0.66335,1.2568,1.9199,1.309,1.3964,0.052532,2.8316e-05,6.2306
0.0038939,0.0043714,0.0019835,327.39,327.55,326.79,0.0015516,0.0015431,0.0015859,327.43,326.82,327.68,328.23,0.0015301,0.0015697,0.0015466,0.0015266,0.20238,0.19762,0.19762,0.20238,6.2827,2.357,0.78515,1.186,0.66366,1.2571,1.9199,1.3091,1.3965,0.60851,0.00011584,5.6746
0.0077594,0.0089366,0.0030507,345.96,346.35,344.36,0.0016396,0.0016294,0.0016803,346.06,344.43,346.78,348.11,0.0016129,0.0016595,0.0016335,0.0016126,0.20238,0.19762,0.19762,0.20238,6.282,2.3583,0.78488,1.1847,0.66421,1.2578,1.9199,1.3096,1.3968,0.77466,0.00028678,5.5082
0.015413,0.017823,0.0057737,368.64,369.52,365.15,0.0017471,0.0017385,0.0017815,368.97,365.18,370.57,373.27,0.00172,0.0017611,0.0017442,0.0017295,0.20238,0.19762,0.19762,0.20238,6.2807,2.3612,0.78454,1.1823,0.66506,1.2591,1.9197,1.311,1.3973,0.77528,0.00051845,5.5072
0.030446,0.034702,0.01342,406.59,408.29,399.76,0.001927,0.0019236,0.0019406,407.49,399.13,410.66,415.74,0.0019033,0.0019258,0.0019325,0.0019328,0.20238,0.19762,0.19762,0.20238,6.279,2.3675,0.78423,1.1782,0.66636,1.2614,1.9189,1.3148,1.3981,0.45917,0.00063758,5.8222
0.059791,0.066006,0.034935,469.05,471.94,457.48,0.002223,0.0022292,0.0021982,470.97,452.71,477.04,486.72,0.00221,0.0021863,0.0022446,0.0022752,0.20238,0.19762,0.19762,0.20238,6.2767,2.3808,0.78379,1.1719,0.66837,1.2657,1.916,1.3226,1.399,6.2029,0.00078703,0.075588
0.1157,0.11988,0.09894,560.55,563.01,550.69,0.0026562,0.0026694,0.0026033,561.87,523.39,573.12,592.96,0.0026577,0.0025313,0.0026989,0.0027873,0.20238,0.19762,0.19762,0.20238,6.2753,2.4058,0.78365,1.1632,0.67139,1.2727,1.9066,1.3371,1.4003,5.3782,0.0010772,0.8948
0.21754,0.20385,0.27231,669.14,660.61,703.26,0.0031672,0.0031443,0.0032588,656.06,582.27,678.21,724.45,0.0031371,0.0028211,0.0031893,0.003423,0.20238,0.19762,0.19762,0.20238,6.2738,2.4449,0.78255,1.1505,0.67637,1.2833,1.8816,1.3604,1.4033,4.6749,0.0039769,1.5935
0.36843,0.28378,0.70703,582.14,529.5,792.7,0.0027357,0.0025063,0.003653,508.36,431.85,536.06,639.62,0.0024477,0.0020978,0.0025069,0.0029633,0.20238,0.19762,0.19762,0.20238,6.2494,2.4743,0.76334,1.1442,0.68841,1.2738,1.8457,1.3946,1.3976,4.0763,0.033504,2.1802
