average_strain,average_grain_strain,average_grip_strain,average_stress,average_grain_stress,average_grip_stress,average_elastic,average_grain_elastic,average_grip_elastic,g1_stress,g2_stress,g3_stress,g4_stress,g1_elastic,g2_elastic,g3_elastic,g4_elastic,g1_volume,g2_volume,g3_volume,g4_volume,g1_phi_1,g1_Phi,g1_phi_2,g2_phi_1,g2_Phi,g2_phi_2,g3_phi_1,g3_Phi,g3_phi_2,g4_phi_1,g4_Phi,g4_phi_2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2832,2.3562,0.78541,1.1868,0.66322,1.2566,1.9199,1.309,1.3963,4.7124,0.0,1.5708
0.00012206,0.00012206,0.00012205,25.754,25.754,25.754,0.00012205,0.00012205,0.00012205,25.754,25.754,25.753,25.753,0.00012205,0.00012206,0.00012205,0.00012205,0.2,0.2,0.2,0.2,1.3562e-05,2.3562,0.78541,1.1868,0.66322,1.2566,1.9199,1.309,1.3963,1.1256e-10,0.0,1.1256e-10
0.0002441,0.00024411,0.00024408,51.5,51.5,51.5,0.00024408,0.00024407,0.00024408,51.5,51.504,51.5,51.496,0.00024407,0.00024409,0.00024407,0.00024405,0.2,0.2,0.2,0.2,1.3562e-05,2.3562,0.78541,1.1868,0.66322,1.2566,1.9199,1.309,1.3963,2.6567e-09,0.0,2.6567e-09
0.00048812,0.00048889,0.00048735,102.81,102.81,102.81,0.00048723,0.00048711,0.00048735,102.81,102.98,102.79,102.64,0.00048716,0.00048798,0.00048701,0.00048629,0.2,0.2,0.2,0.2,1.3562e-05,2.3562,0.78541,1.1868,0.66322,1.2566,1.9199,1.309,1.3963,2.9985,5.1619e-08,3.2847
0.00097592,0.0010029,0.00094893,198.97,198.97,198.96,0.00094296,0.00093906,0.00094687,198.8,205.01,198.24,193.82,0.00093929,0.00096869,0.00093437,0.00091388,0.2,0.2,0.2,0.2,1.8394e-06,2.3562,0.7854,1.1868,0.66323,1.2566,1.9199,1.309,1.3963,2.9973,1.998e-06,3.2859
0.0019505,0.0022401,0.0016609,315.65,315.73,315.58,0.001496,0.0014654,0.0015266,309.44,362.72,306.94,283.8,0.0014434,0.0016929,0.0014136,0.0013116,0.2,0.2,0.2,0.2,1.0805e-05,2.3565,0.7854,1.1869,0.66325,1.2567,1.9199,1.3092,1.3962,3.0242,2.8665e-05,3.2591
0.003895,0.0049093,0.0028808,377.23,377.55,376.91,0.0017878,0.0017266,0.001849,364.78,458.51,361.14,325.74,0.0016853,0.0021211,0.0016271,0.0014732,0.2,0.2,0.2,0.2,6.9367e-05,2.3574,0.78542,1.1869,0.66329,1.2569,1.9199,1.3096,1.396,3.0549,0.00013037,3.2288
0.0077666,0.010069,0.005464,399.61,400.39,398.82,0.0018939,0.001825,0.0019628,386.58,488.35,381.41,345.23,0.0017865,0.0022597,0.0017074,0.0015465,0.2,0.2,0.2,0.2,0.00018525,2.3593,0.78546,1.187,0.66335,1.2574,1.9199,1.3105,1.3955,3.0783,0.00034935,3.2062
0.015444,0.019791,0.011096,418.75,420.33,417.17,0.0019846,0.001928,0.0020412,406.78,507.8,399.3,367.44,0.001892,0.0023687,0.0018004,0.0016509,0.2,0.2,0.2,0.2,0.00038211,2.363,0.78554,1.1872,0.6635,1.2581,1.92,1.3123,1.3945,3.1045,0.0007386,3.1817
0.030552,0.037548,0.023557,448.78,451.5,446.06,0.0021269,0.0020994,0.0021545,437.83,537.59,427.2,403.36,0.0020604,0.0025449,0.0019596,0.0018327,0.2,0.2,0.2,0.2,0.00068588,2.3697,0.78564,1.188,0.66395,1.2593,1.9196,1.3158,1.3931,3.1455,0.0013467,3.1438
0.060089,0.069322,0.050856,497.19,501.04,493.34,0.0023564,0.0023779,0.0023348,486.66,585.38,471.38,460.76,0.0023317,0.0028321,0.0022196,0.0021283,0.2,0.2,0.2,0.2,0.001139,2.3816,0.78575,1.19,0.66509,1.261,1.9178,1.3222,1.3913,3.2101,0.0022289,3.0845
0.11643,0.12192,0.11093,568.48,570.39,566.57,0.0026943,0.002775,0.0026136,555.54,649.52,533.72,542.76,0.0027223,0.0032318,0.0025921,0.0025537,0.2,0.2,0.2,0.2,0.0018177,2.3998,0.7857,1.1934,0.66785,1.2639,1.9111,1.3332,1.3901,3.3183,0.0033398,2.9838
0.21954,0.20261,0.23646,661.31,648.61,674.01,0.0031344,0.0032399,0.0030289,635.89,707.22,604.88,646.45,0.0031919,0.0036459,0.003029,0.0030929,0.2,0.2,0.2,0.2,0.0033826,2.4249,0.78516,1.1962,0.67344,1.2688,1.8909,1.3508,1.391,3.4988,0.0040714,2.809
0.3929,0.31309,0.47271,743.89,685.97,801.82,0.0035216,0.0035115,0.0035316,681.14,690.55,640.64,731.53,0.0035264,0.0037404,0.0032965,0.0034827,0.2,0.2,0.2,0.2,0.0022833,2.4527,0.78302,1.189,0.68194,1.2728,1.8329,1.3761,1.3937,3.6588,0.0059291,2.6342
