param_type,param_name,in_l_bound,out_u_bound,out_l_bound,base,in_u_bound
input,cp_lh_0,1.0376654933508023,1,0,10,2.59387285429545
input,cp_lh_1,0.7002103137560209,1,0,10,2.5927206731620704
input,cp_tau_0,0.3314070492197811,1,0,10,2.2963799537713854
input,cp_n,0.08632423130738509,1,0,10,1.202106711390236
input,average_strain,-2.5301927061182092,1,0,10,-1.001418112792836
output,average_stress,1.3088204331099595,1,0,10,2.8769218431745798
output,g207_phi_1,0.2963141033532408,1,0,10,0.3094385246419241
output,g207_Phi,0.2626646246762555,1,0,10,0.28080592839366675
output,g207_phi_2,0.5745058369773249,1,0,10,0.5820861002474853
output,g79_phi_1,-0.06863367643777883,1,0,10,-0.044067036328522255
output,g79_Phi,0.32531037171106114,1,0,10,0.33739935447189734
output,g79_phi_2,0.4795177267113793,1,0,10,0.48599100277067664
output,g164_phi_1,-0.5907941258104265,1,0,10,-0.47252477158779127
output,g164_Phi,0.36114208775333284,1,0,10,0.3736842129970154
output,g164_phi_2,0.5308525706072698,1,0,10,0.5350534821002711
output,g167_phi_1,0.07605759576282589,1,0,10,0.11829780133277645
output,g167_Phi,0.3989637361255204,1,0,10,0.40346370134531745
output,g167_phi_2,0.47299034967665815,1,0,10,0.48217300471365826
output,g309_phi_1,0.29913669374401425,1,0,10,0.31991764989524263
output,g309_Phi,0.3567140605833945,1,0,10,0.3675981636798332
output,g309_phi_2,0.607154666400511,1,0,10,0.6098930840292818
