param_type,param_name,out_u_bound,out_l_bound,in_u_bound,base,in_l_bound
input,cp_lh_0,1,0,2.599162287443591,10,0.13305964275390958
input,cp_lh_1,1,0,2.601266679781316,10,0.4886494085772019
input,cp_lh_2,1,0,2.6009293552103063,10,0.4185498620497421
input,cp_lh_3,1,0,2.5994136057906365,10,0.48354450722730546
input,cp_lh_4,1,0,2.599784853673271,10,0.4652043375806298
input,cp_lh_5,1,0,2.5988889502733934,10,0.36552542245670905
input,cp_tau_0,1,0,2.297826142585328,10,-1.1222774438792018
input,cp_n,1,0,1.2019976195831052,10,0.04289038972924469
input,average_strain,1,0,-1.0222718232143504,10,-2.593187406521577
output,average_stress,1,0,2.8704741359045043,10,0.5251744278352715
output,g1_phi_1,1,0,0.1952629583420616,10,0.1742052269401471
output,g1_Phi,1,0,0.27149310218565637,10,0.2543546920531665
output,g1_phi_2,1,0,0.6206460774320012,10,0.6189889203649335
output,g5_phi_1,1,0,0.35504903177625635,10,0.34214622363346614
output,g5_Phi,1,0,0.3942765267678214,10,0.38989225544206274
output,g5_phi_2,1,0,0.5673440264062375,10,0.5544891600038189
output,g6_phi_1,1,0,0.11514435179310659,10,0.09537859956006388
output,g6_Phi,1,0,0.3527419150207537,10,0.34619644372920955
output,g6_phi_2,1,0,0.6275092320449425,10,0.6244677402535669
output,g7_phi_1,1,0,0.09349172701093186,10,0.07805786697918683
output,g7_Phi,1,0,0.3021793538132013,10,0.2911467617318856
output,g7_phi_2,1,0,0.6282560667110061,10,0.624746058172765
output,g8_phi_1,1,0,0.4036351897905479,10,0.3907761898062823
output,g8_Phi,1,0,0.4289119391486062,10,0.42293438130700084
output,g8_phi_2,1,0,0.6368488225791462,10,0.6328620401002298
output,g9_phi_1,1,0,-0.04520291296074677,10,-0.10478746898501182
output,g9_Phi,1,0,0.3184390042001922,10,0.3110754083000797
output,g9_phi_2,1,0,0.6286034696183109,10,0.6248696977974012
output,g10_phi_1,1,0,0.21213431346801714,10,0.13836586367899598
output,g10_Phi,1,0,0.40105572577184373,10,0.39445168082621623
output,g10_phi_2,1,0,0.5914875597320195,10,0.5857201006932291
output,g11_phi_1,1,0,0.4932907143060246,10,0.4636989309193742
output,g11_Phi,1,0,0.45586463478752764,10,0.4523385438459995
output,g11_phi_2,1,0,0.7730400457485542,10,0.759833977754929
output,g12_phi_1,1,0,0.1029479680053736,10,0.0690017170456
output,g12_Phi,1,0,0.3084363471676525,10,0.295830894958585
output,g12_phi_2,1,0,0.6274785127181816,10,0.6233630192983596
output,g13_phi_1,1,0,0.2426904740523735,10,0.215082115013175
output,g13_Phi,1,0,0.2407987711173312,10,0.2319535691989811
output,g13_phi_2,1,0,0.6285013211368202,10,0.6267816245216076
output,g14_phi_1,1,0,0.10924096858820327,10,0.08983448870862952
output,g14_Phi,1,0,0.3564083270389812,10,0.34498141392725795
output,g14_phi_2,1,0,0.6310072257894913,10,0.6256930636518195
output,g15_phi_1,1,0,-0.054487101365575275,10,-0.14792887475538877
output,g15_Phi,1,0,0.3194392030460495,10,0.30864977018138456
output,g15_phi_2,1,0,0.6256313653306611,10,0.6216020556224119
output,g16_phi_1,1,0,0.48552268419240424,10,0.44783995843985164
output,g16_Phi,1,0,0.45426541431627665,10,0.45213925235254515
output,g16_phi_2,1,0,0.6680409536322353,10,0.6515396751352143
output,g18_phi_1,1,0,0.7594714236427509,10,0.745160704653903
