Experimental,Low-Fidelity,High-Fidelity
1.2047,1.2269,1.1841
1.1989,1.2269,1.1963
1.1899,1.2269,1.1981
1.2035,1.2274,1.1987
1.1996,1.2281,1.1858
1.1905,1.229,1.1875
1.1944,1.2302,1.1879
1.2149,1.2313,1.189
1.2116,1.2337,1.1906
1.2313,1.2346,1.1925
1.2362,1.2348,1.1945
1.2433,1.2371,1.1954
1.2526,1.2437,1.1977
1.2512,1.2477,1.2032
1.2644,1.2527,1.2073
1.2823,1.2576,1.212
1.2912,1.2639,1.2177
1.3216,1.2725,1.2254
1.3578,1.2815,1.2343
1.3776,1.2981,1.2494
1.4104,1.3148,1.2648
1.4558,1.3333,1.2848
1.4964,1.352,1.2988
1.5237,1.3691,1.3154
