Experimental,Low-Fidelity,High-Fidelity
1.2069,1.2269,1.1854
1.1989,1.2269,1.1854
1.1899,1.2269,1.1854
1.2035,1.2277,1.186
1.1996,1.229,1.1869
1.1905,1.2305,1.1883
1.1944,1.2324,1.1898
1.2149,1.2344,1.1916
1.2116,1.2379,1.1946
1.2313,1.2415,1.1985
1.2362,1.2435,1.2
1.2433,1.2469,1.2051
1.2526,1.2557,1.2096
1.2512,1.2641,1.2172
1.2644,1.2727,1.2255
1.2823,1.2812,1.2344
1.2912,1.293,1.2451
1.3216,1.3086,1.2597
1.3578,1.3257,1.2754
1.3776,1.3541,1.3036
1.4104,1.3815,1.3301
1.4558,1.416,1.3614
1.4964,1.4453,1.3909
1.5237,1.4701,1.4211
