Experimental,Run 1,Run 2,Run 3,Run 4,Run 5
1.2047,1.2269,1.2269,1.2269,1.2269,1.2269
1.1989,1.2269,1.2269,1.2269,1.2269,1.2269
1.1899,1.2269,1.2269,1.2269,1.2269,1.2269
1.2035,1.2278,1.2278,1.2276,1.2274,1.2273
1.1996,1.2292,1.2294,1.2287,1.2281,1.2281
1.1905,1.2308,1.231,1.23,1.229,1.2289
1.1944,1.2327,1.2333,1.2316,1.2302,1.23
1.2149,1.2347,1.2357,1.2334,1.2313,1.231
1.2116,1.2381,1.2373,1.2361,1.2337,1.2332
1.2313,1.2386,1.2438,1.2395,1.2346,1.2336
1.2362,1.2458,1.2481,1.2398,1.2348,1.236
1.2433,1.2494,1.2529,1.2472,1.2371,1.2384
1.2526,1.2549,1.2595,1.2517,1.2437,1.2418
1.2512,1.2615,1.2672,1.2589,1.2477,1.2465
1.2644,1.2689,1.2761,1.2665,1.2527,1.251
1.2823,1.2736,1.2851,1.2742,1.2576,1.2556
1.2912,1.2862,1.2964,1.2836,1.2639,1.2616
1.3216,1.299,1.3103,1.2979,1.2725,1.2697
1.3578,1.3127,1.3276,1.3132,1.2815,1.2779
1.3776,1.3349,1.3533,1.3401,1.2981,1.294
1.4104,1.3559,1.3793,1.3619,1.3148,1.3094
1.4558,1.3779,1.4054,1.3936,1.3333,1.3283
1.4964,1.398,1.4293,1.4212,1.352,1.3438
1.5237,1.4175,1.4518,1.45,1.3691,1.3615
