Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g101),Error (g262),Error (g240),Error (curve),Error (g207),Error (g95),Error (g287),Error (g14),Error (g72),Reduced Error
1947.2,0.17267,148.75,6.1613,0.0331,0.13046,0.21851,0.30441,0.059002,0.13388,0.11069,0.047228,0.10166,1.1389427663344758
1946.0,0.17268,148.78,6.1635,0.033092,0.13047,0.21851,0.30456,0.058987,0.13388,0.11069,0.04723,0.10167,1.1390815654441344
1951.2,0.17248,148.55,6.1693,0.033068,0.13048,0.21852,0.3052,0.058952,0.13388,0.11068,0.047242,0.10166,1.1396735814217611
1954.2,0.17317,148.38,6.0934,0.033373,0.13029,0.2185,0.3058,0.059455,0.1339,0.11068,0.047145,0.10156,1.1407072374672795
1943.4,0.17265,148.85,6.152,0.033132,0.13044,0.21851,0.30613,0.059055,0.13388,0.11069,0.047219,0.10166,1.1407128625876393
1948.5,0.17228,149.65,6.0259,0.03362,0.13003,0.2185,0.30563,0.059884,0.13389,0.11072,0.047116,0.10145,1.1408421590488487
1948.5,0.17223,149.65,6.0216,0.033636,0.13002,0.21851,0.30591,0.059911,0.13389,0.11072,0.047114,0.10144,1.141144893616372
1960.2,0.17215,149.23,6.035,0.033584,0.13006,0.21851,0.30765,0.059833,0.13389,0.11071,0.047134,0.10143,1.1427979242779878
1948.9,0.17222,150.21,6.0442,0.033548,0.13006,0.2185,0.30855,0.059772,0.13388,0.11072,0.047147,0.10148,1.1436681385870893
1945.9,0.17316,148.04,6.1605,0.033111,0.1305,0.21851,0.30916,0.059004,0.1339,0.11067,0.0472,0.10168,1.1437244656440122
1947.7,0.17214,150.44,6.0162,0.03366,0.12997,0.2185,0.30848,0.059959,0.13389,0.11073,0.047123,0.10143,1.1437491411407064
1967.5,0.17207,147.61,6.1839,0.03301,0.13051,0.21852,0.31013,0.058864,0.13387,0.11068,0.047268,0.10163,1.144483756292443
1934.8,0.17243,149.14,6.2435,0.032812,0.13067,0.21853,0.31076,0.05847,0.13387,0.11068,0.04731,0.1018,1.1448888495362695
1967.3,0.17027,149.28,6.1656,0.033038,0.13034,0.21853,0.3107,0.058962,0.13383,0.11072,0.047334,0.10155,1.1450156181461417
1946.5,0.17255,149.54,6.2133,0.032922,0.13056,0.21852,0.31079,0.058688,0.13386,0.1107,0.047294,0.10174,1.1450702477527805
1949.5,0.17396,148.68,6.1467,0.033187,0.13046,0.2185,0.31064,0.059128,0.1339,0.11068,0.047177,0.10167,1.145330587777957
1969.5,0.17134,148.39,6.0645,0.033444,0.13014,0.21852,0.31075,0.059622,0.13388,0.1107,0.047184,0.10143,1.145666643531396
1955.4,0.17258,147.46,6.2556,0.032777,0.13072,0.21854,0.31236,0.058406,0.13387,0.11066,0.047316,0.10175,1.1463996390536562
1968.0,0.17106,149.32,6.1551,0.033095,0.13034,0.21852,0.31271,0.059051,0.13385,0.11072,0.047299,0.10157,1.147149402244968
1954.5,0.17265,147.68,6.1583,0.033108,0.13048,0.21852,0.31286,0.059015,0.13389,0.11067,0.047215,0.10164,1.1473923700850885
1962.5,0.16984,150.67,5.9619,0.03383,0.12973,0.21852,0.31217,0.060287,0.13387,0.11076,0.047151,0.10126,1.1475656627250759
1959.6,0.17083,150.07,5.9117,0.034061,0.12963,0.21852,0.31252,0.060627,0.1339,0.11075,0.047055,0.10118,1.1482307172021242
1974.1,0.17134,148.65,6.1623,0.033075,0.13038,0.21852,0.31404,0.05901,0.13385,0.11071,0.047295,0.10156,1.1484467668055427
1918.2,0.17287,150.74,6.0055,0.033714,0.12998,0.2185,0.31333,0.060014,0.13391,0.11073,0.047068,0.10149,1.1487432339089683
1961.2,0.17284,148.56,6.1857,0.033024,0.13051,0.21851,0.31464,0.058877,0.13388,0.11068,0.047256,0.10167,1.1490529953858948
1916.7,0.17213,152.32,5.9909,0.033759,0.12986,0.2185,0.31384,0.060118,0.13389,0.11076,0.0471,0.10146,1.1492819844790407
1934.7,0.17235,151.15,5.8785,0.034247,0.12956,0.21853,0.31351,0.060861,0.13392,0.11077,0.046992,0.1012,1.1495873270152919
1973.2,0.17167,148.48,6.1752,0.033036,0.13043,0.21852,0.31535,0.058932,0.13386,0.1107,0.047296,0.10159,1.1497144084903848
