Experimental,Run 1,Run 2,Run 3,Run 4,Run 5
1.2047,1.2269,1.2269,1.2269,1.2269,1.2269
1.1989,1.2269,1.2269,1.2269,1.2269,1.2269
1.1899,1.2269,1.2269,1.2269,1.2269,1.2269
1.2035,1.2279,1.2277,1.2277,1.2274,1.2276
1.1996,1.2294,1.229,1.229,1.2283,1.2289
1.1905,1.2312,1.2304,1.2305,1.2293,1.2303
1.1944,1.2336,1.2324,1.2324,1.2307,1.2323
1.2149,1.2359,1.2343,1.2344,1.232,1.2342
1.2116,1.2404,1.2381,1.2379,1.2345,1.2379
1.2313,1.2433,1.2399,1.2415,1.2337,1.2396
1.2362,1.2469,1.2442,1.2435,1.2382,1.2439
1.2433,1.2544,1.2486,1.2469,1.2392,1.2483
1.2526,1.262,1.2555,1.2557,1.2449,1.255
1.2512,1.2707,1.2636,1.2641,1.2515,1.2631
1.2644,1.28,1.2723,1.2727,1.2577,1.2715
1.2823,1.2909,1.281,1.2812,1.2639,1.2803
1.2912,1.3039,1.292,1.293,1.2717,1.291
1.3216,1.3202,1.3076,1.3086,1.2824,1.3064
1.3578,1.3382,1.3244,1.3257,1.2944,1.323
1.3776,1.37,1.3522,1.3541,1.3146,1.3508
1.4104,1.3978,1.3785,1.3815,1.3362,1.3782
1.4558,1.4279,1.4084,1.416,1.3593,1.4081
1.4964,1.4552,1.4353,1.4453,1.3797,1.4333
1.5237,1.4817,1.4625,1.4701,1.4033,1.4616
