ebsd_id,mesh_id,confidence
7,1,94.44
8,2,65.12
9,3,69.44
10,4,100.0
11,5,68.42
12,6,91.67
13,7,80.0
14,8,87.8
16,9,85.71
19,10,78.89
20,11,85.0
21,12,85.9
22,13,87.69
23,14,92.86
24,15,86.89
25,16,84.78
26,17,95.65
27,18,91.79
28,19,96.43
29,20,90.77
30,21,85.0
31,22,89.05
32,23,100.0
33,24,89.66
34,25,89.66
35,26,87.27
36,27,90.32
37,28,86.25
38,29,85.55
39,30,85.42
40,31,86.49
41,32,86.57
42,33,100.0
43,34,81.82
44,35,100.0
45,36,83.33
46,37,100.0
47,38,92.16
48,39,83.33
49,40,83.87
50,41,80.0
51,42,100.0
52,43,75.0
53,44,85.71
54,45,77.14
55,46,100.0
56,47,89.05
57,48,80.0
58,49,77.91
59,50,67.14
60,51,66.67
61,52,96.3
63,53,90.24
64,54,81.4
66,55,90.29
67,56,85.71
68,57,87.5
69,58,67.5
70,59,95.45
71,60,81.82
72,61,100.0
73,62,91.43
74,63,85.19
75,64,100.0
76,65,96.08
77,66,97.14
78,67,86.15
79,68,95.24
80,69,90.32
81,70,80.95
82,71,88.21
83,72,96.08
84,73,85.0
85,74,95.45
86,75,90.0
87,76,77.42
88,77,71.43
89,78,84.0
90,79,100.0
91,80,91.67
92,81,95.0
93,82,100.0
95,83,75.0
96,84,89.19
97,85,97.67
99,86,88.14
100,87,66.67
101,88,73.24
102,89,100.0
103,90,78.42
104,91,86.11
105,92,100.0
106,93,67.65
107,94,100.0
108,95,92.86
109,96,100.0
110,97,78.52
111,98,72.97
112,99,87.56
113,100,100.0
114,101,89.84
115,102,100.0
116,103,93.75
117,104,100.0
118,105,97.14
119,106,77.3
120,107,83.75
121,108,100.0
122,109,61.11
123,110,85.51
125,111,100.0
126,112,91.43
128,113,92.0
129,114,80.77
130,115,90.91
131,116,100.0
132,117,87.5
133,118,100.0
134,119,80.0
135,120,90.0
136,121,85.71
137,122,79.41
138,123,86.54
139,124,92.86
140,125,97.44
141,126,85.37
142,127,75.56
143,128,96.55
144,129,100.0
146,130,77.17
147,131,86.11
148,132,81.4
149,133,70.89
150,134,70.83
151,135,80.77
152,136,81.4
153,137,100.0
154,138,64.71
155,139,83.93
156,140,66.67
157,141,100.0
158,142,96.67
159,143,100.0
161,144,92.31
162,145,100.0
163,146,77.27
164,147,83.0
165,148,72.97
166,149,68.09
167,150,79.17
169,151,77.03
172,152,80.0
173,153,82.16
174,154,68.0
175,155,100.0
176,156,79.67
177,157,100.0
178,158,85.71
179,159,88.24
180,160,100.0
181,161,97.78
182,162,100.0
183,163,76.67
184,164,100.0
185,165,88.46
186,166,87.5
187,167,100.0
188,168,93.22
189,169,86.84
190,170,85.09
191,171,81.48
192,172,86.87
193,173,71.43
194,174,100.0
195,175,88.24
196,176,85.0
197,177,89.13
198,178,88.89
199,179,100.0
200,180,84.21
201,181,100.0
202,182,87.27
203,183,87.76
204,184,73.33
205,185,100.0
206,186,71.43
207,187,98.84
208,188,85.48
209,189,100.0
210,190,100.0
211,191,83.26
212,192,75.0
213,193,97.18
214,194,78.95
215,195,77.5
216,196,80.5
217,197,82.35
218,198,85.0
219,199,88.89
220,200,100.0
221,201,94.12
222,202,92.31
223,203,88.75
224,204,79.17
225,205,88.0
226,206,62.22
227,207,100.0
228,208,100.0
229,209,100.0
230,210,76.07
231,211,100.0
232,212,80.0
233,213,86.43
234,214,87.72
235,215,95.65
236,216,96.0
237,217,89.13
238,218,100.0
239,219,95.35
240,220,100.0
241,221,78.05
242,222,86.27
243,223,98.25
244,224,80.77
245,225,73.17
246,226,77.04
247,227,98.48
248,228,77.01
249,229,88.77
250,230,100.0
251,231,86.49
252,232,100.0
253,233,100.0
254,234,92.16
255,235,84.09
256,236,80.0
257,237,80.56
258,238,81.4
259,239,94.81
260,240,75.0
261,241,70.0
262,242,81.25
263,243,85.0
264,244,95.65
265,245,75.68
266,246,100.0
268,247,90.91
269,248,82.05
270,249,70.97
271,250,86.49
272,251,84.62
273,252,75.0
274,253,85.0
275,254,100.0
276,255,65.08
277,256,96.97
278,257,82.24
279,258,87.1
280,259,92.68
281,260,94.59
282,261,89.29
283,262,100.0
284,263,93.75
285,264,92.0
286,265,89.33
287,266,95.65
288,267,93.48
289,268,83.67
291,269,87.5
292,270,63.27
293,271,78.99
294,272,94.2
295,273,75.38
299,274,91.84
300,275,100.0
302,276,89.55
303,277,84.91
304,278,100.0
306,279,97.44
308,280,85.71
309,281,85.71
312,282,96.15
313,283,100.0
315,284,76.92
100001,285,99.34
100002,286,99.09
