time,strain,temperature,stress,type,state,form,process,medium,title,youngs,poissons
0.0,0.0,850.0,54.0,creep,Ruptured,Plate,Base,Air,AirBase_850_54_b,153000.0,0.3
0.0,0.0,,,,,,,,,,
79.2,0.00822,,,,,,,,,,
93.6,0.008,,,,,,,,,,
111.6,0.00775,,,,,,,,,,
126.0,0.00771,,,,,,,,,,
144.0,0.00796,,,,,,,,,,
158.4,0.00783,,,,,,,,,,
176.4,0.00778,,,,,,,,,,
190.8,0.00774,,,,,,,,,,
208.8,0.00792,,,,,,,,,,
223.2,0.00768,,,,,,,,,,
237.6,0.0079,,,,,,,,,,
255.6,0.0079,,,,,,,,,,
270.0,0.0075,,,,,,,,,,
288.0,0.0076,,,,,,,,,,
302.4,0.00782,,,,,,,,,,
320.4,0.00779,,,,,,,,,,
334.8,0.00751,,,,,,,,,,
352.8,0.00764,,,,,,,,,,
367.2,0.0075,,,,,,,,,,
381.6,0.00774,,,,,,,,,,
399.6,0.00762,,,,,,,,,,
414.0,0.0078,,,,,,,,,,
432.0,0.00751,,,,,,,,,,
446.4,0.0076,,,,,,,,,,
460.8,0.0078,,,,,,,,,,
478.8,0.00779,,,,,,,,,,
493.2,0.00779,,,,,,,,,,
511.2,0.00782,,,,,,,,,,
525.6,0.00758,,,,,,,,,,
543.6,0.00791,,,,,,,,,,
558.0,0.0077,,,,,,,,,,
572.4,0.00767,,,,,,,,,,
590.4,0.00782,,,,,,,,,,
604.8,0.0077,,,,,,,,,,
622.8,0.0077,,,,,,,,,,
637.2,0.0075,,,,,,,,,,
655.2,0.00766,,,,,,,,,,
669.6,0.00787,,,,,,,,,,
687.6,0.00766,,,,,,,,,,
702.0,0.00786,,,,,,,,,,
716.4,0.0078,,,,,,,,,,
734.4,0.00786,,,,,,,,,,
748.8,0.00775,,,,,,,,,,
766.8,0.00767,,,,,,,,,,
781.2,0.00772,,,,,,,,,,
799.2,0.00772,,,,,,,,,,
813.6,0.00764,,,,,,,,,,
831.6,0.00775,,,,,,,,,,
846.0,0.00774,,,,,,,,,,
864.0,0.00782,,,,,,,,,,
878.4,0.00766,,,,,,,,,,
892.8,0.00786,,,,,,,,,,
2714.4,0.00824,,,,,,,,,,
7412.4,0.0082,,,,,,,,,,
11239.2,0.00888,,,,,,,,,,
14400.0,0.00926,,,,,,,,,,
21600.0,0.0097,,,,,,,,,,
28800.0,0.01031,,,,,,,,,,
36000.0,0.01066,,,,,,,,,,
43200.0,0.01138,,,,,,,,,,
50400.0,0.01213,,,,,,,,,,
53067.6,0.01264,,,,,,,,,,
60267.6,0.01363,,,,,,,,,,
67467.6,0.01432,,,,,,,,,,
74667.6,0.01512,,,,,,,,,,
81867.6,0.0162,,,,,,,,,,
86688.0,0.01667,,,,,,,,,,
93888.0,0.01833,,,,,,,,,,
101088.0,0.01953,,,,,,,,,,
108288.0,0.0205,,,,,,,,,,
115488.0,0.0216,,,,,,,,,,
122688.0,0.02281,,,,,,,,,,
129888.0,0.02451,,,,,,,,,,
137088.0,0.02567,,,,,,,,,,
144288.0,0.02697,,,,,,,,,,
151488.0,0.02813,,,,,,,,,,
158688.0,0.02961,,,,,,,,,,
165888.0,0.03123,,,,,,,,,,
173088.0,0.03231,,,,,,,,,,
180288.0,0.03409,,,,,,,,,,
187488.0,0.03553,,,,,,,,,,
194688.0,0.03712,,,,,,,,,,
201888.0,0.03801,,,,,,,,,,
209088.0,0.03971,,,,,,,,,,
216288.0,0.04109,,,,,,,,,,
223488.0,0.04238,,,,,,,,,,
230688.0,0.04438,,,,,,,,,,
237888.0,0.04579,,,,,,,,,,
245088.0,0.04703,,,,,,,,,,
252288.0,0.04839,,,,,,,,,,
259488.0,0.05002,,,,,,,,,,
266688.0,0.0516,,,,,,,,,,
273888.0,0.05329,,,,,,,,,,
281088.0,0.05448,,,,,,,,,,
288288.0,0.05614,,,,,,,,,,
295488.0,0.05761,,,,,,,,,,
302688.0,0.05917,,,,,,,,,,
309888.0,0.06077,,,,,,,,,,
317088.0,0.06252,,,,,,,,,,
324288.0,0.0641,,,,,,,,,,
331488.0,0.06583,,,,,,,,,,
338688.0,0.06734,,,,,,,,,,
345888.0,0.0688,,,,,,,,,,
353088.0,0.07023,,,,,,,,,,
360288.0,0.07212,,,,,,,,,,
367488.0,0.07335,,,,,,,,,,
374688.0,0.075,,,,,,,,,,
381888.0,0.07699,,,,,,,,,,
389088.0,0.07847,,,,,,,,,,
396288.0,0.07992,,,,,,,,,,
403488.0,0.08147,,,,,,,,,,
410688.0,0.08294,,,,,,,,,,
417888.0,0.08445,,,,,,,,,,
425088.0,0.08612,,,,,,,,,,
432288.0,0.08798,,,,,,,,,,
439488.0,0.08933,,,,,,,,,,
446688.0,0.09032,,,,,,,,,,
453888.0,0.09231,,,,,,,,,,
461088.0,0.09363,,,,,,,,,,
468288.0,0.09508,,,,,,,,,,
475488.0,0.09653,,,,,,,,,,
482688.0,0.09784,,,,,,,,,,
489888.0,0.0989,,,,,,,,,,
497088.0,0.10043,,,,,,,,,,
504288.0,0.10204,,,,,,,,,,
511488.0,0.10339,,,,,,,,,,
518400.0,0.10459,,,,,,,,,,
525600.0,0.1059,,,,,,,,,,
532800.0,0.10712,,,,,,,,,,
540000.0,0.10835,,,,,,,,,,
547200.0,0.10978,,,,,,,,,,
554400.0,0.11123,,,,,,,,,,
561600.0,0.11241,,,,,,,,,,
568800.0,0.1134,,,,,,,,,,
576000.0,0.11512,,,,,,,,,,
583200.0,0.11609,,,,,,,,,,
590400.0,0.11752,,,,,,,,,,
597600.0,0.1188,,,,,,,,,,
604800.0,0.12033,,,,,,,,,,
612000.0,0.12128,,,,,,,,,,
619200.0,0.12272,,,,,,,,,,
626400.0,0.12379,,,,,,,,,,
633600.0,0.12534,,,,,,,,,,
640800.0,0.12639,,,,,,,,,,
648000.0,0.12778,,,,,,,,,,
655200.0,0.12921,,,,,,,,,,
662400.0,0.13042,,,,,,,,,,
669600.0,0.13177,,,,,,,,,,
676800.0,0.13284,,,,,,,,,,
684000.0,0.13438,,,,,,,,,,
691200.0,0.13581,,,,,,,,,,
698400.0,0.13701,,,,,,,,,,
705600.0,0.13853,,,,,,,,,,
712800.0,0.13953,,,,,,,,,,
720000.0,0.14131,,,,,,,,,,
727200.0,0.14248,,,,,,,,,,
734400.0,0.14413,,,,,,,,,,
741600.0,0.14552,,,,,,,,,,
748800.0,0.14667,,,,,,,,,,
756000.0,0.14819,,,,,,,,,,
763200.0,0.14948,,,,,,,,,,
770400.0,0.15095,,,,,,,,,,
777600.0,0.15203,,,,,,,,,,
784800.0,0.15365,,,,,,,,,,
792000.0,0.15528,,,,,,,,,,
799200.0,0.15608,,,,,,,,,,
806400.0,0.15788,,,,,,,,,,
813600.0,0.15933,,,,,,,,,,
820800.0,0.16082,,,,,,,,,,
828000.0,0.16209,,,,,,,,,,
835200.0,0.16364,,,,,,,,,,
842400.0,0.16459,,,,,,,,,,
849600.0,0.1663,,,,,,,,,,
856800.0,0.16785,,,,,,,,,,
864000.0,0.16914,,,,,,,,,,
871200.0,0.17045,,,,,,,,,,
878400.0,0.17235,,,,,,,,,,
885600.0,0.17392,,,,,,,,,,
892800.0,0.17533,,,,,,,,,,
900000.0,0.17668,,,,,,,,,,
907200.0,0.17823,,,,,,,,,,
914400.0,0.17972,,,,,,,,,,
921600.0,0.18147,,,,,,,,,,
928800.0,0.18306,,,,,,,,,,
936000.0,0.18448,,,,,,,,,,
943200.0,0.1862,,,,,,,,,,
950400.0,0.18775,,,,,,,,,,
957600.0,0.18915,,,,,,,,,,
964800.0,0.1911,,,,,,,,,,
972000.0,0.19236,,,,,,,,,,
979200.0,0.19412,,,,,,,,,,
986400.0,0.19586,,,,,,,,,,
993600.0,0.19765,,,,,,,,,,
1000800.0,0.19909,,,,,,,,,,
1008000.0,0.20096,,,,,,,,,,
1015200.0,0.20276,,,,,,,,,,
1022400.0,0.20428,,,,,,,,,,
1029600.0,0.20609,,,,,,,,,,
1036800.0,0.20834,,,,,,,,,,
1044000.0,0.21017,,,,,,,,,,
1051200.0,0.21186,,,,,,,,,,
1058400.0,0.2139,,,,,,,,,,
1065600.0,0.2158,,,,,,,,,,
1072800.0,0.21761,,,,,,,,,,
1080000.0,0.21968,,,,,,,,,,
1087200.0,0.22202,,,,,,,,,,
1094400.0,0.22396,,,,,,,,,,
1101600.0,0.22559,,,,,,,,,,
1108800.0,0.22696,,,,,,,,,,
1116000.0,0.22858,,,,,,,,,,
1123200.0,0.22985,,,,,,,,,,
1130400.0,0.23062,,,,,,,,,,
1137600.0,0.23311,,,,,,,,,,
1144800.0,0.23544,,,,,,,,,,
1152000.0,0.23719,,,,,,,,,,
1159200.0,0.23988,,,,,,,,,,
1166400.0,0.24213,,,,,,,,,,
1173600.0,0.24418,,,,,,,,,,
1180800.0,0.24658,,,,,,,,,,
1188000.0,0.24927,,,,,,,,,,
1195200.0,0.25164,,,,,,,,,,
1202400.0,0.25414,,,,,,,,,,
1209600.0,0.2566,,,,,,,,,,
1216800.0,0.25923,,,,,,,,,,
1220400.0,0.26129,,,,,,,,,,
1227600.0,0.26397,,,,,,,,,,
1234800.0,0.26603,,,,,,,,,,
1242000.0,0.26826,,,,,,,,,,
1249200.0,0.27022,,,,,,,,,,
1256400.0,0.27249,,,,,,,,,,
1263600.0,0.2748,,,,,,,,,,
1270800.0,0.27715,,,,,,,,,,
1278000.0,0.2796,,,,,,,,,,
1285200.0,0.282,,,,,,,,,,
1292400.0,0.28437,,,,,,,,,,
1299600.0,0.28567,,,,,,,,,,
1303200.0,0.28766,,,,,,,,,,
1306908.0,0.28976,,,,,,,,,,
1314108.0,0.29293,,,,,,,,,,
1317708.0,0.29492,,,,,,,,,,
1321308.0,0.29693,,,,,,,,,,
1324908.0,0.29894,,,,,,,,,,
1328616.0,0.30095,,,,,,,,,,
1332288.0,0.30301,,,,,,,,,,
1335888.0,0.30499,,,,,,,,,,
1339488.0,0.30699,,,,,,,,,,
1343088.0,0.30902,,,,,,,,,,
1346688.0,0.31153,,,,,,,,,,
1350288.0,0.31374,,,,,,,,,,
1353888.0,0.31625,,,,,,,,,,
1357488.0,0.31824,,,,,,,,,,
1361088.0,0.32103,,,,,,,,,,
1364688.0,0.32354,,,,,,,,,,
1368288.0,0.32649,,,,,,,,,,
1371888.0,0.32914,,,,,,,,,,
1375488.0,0.33181,,,,,,,,,,
1379088.0,0.3352,,,,,,,,,,
1382688.0,0.33819,,,,,,,,,,
1385100.0,0.34057,,,,,,,,,,
1388700.0,0.34379,,,,,,,,,,
1392300.0,0.34746,,,,,,,,,,
1395900.0,0.35112,,,,,,,,,,
1397880.0,0.3538,,,,,,,,,,
1401480.0,0.35812,,,,,,,,,,
1403280.0,0.36052,,,,,,,,,,
1405080.0,0.36297,,,,,,,,,,
1406880.0,0.36576,,,,,,,,,,
1408680.0,0.3688,,,,,,,,,,
1410480.0,0.37182,,,,,,,,,,
1412280.0,0.37525,,,,,,,,,,
1414080.0,0.37905,,,,,,,,,,
1414980.0,0.38156,,,,,,,,,,
1415916.0,0.38408,,,,,,,,,,
1416816.0,0.38669,,,,,,,,,,
1417716.0,0.38974,,,,,,,,,,
1418616.0,0.39413,,,,,,,,,,
1419192.0,0.39795,,,,,,,,,,
1419768.0,0.40565,,,,,,,,,,
1419876.0,0.41047,,,,,,,,,,
1419912.0,0.41503,,,,,,,,,,
