time,strain,temperature,stress,type,state,form,process,medium,title,youngs,poissons
0.0,0.0,950.0,29.0,creep,Ruptured,Plate,Base,Air,AirBase_950_29_a,144000.0,0.3
0.0,0.0,,,,,,,,,,
14.4,7e-05,,,,,,,,,,
32.4,-5e-05,,,,,,,,,,
46.8,0.00714,,,,,,,,,,
64.8,0.00556,,,,,,,,,,
79.2,0.00565,,,,,,,,,,
97.2,0.00567,,,,,,,,,,
111.6,0.00559,,,,,,,,,,
126.0,0.00563,,,,,,,,,,
144.0,0.00586,,,,,,,,,,
158.4,0.00584,,,,,,,,,,
176.4,0.00589,,,,,,,,,,
190.8,0.00585,,,,,,,,,,
208.8,0.00596,,,,,,,,,,
223.2,0.00598,,,,,,,,,,
241.2,0.00594,,,,,,,,,,
255.6,0.00587,,,,,,,,,,
270.0,0.00604,,,,,,,,,,
288.0,0.00602,,,,,,,,,,
302.4,0.00606,,,,,,,,,,
320.4,0.00609,,,,,,,,,,
334.8,0.00607,,,,,,,,,,
352.8,0.00603,,,,,,,,,,
360.0,0.00606,,,,,,,,,,
1828.8,0.00729,,,,,,,,,,
5428.8,0.00822,,,,,,,,,,
7200.0,0.00886,,,,,,,,,,
11271.6,0.01003,,,,,,,,,,
14842.8,0.01064,,,,,,,,,,
19598.4,0.01203,,,,,,,,,,
26798.4,0.01326,,,,,,,,,,
30600.0,0.01387,,,,,,,,,,
37800.0,0.01526,,,,,,,,,,
45000.0,0.01638,,,,,,,,,,
52200.0,0.01772,,,,,,,,,,
53128.8,0.01778,,,,,,,,,,
60328.8,0.01896,,,,,,,,,,
67528.8,0.02006,,,,,,,,,,
74728.8,0.02116,,,,,,,,,,
81928.8,0.02212,,,,,,,,,,
86594.4,0.02294,,,,,,,,,,
93794.4,0.02371,,,,,,,,,,
100994.4,0.02462,,,,,,,,,,
108194.4,0.0256,,,,,,,,,,
115394.4,0.02655,,,,,,,,,,
122594.4,0.02729,,,,,,,,,,
129794.4,0.02828,,,,,,,,,,
136994.4,0.02908,,,,,,,,,,
144194.4,0.03003,,,,,,,,,,
151394.4,0.03089,,,,,,,,,,
158594.4,0.03178,,,,,,,,,,
165794.4,0.03252,,,,,,,,,,
172972.8,0.03342,,,,,,,,,,
180172.8,0.03429,,,,,,,,,,
187372.8,0.03491,,,,,,,,,,
194572.8,0.03563,,,,,,,,,,
201772.8,0.03653,,,,,,,,,,
208972.8,0.03724,,,,,,,,,,
216172.8,0.03789,,,,,,,,,,
223372.8,0.03879,,,,,,,,,,
230572.8,0.03942,,,,,,,,,,
237772.8,0.04037,,,,,,,,,,
244972.8,0.04079,,,,,,,,,,
252172.8,0.04147,,,,,,,,,,
259372.8,0.04229,,,,,,,,,,
266572.8,0.04295,,,,,,,,,,
273772.8,0.04367,,,,,,,,,,
280972.8,0.0445,,,,,,,,,,
288172.8,0.04509,,,,,,,,,,
295372.8,0.04593,,,,,,,,,,
302572.8,0.04667,,,,,,,,,,
309772.8,0.04734,,,,,,,,,,
316972.8,0.04801,,,,,,,,,,
324172.8,0.04856,,,,,,,,,,
331372.8,0.0492,,,,,,,,,,
338572.8,0.04998,,,,,,,,,,
345772.8,0.05056,,,,,,,,,,
352972.8,0.05138,,,,,,,,,,
360180.0,0.05192,,,,,,,,,,
367380.0,0.05273,,,,,,,,,,
374580.0,0.0532,,,,,,,,,,
381780.0,0.05379,,,,,,,,,,
388980.0,0.05449,,,,,,,,,,
396180.0,0.05516,,,,,,,,,,
403380.0,0.05572,,,,,,,,,,
410580.0,0.05652,,,,,,,,,,
417780.0,0.05701,,,,,,,,,,
424980.0,0.05768,,,,,,,,,,
432180.0,0.05829,,,,,,,,,,
439380.0,0.05906,,,,,,,,,,
446580.0,0.05971,,,,,,,,,,
453780.0,0.06029,,,,,,,,,,
460980.0,0.06093,,,,,,,,,,
468180.0,0.0614,,,,,,,,,,
475380.0,0.06217,,,,,,,,,,
482580.0,0.06276,,,,,,,,,,
489780.0,0.06327,,,,,,,,,,
496980.0,0.06401,,,,,,,,,,
504180.0,0.06464,,,,,,,,,,
511380.0,0.06513,,,,,,,,,,
518580.0,0.06603,,,,,,,,,,
525780.0,0.06654,,,,,,,,,,
532980.0,0.06714,,,,,,,,,,
540180.0,0.06775,,,,,,,,,,
547380.0,0.06833,,,,,,,,,,
554580.0,0.06889,,,,,,,,,,
561780.0,0.06973,,,,,,,,,,
568980.0,0.07024,,,,,,,,,,
576180.0,0.07068,,,,,,,,,,
583380.0,0.07126,,,,,,,,,,
590580.0,0.07181,,,,,,,,,,
597780.0,0.07251,,,,,,,,,,
604980.0,0.07306,,,,,,,,,,
612180.0,0.07366,,,,,,,,,,
619380.0,0.0742,,,,,,,,,,
626580.0,0.07504,,,,,,,,,,
633780.0,0.07545,,,,,,,,,,
640980.0,0.07616,,,,,,,,,,
648180.0,0.07644,,,,,,,,,,
655380.0,0.0772,,,,,,,,,,
662580.0,0.07775,,,,,,,,,,
669780.0,0.07834,,,,,,,,,,
676980.0,0.07893,,,,,,,,,,
684180.0,0.07932,,,,,,,,,,
691380.0,0.07969,,,,,,,,,,
698580.0,0.08092,,,,,,,,,,
705780.0,0.08157,,,,,,,,,,
712980.0,0.08183,,,,,,,,,,
720180.0,0.08279,,,,,,,,,,
727380.0,0.08338,,,,,,,,,,
734580.0,0.08405,,,,,,,,,,
741780.0,0.08466,,,,,,,,,,
748980.0,0.08536,,,,,,,,,,
756180.0,0.0859,,,,,,,,,,
763380.0,0.08653,,,,,,,,,,
770580.0,0.08684,,,,,,,,,,
777780.0,0.0875,,,,,,,,,,
784980.0,0.08828,,,,,,,,,,
792180.0,0.08871,,,,,,,,,,
799380.0,0.08944,,,,,,,,,,
806580.0,0.09002,,,,,,,,,,
813780.0,0.09071,,,,,,,,,,
820980.0,0.09121,,,,,,,,,,
828180.0,0.09181,,,,,,,,,,
835380.0,0.09244,,,,,,,,,,
842580.0,0.09286,,,,,,,,,,
849780.0,0.09353,,,,,,,,,,
856980.0,0.094,,,,,,,,,,
864180.0,0.09457,,,,,,,,,,
871380.0,0.09535,,,,,,,,,,
878580.0,0.09577,,,,,,,,,,
885780.0,0.09633,,,,,,,,,,
892980.0,0.09694,,,,,,,,,,
900180.0,0.0974,,,,,,,,,,
907380.0,0.09819,,,,,,,,,,
914580.0,0.0987,,,,,,,,,,
921780.0,0.09915,,,,,,,,,,
928980.0,0.09962,,,,,,,,,,
936180.0,0.10037,,,,,,,,,,
943380.0,0.10092,,,,,,,,,,
950580.0,0.10145,,,,,,,,,,
957780.0,0.10188,,,,,,,,,,
964980.0,0.10252,,,,,,,,,,
972180.0,0.10305,,,,,,,,,,
979380.0,0.10362,,,,,,,,,,
986580.0,0.10408,,,,,,,,,,
993780.0,0.10477,,,,,,,,,,
1000980.0,0.10528,,,,,,,,,,
1008180.0,0.10559,,,,,,,,,,
1015380.0,0.10635,,,,,,,,,,
1022580.0,0.10672,,,,,,,,,,
1029780.0,0.10752,,,,,,,,,,
1036980.0,0.10789,,,,,,,,,,
1044180.0,0.10851,,,,,,,,,,
1051380.0,0.10909,,,,,,,,,,
1058400.0,0.10962,,,,,,,,,,
1065600.0,0.11027,,,,,,,,,,
1072800.0,0.11056,,,,,,,,,,
1080000.0,0.11134,,,,,,,,,,
1087200.0,0.11182,,,,,,,,,,
1094400.0,0.11226,,,,,,,,,,
1101600.0,0.11286,,,,,,,,,,
1108800.0,0.11334,,,,,,,,,,
1116000.0,0.11397,,,,,,,,,,
1123200.0,0.11452,,,,,,,,,,
1130400.0,0.11496,,,,,,,,,,
1137600.0,0.11563,,,,,,,,,,
1144800.0,0.11611,,,,,,,,,,
1152000.0,0.11692,,,,,,,,,,
1159200.0,0.11737,,,,,,,,,,
1166400.0,0.11787,,,,,,,,,,
1173600.0,0.11845,,,,,,,,,,
1180800.0,0.11891,,,,,,,,,,
1188000.0,0.11939,,,,,,,,,,
1195200.0,0.11988,,,,,,,,,,
1202400.0,0.12051,,,,,,,,,,
1209600.0,0.12087,,,,,,,,,,
1216800.0,0.12153,,,,,,,,,,
1224000.0,0.12223,,,,,,,,,,
1231200.0,0.12258,,,,,,,,,,
1238400.0,0.12318,,,,,,,,,,
1245600.0,0.12356,,,,,,,,,,
1252800.0,0.12438,,,,,,,,,,
1260000.0,0.12484,,,,,,,,,,
1267200.0,0.12547,,,,,,,,,,
1274400.0,0.12599,,,,,,,,,,
1281600.0,0.12657,,,,,,,,,,
1288800.0,0.12694,,,,,,,,,,
1296000.0,0.12764,,,,,,,,,,
1303200.0,0.12805,,,,,,,,,,
1310400.0,0.12852,,,,,,,,,,
1317600.0,0.12933,,,,,,,,,,
1324800.0,0.12978,,,,,,,,,,
1332000.0,0.13038,,,,,,,,,,
1339200.0,0.13105,,,,,,,,,,
1346400.0,0.13136,,,,,,,,,,
1353600.0,0.13206,,,,,,,,,,
1360800.0,0.13261,,,,,,,,,,
1368000.0,0.13326,,,,,,,,,,
1375200.0,0.13379,,,,,,,,,,
1382400.0,0.13433,,,,,,,,,,
1389600.0,0.135,,,,,,,,,,
1396800.0,0.13547,,,,,,,,,,
1404000.0,0.13584,,,,,,,,,,
1411200.0,0.13659,,,,,,,,,,
1418400.0,0.13699,,,,,,,,,,
1425600.0,0.13761,,,,,,,,,,
1432800.0,0.13821,,,,,,,,,,
1440000.0,0.13873,,,,,,,,,,
1447200.0,0.13932,,,,,,,,,,
1454400.0,0.13977,,,,,,,,,,
1461600.0,0.14039,,,,,,,,,,
1468800.0,0.14098,,,,,,,,,,
1476000.0,0.14143,,,,,,,,,,
1483200.0,0.14196,,,,,,,,,,
1490400.0,0.14252,,,,,,,,,,
1497600.0,0.143,,,,,,,,,,
1504800.0,0.14351,,,,,,,,,,
1512000.0,0.14398,,,,,,,,,,
1519200.0,0.14455,,,,,,,,,,
1526400.0,0.14519,,,,,,,,,,
1533600.0,0.14576,,,,,,,,,,
1540800.0,0.14634,,,,,,,,,,
1548000.0,0.1468,,,,,,,,,,
1555200.0,0.14733,,,,,,,,,,
1562400.0,0.14788,,,,,,,,,,
1569600.0,0.14848,,,,,,,,,,
1576800.0,0.1489,,,,,,,,,,
1584000.0,0.14945,,,,,,,,,,
1591200.0,0.15005,,,,,,,,,,
1598400.0,0.15043,,,,,,,,,,
1605600.0,0.1511,,,,,,,,,,
1612800.0,0.1515,,,,,,,,,,
1620000.0,0.15209,,,,,,,,,,
1627200.0,0.15264,,,,,,,,,,
1634400.0,0.1531,,,,,,,,,,
1641600.0,0.15365,,,,,,,,,,
1648800.0,0.15426,,,,,,,,,,
1656000.0,0.15498,,,,,,,,,,
1663200.0,0.15547,,,,,,,,,,
1670400.0,0.1562,,,,,,,,,,
1677600.0,0.15667,,,,,,,,,,
1684800.0,0.1573,,,,,,,,,,
1692000.0,0.15772,,,,,,,,,,
1699200.0,0.15831,,,,,,,,,,
1706400.0,0.15883,,,,,,,,,,
1713600.0,0.15949,,,,,,,,,,
1720800.0,0.16002,,,,,,,,,,
1729764.0,0.1607,,,,,,,,,,
1736964.0,0.16128,,,,,,,,,,
1744164.0,0.16173,,,,,,,,,,
1751364.0,0.16234,,,,,,,,,,
1758564.0,0.16278,,,,,,,,,,
1765764.0,0.16323,,,,,,,,,,
1772964.0,0.16382,,,,,,,,,,
1780164.0,0.16443,,,,,,,,,,
1787364.0,0.16481,,,,,,,,,,
1794564.0,0.16541,,,,,,,,,,
1801764.0,0.16593,,,,,,,,,,
1808964.0,0.16654,,,,,,,,,,
1816164.0,0.16712,,,,,,,,,,
1823364.0,0.16757,,,,,,,,,,
1830564.0,0.16808,,,,,,,,,,
1837764.0,0.16862,,,,,,,,,,
1844964.0,0.16913,,,,,,,,,,
1852164.0,0.16973,,,,,,,,,,
1859364.0,0.17029,,,,,,,,,,
1866564.0,0.17076,,,,,,,,,,
1873764.0,0.17129,,,,,,,,,,
1880964.0,0.17195,,,,,,,,,,
1888164.0,0.17249,,,,,,,,,,
1895364.0,0.17308,,,,,,,,,,
1901772.0,0.17362,,,,,,,,,,
1908972.0,0.17415,,,,,,,,,,
1916172.0,0.17467,,,,,,,,,,
1923372.0,0.17523,,,,,,,,,,
1930572.0,0.17575,,,,,,,,,,
1937772.0,0.17611,,,,,,,,,,
1944972.0,0.17664,,,,,,,,,,
1952172.0,0.1774,,,,,,,,,,
1959372.0,0.17782,,,,,,,,,,
1966572.0,0.17839,,,,,,,,,,
1973772.0,0.17875,,,,,,,,,,
1980972.0,0.17958,,,,,,,,,,
1988172.0,0.1799,,,,,,,,,,
1995372.0,0.18042,,,,,,,,,,
2002572.0,0.18107,,,,,,,,,,
2009772.0,0.18144,,,,,,,,,,
2016972.0,0.18202,,,,,,,,,,
2024172.0,0.18255,,,,,,,,,,
2031372.0,0.1832,,,,,,,,,,
2038572.0,0.1836,,,,,,,,,,
2045772.0,0.18421,,,,,,,,,,
2052972.0,0.18473,,,,,,,,,,
2060172.0,0.18524,,,,,,,,,,
2067372.0,0.18582,,,,,,,,,,
2074572.0,0.18638,,,,,,,,,,
2081772.0,0.18707,,,,,,,,,,
2088972.0,0.18757,,,,,,,,,,
2096172.0,0.18789,,,,,,,,,,
2103372.0,0.18848,,,,,,,,,,
2110572.0,0.18901,,,,,,,,,,
2117772.0,0.18953,,,,,,,,,,
2124972.0,0.1901,,,,,,,,,,
2132172.0,0.19063,,,,,,,,,,
2139372.0,0.19115,,,,,,,,,,
2146572.0,0.19178,,,,,,,,,,
2153772.0,0.19234,,,,,,,,,,
2160972.0,0.19298,,,,,,,,,,
2168172.0,0.19357,,,,,,,,,,
2175372.0,0.19403,,,,,,,,,,
2182572.0,0.19446,,,,,,,,,,
2189772.0,0.19524,,,,,,,,,,
2196972.0,0.19571,,,,,,,,,,
2204172.0,0.19626,,,,,,,,,,
2211372.0,0.1967,,,,,,,,,,
2218572.0,0.1973,,,,,,,,,,
2225772.0,0.19793,,,,,,,,,,
2232972.0,0.19848,,,,,,,,,,
2240172.0,0.19899,,,,,,,,,,
2246796.0,0.19951,,,,,,,,,,
2253996.0,0.19994,,,,,,,,,,
2261196.0,0.20043,,,,,,,,,,
2268396.0,0.20112,,,,,,,,,,
2275596.0,0.20164,,,,,,,,,,
2282796.0,0.20228,,,,,,,,,,
2289996.0,0.20273,,,,,,,,,,
2297196.0,0.20345,,,,,,,,,,
2304396.0,0.20389,,,,,,,,,,
2311596.0,0.20439,,,,,,,,,,
2318796.0,0.20499,,,,,,,,,,
2325996.0,0.20552,,,,,,,,,,
2333196.0,0.20619,,,,,,,,,,
2340396.0,0.207,,,,,,,,,,
2347596.0,0.20729,,,,,,,,,,
2354796.0,0.20795,,,,,,,,,,
2361996.0,0.20856,,,,,,,,,,
2369196.0,0.20917,,,,,,,,,,
2376396.0,0.20971,,,,,,,,,,
2383596.0,0.21014,,,,,,,,,,
2390796.0,0.21081,,,,,,,,,,
2397996.0,0.21134,,,,,,,,,,
2405196.0,0.21199,,,,,,,,,,
2412396.0,0.21238,,,,,,,,,,
2419596.0,0.21292,,,,,,,,,,
2426796.0,0.21361,,,,,,,,,,
2433996.0,0.21408,,,,,,,,,,
2441196.0,0.2146,,,,,,,,,,
2448396.0,0.21506,,,,,,,,,,
2455596.0,0.21559,,,,,,,,,,
2462796.0,0.21622,,,,,,,,,,
2469996.0,0.21686,,,,,,,,,,
2477196.0,0.21741,,,,,,,,,,
2484396.0,0.21806,,,,,,,,,,
2491596.0,0.21855,,,,,,,,,,
2498796.0,0.21923,,,,,,,,,,
2505744.0,0.21987,,,,,,,,,,
2512944.0,0.2204,,,,,,,,,,
2520144.0,0.22102,,,,,,,,,,
2527344.0,0.22184,,,,,,,,,,
2534544.0,0.2227,,,,,,,,,,
2541744.0,0.22327,,,,,,,,,,
2548944.0,0.22389,,,,,,,,,,
2556144.0,0.22461,,,,,,,,,,
2563344.0,0.22518,,,,,,,,,,
2570544.0,0.2258,,,,,,,,,,
2577744.0,0.22638,,,,,,,,,,
2584944.0,0.22711,,,,,,,,,,
2592144.0,0.22768,,,,,,,,,,
2599344.0,0.22828,,,,,,,,,,
2606544.0,0.22887,,,,,,,,,,
2613744.0,0.22959,,,,,,,,,,
2620944.0,0.23023,,,,,,,,,,
2628144.0,0.23084,,,,,,,,,,
2635344.0,0.23148,,,,,,,,,,
2642544.0,0.23223,,,,,,,,,,
2649744.0,0.23299,,,,,,,,,,
2656944.0,0.23347,,,,,,,,,,
2664144.0,0.23417,,,,,,,,,,
2671344.0,0.23483,,,,,,,,,,
2678544.0,0.23554,,,,,,,,,,
2685744.0,0.23621,,,,,,,,,,
2692944.0,0.23682,,,,,,,,,,
2700144.0,0.23747,,,,,,,,,,
2707344.0,0.23808,,,,,,,,,,
2714544.0,0.23892,,,,,,,,,,
2721744.0,0.23955,,,,,,,,,,
2728944.0,0.24028,,,,,,,,,,
2736144.0,0.24099,,,,,,,,,,
2743344.0,0.24145,,,,,,,,,,
2750544.0,0.24221,,,,,,,,,,
2757744.0,0.24286,,,,,,,,,,
2764944.0,0.2436,,,,,,,,,,
2772144.0,0.24444,,,,,,,,,,
2779344.0,0.24513,,,,,,,,,,
2786544.0,0.24579,,,,,,,,,,
2793744.0,0.24653,,,,,,,,,,
2800944.0,0.24727,,,,,,,,,,
2808144.0,0.24779,,,,,,,,,,
2815344.0,0.24864,,,,,,,,,,
2822544.0,0.24924,,,,,,,,,,
2829744.0,0.25,,,,,,,,,,
2836944.0,0.25076,,,,,,,,,,
2844144.0,0.25138,,,,,,,,,,
2851200.0,0.25216,,,,,,,,,,
2858400.0,0.2528,,,,,,,,,,
2865600.0,0.25356,,,,,,,,,,
2872800.0,0.25426,,,,,,,,,,
2880000.0,0.25503,,,,,,,,,,
2887200.0,0.25578,,,,,,,,,,
2894400.0,0.25658,,,,,,,,,,
2901600.0,0.25729,,,,,,,,,,
2908800.0,0.25801,,,,,,,,,,
2916000.0,0.25898,,,,,,,,,,
2923200.0,0.2598,,,,,,,,,,
2930400.0,0.26064,,,,,,,,,,
2937600.0,0.26129,,,,,,,,,,
2944800.0,0.26249,,,,,,,,,,
2952000.0,0.26323,,,,,,,,,,
2959200.0,0.26395,,,,,,,,,,
2966400.0,0.26457,,,,,,,,,,
2973600.0,0.26537,,,,,,,,,,
2980800.0,0.26613,,,,,,,,,,
2988000.0,0.26695,,,,,,,,,,
2995200.0,0.26774,,,,,,,,,,
3002400.0,0.2685,,,,,,,,,,
3009600.0,0.26911,,,,,,,,,,
3016800.0,0.2701,,,,,,,,,,
3024000.0,0.27084,,,,,,,,,,
3031200.0,0.27155,,,,,,,,,,
3038400.0,0.27245,,,,,,,,,,
3045600.0,0.27329,,,,,,,,,,
3052800.0,0.27413,,,,,,,,,,
3060000.0,0.27507,,,,,,,,,,
3067200.0,0.27592,,,,,,,,,,
3074400.0,0.27654,,,,,,,,,,
