time,strain,temperature,stress,type,state,form,process,medium,title,youngs,poissons
0.0,0.0,750.0,95.0,creep,Ruptured,Plate,Weld,Air,AirWeld_750_95_a,161000.0,0.3
0.0,0.0,,,,,,,,,,
46.8,0.012,,,,,,,,,,
64.8,-0.008,,,,,,,,,,
79.2,0.199,,,,,,,,,,
93.6,0.084,,,,,,,,,,
111.6,0.075,,,,,,,,,,
126.0,0.109,,,,,,,,,,
144.0,0.091,,,,,,,,,,
158.4,0.096,,,,,,,,,,
176.4,0.098,,,,,,,,,,
190.8,0.098,,,,,,,,,,
208.8,0.1,,,,,,,,,,
223.2,0.097,,,,,,,,,,
237.6,0.102,,,,,,,,,,
255.6,0.101,,,,,,,,,,
270.0,0.1,,,,,,,,,,
288.0,0.101,,,,,,,,,,
302.4,0.102,,,,,,,,,,
320.4,0.105,,,,,,,,,,
334.8,0.106,,,,,,,,,,
349.2,0.102,,,,,,,,,,
1112.4,0.116,,,,,,,,,,
7527.6,0.142,,,,,,,,,,
14400.0,0.148,,,,,,,,,,
21600.0,0.178,,,,,,,,,,
28800.0,0.179,,,,,,,,,,
36000.0,0.172,,,,,,,,,,
43200.0,0.18,,,,,,,,,,
50400.0,0.18,,,,,,,,,,
53125.2,0.181,,,,,,,,,,
60325.2,0.182,,,,,,,,,,
67525.2,0.187,,,,,,,,,,
74725.2,0.192,,,,,,,,,,
81925.2,0.192,,,,,,,,,,
86749.2,0.192,,,,,,,,,,
93949.2,0.213,,,,,,,,,,
101149.2,0.219,,,,,,,,,,
108349.2,0.226,,,,,,,,,,
115549.2,0.217,,,,,,,,,,
122749.2,0.218,,,,,,,,,,
129949.2,0.215,,,,,,,,,,
137149.2,0.22,,,,,,,,,,
144349.2,0.216,,,,,,,,,,
151549.2,0.216,,,,,,,,,,
158749.2,0.217,,,,,,,,,,
165949.2,0.218,,,,,,,,,,
173149.2,0.22,,,,,,,,,,
180349.2,0.219,,,,,,,,,,
187549.2,0.222,,,,,,,,,,
194749.2,0.221,,,,,,,,,,
201949.2,0.22,,,,,,,,,,
209149.2,0.222,,,,,,,,,,
216349.2,0.221,,,,,,,,,,
223549.2,0.225,,,,,,,,,,
230749.2,0.223,,,,,,,,,,
237949.2,0.222,,,,,,,,,,
245149.2,0.224,,,,,,,,,,
252349.2,0.223,,,,,,,,,,
259549.2,0.227,,,,,,,,,,
266749.2,0.225,,,,,,,,,,
273949.2,0.222,,,,,,,,,,
281149.2,0.223,,,,,,,,,,
288349.2,0.222,,,,,,,,,,
295549.2,0.223,,,,,,,,,,
299386.8,0.254,,,,,,,,,,
306586.8,0.271,,,,,,,,,,
313786.8,0.262,,,,,,,,,,
320986.8,0.26,,,,,,,,,,
328186.8,0.253,,,,,,,,,,
335386.8,0.249,,,,,,,,,,
342586.8,0.254,,,,,,,,,,
345600.0,0.258,,,,,,,,,,
352800.0,0.255,,,,,,,,,,
360000.0,0.253,,,,,,,,,,
367200.0,0.251,,,,,,,,,,
374400.0,0.258,,,,,,,,,,
381600.0,0.26,,,,,,,,,,
388800.0,0.257,,,,,,,,,,
396000.0,0.258,,,,,,,,,,
403200.0,0.258,,,,,,,,,,
410400.0,0.257,,,,,,,,,,
417600.0,0.256,,,,,,,,,,
424800.0,0.258,,,,,,,,,,
432000.0,0.258,,,,,,,,,,
439200.0,0.257,,,,,,,,,,
446400.0,0.256,,,,,,,,,,
453600.0,0.256,,,,,,,,,,
460800.0,0.254,,,,,,,,,,
468000.0,0.254,,,,,,,,,,
475200.0,0.252,,,,,,,,,,
482400.0,0.256,,,,,,,,,,
489600.0,0.254,,,,,,,,,,
496800.0,0.257,,,,,,,,,,
504000.0,0.255,,,,,,,,,,
511200.0,0.256,,,,,,,,,,
518400.0,0.254,,,,,,,,,,
525600.0,0.253,,,,,,,,,,
532800.0,0.261,,,,,,,,,,
540000.0,0.259,,,,,,,,,,
547200.0,0.258,,,,,,,,,,
554400.0,0.259,,,,,,,,,,
561600.0,0.261,,,,,,,,,,
568800.0,0.26,,,,,,,,,,
576000.0,0.273,,,,,,,,,,
583200.0,0.267,,,,,,,,,,
590400.0,0.27,,,,,,,,,,
597600.0,0.266,,,,,,,,,,
604800.0,0.27,,,,,,,,,,
612000.0,0.268,,,,,,,,,,
619200.0,0.271,,,,,,,,,,
626400.0,0.271,,,,,,,,,,
633600.0,0.271,,,,,,,,,,
640800.0,0.27,,,,,,,,,,
648000.0,0.269,,,,,,,,,,
655200.0,0.268,,,,,,,,,,
662400.0,0.265,,,,,,,,,,
669600.0,0.267,,,,,,,,,,
676800.0,0.27,,,,,,,,,,
684000.0,0.271,,,,,,,,,,
691200.0,0.27,,,,,,,,,,
698400.0,0.274,,,,,,,,,,
705600.0,0.274,,,,,,,,,,
712800.0,0.27,,,,,,,,,,
720000.0,0.274,,,,,,,,,,
727200.0,0.276,,,,,,,,,,
734400.0,0.275,,,,,,,,,,
741600.0,0.279,,,,,,,,,,
748800.0,0.276,,,,,,,,,,
756000.0,0.277,,,,,,,,,,
763200.0,0.272,,,,,,,,,,
770400.0,0.276,,,,,,,,,,
777600.0,0.282,,,,,,,,,,
784800.0,0.281,,,,,,,,,,
792000.0,0.276,,,,,,,,,,
799200.0,0.268,,,,,,,,,,
806400.0,0.286,,,,,,,,,,
813600.0,0.305,,,,,,,,,,
820800.0,0.266,,,,,,,,,,
828000.0,0.243,,,,,,,,,,
835200.0,0.275,,,,,,,,,,
842400.0,0.253,,,,,,,,,,
849600.0,0.246,,,,,,,,,,
853200.0,0.285,,,,,,,,,,
860400.0,0.298,,,,,,,,,,
867600.0,0.295,,,,,,,,,,
874800.0,0.262,,,,,,,,,,
882000.0,0.286,,,,,,,,,,
889200.0,0.25,,,,,,,,,,
896400.0,0.263,,,,,,,,,,
903600.0,0.264,,,,,,,,,,
910800.0,0.276,,,,,,,,,,
918000.0,0.275,,,,,,,,,,
925200.0,0.269,,,,,,,,,,
932400.0,0.273,,,,,,,,,,
939600.0,0.278,,,,,,,,,,
946800.0,0.281,,,,,,,,,,
951062.4,0.265,,,,,,,,,,
958262.4,0.253,,,,,,,,,,
965462.4,0.274,,,,,,,,,,
972662.4,0.272,,,,,,,,,,
979862.4,0.274,,,,,,,,,,
987062.4,0.277,,,,,,,,,,
994262.4,0.277,,,,,,,,,,
1001462.4,0.282,,,,,,,,,,
1008662.4,0.282,,,,,,,,,,
1015862.4,0.274,,,,,,,,,,
1023062.4,0.27,,,,,,,,,,
1030262.4,0.273,,,,,,,,,,
1036900.8,0.274,,,,,,,,,,
1044100.8,0.266,,,,,,,,,,
1051300.8,0.267,,,,,,,,,,
1058500.8,0.277,,,,,,,,,,
1065600.0,0.283,,,,,,,,,,
1072800.0,0.306,,,,,,,,,,
1080000.0,0.318,,,,,,,,,,
1087200.0,0.322,,,,,,,,,,
1094400.0,0.318,,,,,,,,,,
1101600.0,0.317,,,,,,,,,,
1108800.0,0.316,,,,,,,,,,
1116000.0,0.317,,,,,,,,,,
1123200.0,0.306,,,,,,,,,,
1130400.0,0.277,,,,,,,,,,
1137600.0,0.276,,,,,,,,,,
1144800.0,0.289,,,,,,,,,,
1152000.0,0.286,,,,,,,,,,
1159200.0,0.317,,,,,,,,,,
