time,strain,temperature,stress,type,state,form,process,medium,title,youngs,poissons
0.0,0.0,850.0,43.0,creep,Ruptured,Plate,Weld,Air,AirWeld_850_43_b,153000.0,0.3
0.0,0.0,,,,,,,,,,
46.8,0.00463,,,,,,,,,,
64.8,0.00536,,,,,,,,,,
79.2,0.00502,,,,,,,,,,
93.6,0.00521,,,,,,,,,,
111.6,0.00537,,,,,,,,,,
126.0,0.00531,,,,,,,,,,
144.0,0.00531,,,,,,,,,,
158.4,0.00557,,,,,,,,,,
172.8,0.00547,,,,,,,,,,
190.8,0.00539,,,,,,,,,,
205.2,0.00543,,,,,,,,,,
223.2,0.00547,,,,,,,,,,
237.6,0.0055,,,,,,,,,,
252.0,0.00558,,,,,,,,,,
270.0,0.00551,,,,,,,,,,
284.4,0.00551,,,,,,,,,,
298.8,0.0056,,,,,,,,,,
316.8,0.00561,,,,,,,,,,
331.2,0.00555,,,,,,,,,,
349.2,0.0055,,,,,,,,,,
363.6,0.00543,,,,,,,,,,
378.0,0.00565,,,,,,,,,,
396.0,0.0055,,,,,,,,,,
410.4,0.00547,,,,,,,,,,
428.4,0.00555,,,,,,,,,,
442.8,0.00561,,,,,,,,,,
457.2,0.00564,,,,,,,,,,
475.2,0.00584,,,,,,,,,,
489.6,0.00558,,,,,,,,,,
507.6,0.00568,,,,,,,,,,
522.0,0.00556,,,,,,,,,,
536.4,0.00557,,,,,,,,,,
554.4,0.00555,,,,,,,,,,
568.8,0.0056,,,,,,,,,,
586.8,0.00558,,,,,,,,,,
601.2,0.00573,,,,,,,,,,
615.6,0.0058,,,,,,,,,,
633.6,0.00571,,,,,,,,,,
648.0,0.00557,,,,,,,,,,
666.0,0.00574,,,,,,,,,,
680.4,0.00564,,,,,,,,,,
694.8,0.00571,,,,,,,,,,
712.8,0.0058,,,,,,,,,,
727.2,0.0056,,,,,,,,,,
745.2,0.00576,,,,,,,,,,
759.6,0.0057,,,,,,,,,,
774.0,0.00571,,,,,,,,,,
792.0,0.00565,,,,,,,,,,
806.4,0.0057,,,,,,,,,,
824.4,0.00565,,,,,,,,,,
838.8,0.00564,,,,,,,,,,
853.2,0.00584,,,,,,,,,,
871.2,0.00568,,,,,,,,,,
885.6,0.00574,,,,,,,,,,
900.0,0.00567,,,,,,,,,,
1800.0,0.0059,,,,,,,,,,
9000.0,0.00632,,,,,,,,,,
14443.2,0.00642,,,,,,,,,,
21643.2,0.00675,,,,,,,,,,
28843.2,0.0068,,,,,,,,,,
36043.2,0.00694,,,,,,,,,,
43243.2,0.00716,,,,,,,,,,
50443.2,0.00713,,,,,,,,,,
53085.6,0.00713,,,,,,,,,,
60285.6,0.00718,,,,,,,,,,
67485.6,0.00746,,,,,,,,,,
74685.6,0.00744,,,,,,,,,,
81885.6,0.00757,,,,,,,,,,
89085.6,0.0076,,,,,,,,,,
96285.6,0.00767,,,,,,,,,,
