time,strain,temperature,stress,type,state,form,process,medium,title,youngs,poissons
0.0,0.0,950.0,22.0,creep,Ruptured,Plate,Base,Air,AirBase_950_22_a,144000.0,0.3
0.0,0.0,,,,,,,,,,
47.9,3.2e-05,,,,,,,,,,
551.9,2.3e-05,,,,,,,,,,
11400.1,6e-05,,,,,,,,,,
20999.9,-0.000269,,,,,,,,,,
30600.0,-0.00089,,,,,,,,,,
40200.1,-0.000886,,,,,,,,,,
49799.9,-0.002759,,,,,,,,,,
59400.0,-0.002754,,,,,,,,,,
69000.1,-0.002727,,,,,,,,,,
78599.9,-0.001818,,,,,,,,,,
88200.0,-0.001822,,,,,,,,,,
97800.1,-0.001808,,,,,,,,,,
107399.9,-0.001808,,,,,,,,,,
117000.0,-0.001961,,,,,,,,,,
126600.1,-0.002254,,,,,,,,,,
136199.9,-0.001924,,,,,,,,,,
145800.0,-0.00083,,,,,,,,,,
155400.1,0.000515,,,,,,,,,,
164999.9,0.001428,,,,,,,,,,
174600.0,0.00192,,,,,,,,,,
184200.1,0.001433,,,,,,,,,,
193799.9,0.001034,,,,,,,,,,
203400.0,0.000997,,,,,,,,,,
213000.1,0.000969,,,,,,,,,,
222599.9,0.000974,,,,,,,,,,
232200.0,-0.00089,,,,,,,,,,
241800.1,-0.000844,,,,,,,,,,
251399.9,2.3e-05,,,,,,,,,,
261000.0,0.001873,,,,,,,,,,
270600.1,0.002346,,,,,,,,,,
280199.9,0.00223,,,,,,,,,,
289800.0,0.002175,,,,,,,,,,
299400.1,0.002337,,,,,,,,,,
308999.9,0.002342,,,,,,,,,,
318600.0,0.002342,,,,,,,,,,
328200.1,0.002606,,,,,,,,,,
337799.9,0.00281,,,,,,,,,,
347400.0,0.002889,,,,,,,,,,
357000.1,0.002314,,,,,,,,,,
366599.9,0.002374,,,,,,,,,,
376200.0,0.002346,,,,,,,,,,
385800.1,0.002407,,,,,,,,,,
395399.9,0.002805,,,,,,,,,,
405000.0,0.00281,,,,,,,,,,
414600.1,0.002819,,,,,,,,,,
424199.9,0.003269,,,,,,,,,,
433800.0,0.002861,,,,,,,,,,
443400.1,0.002949,,,,,,,,,,
452999.9,0.003292,,,,,,,,,,
462600.0,0.003366,,,,,,,,,,
472200.1,0.003371,,,,,,,,,,
481799.9,0.00371,,,,,,,,,,
491400.0,0.003747,,,,,,,,,,
501000.1,0.004025,,,,,,,,,,
510599.9,0.004062,,,,,,,,,,
