time,strain,temperature,stress,type,state,form,process,medium,title,youngs,poissons
0.0,0.0,850.0,35.0,creep,Ruptured,Plate,Base,He,HeBase_850_35_a,153000.0,0.3
0.0,0.0,,,,,,,,,,
12.0,0.01422,,,,,,,,,,
47.0,0.01847,,,,,,,,,,
120.0,0.01847,,,,,,,,,,
264.0,0.01847,,,,,,,,,,
551.0,0.01891,,,,,,,,,,
28798.0,0.02259,,,,,,,,,,
86399.0,0.02322,,,,,,,,,,
144001.0,0.02322,,,,,,,,,,
201603.0,0.02322,,,,,,,,,,
259205.0,0.02372,,,,,,,,,,
316807.0,0.02431,,,,,,,,,,
374409.0,0.02431,,,,,,,,,,
432011.0,0.02431,,,,,,,,,,
489613.0,0.02431,,,,,,,,,,
547215.0,0.02431,,,,,,,,,,
604817.0,0.02431,,,,,,,,,,
662419.0,0.02431,,,,,,,,,,
720020.0,0.02472,,,,,,,,,,
777622.0,0.02538,,,,,,,,,,
835224.0,0.02538,,,,,,,,,,
892826.0,0.02538,,,,,,,,,,
950428.0,0.02584,,,,,,,,,,
1008030.0,0.02566,,,,,,,,,,
1065632.0,0.02559,,,,,,,,,,
1123234.0,0.02559,,,,,,,,,,
1180836.0,0.02631,,,,,,,,,,
1238438.0,0.02581,,,,,,,,,,
1296039.0,0.02581,,,,,,,,,,
1353642.0,0.02609,,,,,,,,,,
1411243.0,0.02616,,,,,,,,,,
1468845.0,0.02688,,,,,,,,,,
1526447.0,0.02659,,,,,,,,,,
1584049.0,0.02659,,,,,,,,,,
1641651.0,0.02691,,,,,,,,,,
1699253.0,0.02738,,,,,,,,,,
1756855.0,0.02738,,,,,,,,,,
1814457.0,0.02784,,,,,,,,,,
1872059.0,0.02734,,,,,,,,,,
1929661.0,0.02734,,,,,,,,,,
1987263.0,0.02734,,,,,,,,,,
2044864.0,0.02734,,,,,,,,,,
2102467.0,0.02822,,,,,,,,,,
2160069.0,0.02822,,,,,,,,,,
2217670.0,0.02853,,,,,,,,,,
2275272.0,0.02856,,,,,,,,,,
2332874.0,0.02856,,,,,,,,,,
2390476.0,0.02903,,,,,,,,,,
2448078.0,0.02909,,,,,,,,,,
2505680.0,0.02975,,,,,,,,,,
2563282.0,0.03034,,,,,,,,,,
2620884.0,0.03034,,,,,,,,,,
2678486.0,0.03034,,,,,,,,,,
2736088.0,0.03103,,,,,,,,,,
2793690.0,0.03103,,,,,,,,,,
2851292.0,0.03103,,,,,,,,,,
2908894.0,0.03169,,,,,,,,,,
2966496.0,0.03169,,,,,,,,,,
3024098.0,0.03169,,,,,,,,,,
3081700.0,0.03212,,,,,,,,,,
3139302.0,0.03284,,,,,,,,,,
3196903.0,0.03347,,,,,,,,,,
3254505.0,0.03388,,,,,,,,,,
3312107.0,0.03388,,,,,,,,,,
3369709.0,0.03388,,,,,,,,,,
3427311.0,0.03431,,,,,,,,,,
3484913.0,0.03431,,,,,,,,,,
3542515.0,0.03478,,,,,,,,,,
3600117.0,0.03478,,,,,,,,,,
3657719.0,0.03478,,,,,,,,,,
3715321.0,0.03525,,,,,,,,,,
3772923.0,0.03525,,,,,,,,,,
3830525.0,0.03588,,,,,,,,,,
3888127.0,0.03594,,,,,,,,,,
3945729.0,0.03659,,,,,,,,,,
4003330.0,0.03662,,,,,,,,,,
4060932.0,0.03731,,,,,,,,,,
4118534.0,0.03731,,,,,,,,,,
4176136.0,0.03772,,,,,,,,,,
4233738.0,0.03778,,,,,,,,,,
4291340.0,0.03825,,,,,,,,,,
4348942.0,0.03834,,,,,,,,,,
4406544.0,0.03894,,,,,,,,,,
4464146.0,0.03894,,,,,,,,,,
4521748.0,0.03972,,,,,,,,,,
4579350.0,0.03972,,,,,,,,,,
4636951.0,0.04031,,,,,,,,,,
4694553.0,0.04034,,,,,,,,,,
4752155.0,0.04041,,,,,,,,,,
4809757.0,0.04109,,,,,,,,,,
4867359.0,0.04112,,,,,,,,,,
4924961.0,0.04175,,,,,,,,,,
4982563.0,0.04175,,,,,,,,,,
5040165.0,0.04178,,,,,,,,,,
5097767.0,0.03625,,,,,,,,,,
5155369.0,0.04228,,,,,,,,,,
5212971.0,0.04272,,,,,,,,,,
5270573.0,0.04325,,,,,,,,,,
5328175.0,0.04325,,,,,,,,,,
5385777.0,0.04391,,,,,,,,,,
5443379.0,0.04391,,,,,,,,,,
5500981.0,0.04434,,,,,,,,,,
5558583.0,0.04478,,,,,,,,,,
5616184.0,0.04481,,,,,,,,,,
5673786.0,0.04525,,,,,,,,,,
5731388.0,0.04525,,,,,,,,,,
5788990.0,0.04597,,,,,,,,,,
5846592.0,0.04597,,,,,,,,,,
5904194.0,0.04672,,,,,,,,,,
5961796.0,0.04678,,,,,,,,,,
6019398.0,0.04728,,,,,,,,,,
6077000.0,0.04734,,,,,,,,,,
6134602.0,0.04784,,,,,,,,,,
6192204.0,0.04788,,,,,,,,,,
6249806.0,0.0485,,,,,,,,,,
6307407.0,0.0485,,,,,,,,,,
6365010.0,0.04909,,,,,,,,,,
6422611.0,0.04909,,,,,,,,,,
6480213.0,0.04966,,,,,,,,,,
6537815.0,0.04966,,,,,,,,,,
6595417.0,0.05041,,,,,,,,,,
6653019.0,0.05044,,,,,,,,,,
6710621.0,0.05047,,,,,,,,,,
6768223.0,0.05103,,,,,,,,,,
6825825.0,0.05106,,,,,,,,,,
6883427.0,0.05147,,,,,,,,,,
6941029.0,0.05212,,,,,,,,,,
6998631.0,0.05216,,,,,,,,,,
7056233.0,0.05216,,,,,,,,,,
7113835.0,0.05284,,,,,,,,,,
7171437.0,0.05288,,,,,,,,,,
7229039.0,0.05288,,,,,,,,,,
7286641.0,0.05334,,,,,,,,,,
7344243.0,0.05409,,,,,,,,,,
7401845.0,0.05409,,,,,,,,,,
7459447.0,0.05409,,,,,,,,,,
7517049.0,0.05453,,,,,,,,,,
7574650.0,0.05516,,,,,,,,,,
7632252.0,0.05522,,,,,,,,,,
7689854.0,0.05522,,,,,,,,,,
7747456.0,0.05562,,,,,,,,,,
7805058.0,0.05562,,,,,,,,,,
7862660.0,0.05622,,,,,,,,,,
7920262.0,0.05625,,,,,,,,,,
7977864.0,0.05691,,,,,,,,,,
8035466.0,0.05691,,,,,,,,,,
8093068.0,0.05728,,,,,,,,,,
8150670.0,0.05734,,,,,,,,,,
8208272.0,0.05784,,,,,,,,,,
8265874.0,0.05784,,,,,,,,,,
8323476.0,0.0585,,,,,,,,,,
8381078.0,0.05853,,,,,,,,,,
8438680.0,0.05922,,,,,,,,,,
8496282.0,0.05887,,,,,,,,,,
8553884.0,0.05959,,,,,,,,,,
8611486.0,0.06019,,,,,,,,,,
8669088.0,0.05991,,,,,,,,,,
8726690.0,0.05991,,,,,,,,,,
8784292.0,0.06087,,,,,,,,,,
8841894.0,0.06041,,,,,,,,,,
8899496.0,0.06084,,,,,,,,,,
8957098.0,0.06131,,,,,,,,,,
9014700.0,0.06134,,,,,,,,,,
9072302.0,0.06191,,,,,,,,,,
9129904.0,0.06194,,,,,,,,,,
9187506.0,0.06266,,,,,,,,,,
9245108.0,0.06272,,,,,,,,,,
9302710.0,0.06328,,,,,,,,,,
9360312.0,0.06334,,,,,,,,,,
9417914.0,0.06353,,,,,,,,,,
9475516.0,0.06394,,,,,,,,,,
9533118.0,0.06394,,,,,,,,,,
9590720.0,0.06459,,,,,,,,,,
9648323.0,0.06459,,,,,,,,,,
9705925.0,0.06459,,,,,,,,,,
9763526.0,0.065,,,,,,,,,,
9821129.0,0.065,,,,,,,,,,
9878731.0,0.06544,,,,,,,,,,
9936333.0,0.06547,,,,,,,,,,
9993935.0,0.066,,,,,,,,,,
10051537.0,0.066,,,,,,,,,,
10109139.0,0.06675,,,,,,,,,,
10166741.0,0.06675,,,,,,,,,,
10224343.0,0.06734,,,,,,,,,,
10281945.0,0.06741,,,,,,,,,,
10339548.0,0.06813,,,,,,,,,,
