time,strain,temperature,stress,type,state,form,process,medium,title,youngs,poissons
0.0,0.0,950.0,30.0,creep,Ruptured,Plate,Base,He,HeBase_950_30_b,144000.0,0.3
0.0,0.0,,,,,,,,,,
3600.0,0.0005333,,,,,,,,,,
4800.0,0.0005,,,,,,,,,,
6000.0,0.0004667,,,,,,,,,,
7200.0,0.0004667,,,,,,,,,,
8400.0,0.0004333,,,,,,,,,,
9600.0,0.0004333,,,,,,,,,,
10800.0,0.0004333,,,,,,,,,,
12000.0,0.0004333,,,,,,,,,,
13200.0,0.0004333,,,,,,,,,,
14400.0,0.0004333,,,,,,,,,,
15600.0,0.0004333,,,,,,,,,,
16799.0,0.0004333,,,,,,,,,,
17999.0,0.0004,,,,,,,,,,
19200.0,0.0004,,,,,,,,,,
20400.0,0.0004,,,,,,,,,,
21600.0,0.0004,,,,,,,,,,
22799.0,0.0004,,,,,,,,,,
24000.0,0.0004,,,,,,,,,,
25200.0,0.0004,,,,,,,,,,
26399.0,0.0016,,,,,,,,,,
27599.0,0.0007333,,,,,,,,,,
28799.0,0.0007667,,,,,,,,,,
29999.0,0.001,,,,,,,,,,
31199.0,0.001,,,,,,,,,,
32399.0,0.001,,,,,,,,,,
33599.0,0.0009667,,,,,,,,,,
34799.0,0.0009667,,,,,,,,,,
35999.0,0.001,,,,,,,,,,
37199.0,0.0010333,,,,,,,,,,
38399.0,0.0010333,,,,,,,,,,
39599.0,0.0010333,,,,,,,,,,
40799.0,0.0010333,,,,,,,,,,
41999.0,0.0010333,,,,,,,,,,
43199.0,0.001,,,,,,,,,,
44399.0,0.0009667,,,,,,,,,,
45599.0,0.0009667,,,,,,,,,,
46799.0,0.0009667,,,,,,,,,,
47999.0,0.0009333,,,,,,,,,,
49198.0,0.0009333,,,,,,,,,,
50399.0,0.0009333,,,,,,,,,,
51599.0,0.0009333,,,,,,,,,,
52799.0,0.0012,,,,,,,,,,
53999.0,0.0012,,,,,,,,,,
55199.0,0.0012,,,,,,,,,,
56399.0,0.0012,,,,,,,,,,
57599.0,0.0012,,,,,,,,,,
58799.0,0.0011667,,,,,,,,,,
59998.0,0.0011667,,,,,,,,,,
61198.0,0.0011667,,,,,,,,,,
62398.0,0.0011667,,,,,,,,,,
63598.0,0.0011667,,,,,,,,,,
64798.0,0.0011667,,,,,,,,,,
65998.0,0.0011667,,,,,,,,,,
67198.0,0.0011667,,,,,,,,,,
68398.0,0.0011667,,,,,,,,,,
69598.0,0.0012,,,,,,,,,,
70798.0,0.0012,,,,,,,,,,
71998.0,0.0012,,,,,,,,,,
73198.0,0.0017,,,,,,,,,,
74398.0,0.0017,,,,,,,,,,
75598.0,0.0017,,,,,,,,,,
76798.0,0.0017,,,,,,,,,,
77998.0,0.0017,,,,,,,,,,
79198.0,0.0017,,,,,,,,,,
80398.0,0.0017,,,,,,,,,,
81598.0,0.0017,,,,,,,,,,
82798.0,0.0017,,,,,,,,,,
83998.0,0.0017,,,,,,,,,,
85198.0,0.0017,,,,,,,,,,
86398.0,0.0017,,,,,,,,,,
87598.0,0.0017,,,,,,,,,,
88798.0,0.0017,,,,,,,,,,
89998.0,0.0017,,,,,,,,,,
91197.0,0.0017,,,,,,,,,,
92397.0,0.0017,,,,,,,,,,
93598.0,0.0017,,,,,,,,,,
94798.0,0.0017,,,,,,,,,,
95997.0,0.0017,,,,,,,,,,
97197.0,0.0016667,,,,,,,,,,
98397.0,0.0016333,,,,,,,,,,
99597.0,0.0016333,,,,,,,,,,
100797.0,0.0016,,,,,,,,,,
101997.0,0.0016,,,,,,,,,,
103197.0,0.0016,,,,,,,,,,
104397.0,0.0015667,,,,,,,,,,
105597.0,0.0015667,,,,,,,,,,
106797.0,0.0015667,,,,,,,,,,
107997.0,0.0021,,,,,,,,,,
109197.0,0.0021,,,,,,,,,,
110397.0,0.0021333,,,,,,,,,,
111597.0,0.0021333,,,,,,,,,,
112797.0,0.0021667,,,,,,,,,,
113997.0,0.0021667,,,,,,,,,,
115197.0,0.0021667,,,,,,,,,,
116397.0,0.0021667,,,,,,,,,,
117597.0,0.0021667,,,,,,,,,,
118797.0,0.0021667,,,,,,,,,,
119997.0,0.0024,,,,,,,,,,
121197.0,0.0024,,,,,,,,,,
122397.0,0.0024,,,,,,,,,,
123597.0,0.0023667,,,,,,,,,,
124797.0,0.0024,,,,,,,,,,
125996.0,0.0023667,,,,,,,,,,
127196.0,0.0023667,,,,,,,,,,
128396.0,0.0023667,,,,,,,,,,
129596.0,0.0023667,,,,,,,,,,
130796.0,0.0028333,,,,,,,,,,
131996.0,0.0028333,,,,,,,,,,
133196.0,0.0028333,,,,,,,,,,
134396.0,0.0028333,,,,,,,,,,
135596.0,0.0028667,,,,,,,,,,
136796.0,0.0028333,,,,,,,,,,
137996.0,0.0028333,,,,,,,,,,
139196.0,0.0028333,,,,,,,,,,
140396.0,0.0028333,,,,,,,,,,
141596.0,0.0028333,,,,,,,,,,
142796.0,0.0028333,,,,,,,,,,
143996.0,0.0028333,,,,,,,,,,
145196.0,0.0028333,,,,,,,,,,
146396.0,0.0028333,,,,,,,,,,
147596.0,0.0028333,,,,,,,,,,
148796.0,0.0028333,,,,,,,,,,
149996.0,0.0028333,,,,,,,,,,
151195.0,0.0028333,,,,,,,,,,
152396.0,0.0028333,,,,,,,,,,
153596.0,0.0028333,,,,,,,,,,
154795.0,0.0028333,,,,,,,,,,
