time,strain,stress,temperature,type,strain_rate,max_strain,title,youngs,poissons
0.0,2e-05,12.6,950,fatigue,0.001,0.00202,43-9,144000,0.3
0.04,4e-05,15.77,,,,,,,
0.09,7e-05,19.95,,,,,,,
0.14,9e-05,24.12,,,,,,,
0.17,0.00012,27.27,,,,,,,
0.19,0.00014,30.8,,,,,,,
0.21,0.00017,33.99,,,,,,,
0.23,0.0002,37.59,,,,,,,
0.25,0.00022,40.76,,,,,,,
0.27,0.00025,43.92,,,,,,,
0.3,0.00027,47.12,,,,,,,
0.33,0.0003,49.99,,,,,,,
0.35,0.00032,52.65,,,,,,,
0.38,0.00035,55.69,,,,,,,
0.43,0.00037,59.37,,,,,,,
0.46,0.0004,62.63,,,,,,,
0.51,0.00042,66.78,,,,,,,
0.54,0.00045,69.92,,,,,,,
0.57,0.00048,73.13,,,,,,,
0.59,0.0005,76.12,,,,,,,
0.62,0.00053,79.64,,,,,,,
0.65,0.00055,83.08,,,,,,,
0.68,0.00058,86.68,,,,,,,
0.71,0.0006,89.98,,,,,,,
0.73,0.00063,93.47,,,,,,,
0.75,0.00065,97.19,,,,,,,
0.78,0.00068,100.88,,,,,,,
0.79,0.00071,104.41,,,,,,,
0.81,0.00073,107.27,,,,,,,
0.83,0.00076,110.38,,,,,,,
0.85,0.00078,114.03,,,,,,,
0.87,0.00081,117.08,,,,,,,
0.88,0.00083,119.86,,,,,,,
0.9,0.00086,122.76,,,,,,,
0.92,0.00089,125.82,,,,,,,
0.94,0.00091,129.18,,,,,,,
0.97,0.00094,132.7,,,,,,,
0.99,0.00096,136.03,,,,,,,
1.01,0.00099,138.99,,,,,,,
1.04,0.00101,142.06,,,,,,,
1.06,0.00104,145.6,,,,,,,
1.09,0.00106,148.93,,,,,,,
1.11,0.00109,151.59,,,,,,,
1.13,0.00112,154.39,,,,,,,
1.16,0.00114,157.4,,,,,,,
1.18,0.00117,159.68,,,,,,,
1.2,0.00119,161.16,,,,,,,
1.21,0.00122,161.52,,,,,,,
1.21,0.00125,161.37,,,,,,,
1.22,0.00128,161.3,,,,,,,
1.22,0.0013,161.33,,,,,,,
1.22,0.00133,161.38,,,,,,,
1.23,0.00136,161.51,,,,,,,
1.23,0.00138,161.62,,,,,,,
1.23,0.00141,161.78,,,,,,,
1.24,0.00144,161.94,,,,,,,
1.25,0.00147,162.03,,,,,,,
1.25,0.00149,162.01,,,,,,,
1.27,0.00152,161.57,,,,,,,
1.37,0.00149,151.61,,,,,,,
1.42,0.00147,146.85,,,,,,,
1.48,0.00144,142.52,,,,,,,
1.53,0.00142,137.55,,,,,,,
1.57,0.00139,133.04,,,,,,,
1.61,0.00137,128.39,,,,,,,
1.63,0.00134,124.54,,,,,,,
1.66,0.00131,120.79,,,,,,,
1.68,0.00129,117.36,,,,,,,
