time,strain,stress,temperature,type,strain_rate,max_strain,title,youngs,poissons
0.0,-1e-05,8.47,950,fatigue,0.001,0.00151,A-20,144000,0.3
0.09,0.0,11.98,,,,,,,
0.15,1e-05,14.12,,,,,,,
0.18,4e-05,18.22,,,,,,,
0.21,4e-05,18.36,,,,,,,
0.25,6e-05,21.86,,,,,,,
0.31,9e-05,25.56,,,,,,,
0.31,9e-05,25.98,,,,,,,
0.34,0.00011,29.63,,,,,,,
0.4,0.00014,32.95,,,,,,,
0.4,0.00014,33.31,,,,,,,
0.46,0.00017,37.38,,,,,,,
0.5,0.00018,39.11,,,,,,,
0.53,0.00019,42.19,,,,,,,
0.59,0.00022,45.97,,,,,,,
0.59,0.00023,48.26,,,,,,,
0.62,0.00024,50.28,,,,,,,
0.65,0.00027,54.11,,,,,,,
0.68,0.00029,57.66,,,,,,,
0.68,0.00032,61.02,,,,,,,
0.71,0.00032,61.77,,,,,,,
0.75,0.00034,65.71,,,,,,,
0.78,0.00037,69.33,,,,,,,
0.78,0.0004,72.23,,,,,,,
0.81,0.0004,73.52,,,,,,,
0.84,0.00042,76.46,,,,,,,
0.87,0.00045,79.67,,,,,,,
0.9,0.00047,83.56,,,,,,,
0.9,0.00047,83.86,,,,,,,
0.93,0.0005,86.53,,,,,,,
0.96,0.00052,90.4,,,,,,,
1.0,0.00054,92.68,,,,,,,
1.0,0.00055,93.43,,,,,,,
1.06,0.00057,95.78,,,,,,,
1.09,0.00058,96.21,,,,,,,
1.18,0.00058,94.0,,,,,,,
1.28,0.00055,88.36,,,,,,,
1.31,0.00054,88.07,,,,,,,
1.34,0.00052,85.34,,,,,,,
1.4,0.0005,82.66,,,,,,,
1.4,0.0005,81.9,,,,,,,
1.5,0.00047,78.1,,,,,,,
1.5,0.00047,77.75,,,,,,,
1.56,0.00045,73.75,,,,,,,
1.59,0.00043,71.45,,,,,,,
1.62,0.00042,69.45,,,,,,,
1.65,0.0004,66.99,,,,,,,
1.68,0.00038,63.76,,,,,,,
1.71,0.00037,63.12,,,,,,,
1.75,0.00035,59.81,,,,,,,
1.78,0.00032,55.75,,,,,,,
1.81,0.00032,55.07,,,,,,,
1.81,0.0003,52.27,,,,,,,
1.87,0.00027,48.3,,,,,,,
1.9,0.00025,45.25,,,,,,,
1.9,0.00025,45.1,,,,,,,
1.93,0.00022,40.48,,,,,,,
1.96,0.00019,36.82,,,,,,,
2.0,0.00018,34.91,,,,,,,
2.0,0.00017,33.11,,,,,,,
2.06,0.00014,29.57,,,,,,,
2.09,0.00012,25.76,,,,,,,
2.09,0.00011,24.1,,,,,,,
2.12,9e-05,22.25,,,,,,,
2.15,7e-05,17.89,,,,,,,
2.18,4e-05,13.48,,,,,,,
