time,strain,stress,temperature,type,strain_rate,max_strain,title,youngs,poissons
0.0,2e-05,4.49,950,fatigue,0.001,0.00305,B-13,144000,0.3
0.05,5e-05,9.46,,,,,,,
0.08,8e-05,13.35,,,,,,,
0.11,0.0001,17.22,,,,,,,
0.13,0.00013,21.18,,,,,,,
0.16,0.00015,25.24,,,,,,,
0.19,0.00018,28.49,,,,,,,
0.22,0.0002,32.32,,,,,,,
0.25,0.00023,35.78,,,,,,,
0.28,0.00025,38.89,,,,,,,
0.31,0.00028,41.96,,,,,,,
0.35,0.0003,45.68,,,,,,,
0.39,0.00033,49.15,,,,,,,
0.44,0.00035,53.05,,,,,,,
0.48,0.00038,57.29,,,,,,,
0.52,0.00041,61.8,,,,,,,
0.54,0.00043,65.38,,,,,,,
0.57,0.00046,69.27,,,,,,,
0.59,0.00048,72.92,,,,,,,
0.61,0.00051,76.67,,,,,,,
0.64,0.00053,80.44,,,,,,,
0.66,0.00056,83.75,,,,,,,
0.68,0.00058,87.18,,,,,,,
0.7,0.00061,90.88,,,,,,,
0.72,0.00063,94.06,,,,,,,
0.75,0.00066,97.33,,,,,,,
0.77,0.00069,100.53,,,,,,,
0.78,0.0007,102.0,,,,,,,
0.79,0.00071,103.73,,,,,,,
0.82,0.00074,106.85,,,,,,,
0.85,0.00076,109.99,,,,,,,
0.88,0.00079,113.43,,,,,,,
0.91,0.00081,116.61,,,,,,,
0.94,0.00084,119.86,,,,,,,
0.97,0.00086,123.12,,,,,,,
1.01,0.00089,126.65,,,,,,,
1.04,0.00091,130.01,,,,,,,
1.07,0.00094,133.34,,,,,,,
1.1,0.00096,137.09,,,,,,,
1.13,0.00099,140.29,,,,,,,
1.16,0.00102,143.42,,,,,,,
1.19,0.00104,146.71,,,,,,,
1.22,0.00107,150.28,,,,,,,
1.24,0.00109,153.23,,,,,,,
1.27,0.00112,156.21,,,,,,,
1.29,0.00114,159.33,,,,,,,
1.32,0.00117,162.11,,,,,,,
1.34,0.0012,164.45,,,,,,,
1.35,0.00122,165.07,,,,,,,
1.36,0.00125,164.34,,,,,,,
1.36,0.00128,164.74,,,,,,,
1.37,0.0013,165.15,,,,,,,
1.37,0.00134,165.27,,,,,,,
1.38,0.00136,165.5,,,,,,,
1.38,0.00139,165.74,,,,,,,
1.38,0.00141,165.96,,,,,,,
1.39,0.00145,166.31,,,,,,,
1.39,0.00148,166.23,,,,,,,
1.39,0.00151,166.55,,,,,,,
1.4,0.00154,166.47,,,,,,,
1.4,0.00156,166.65,,,,,,,
1.41,0.00159,166.68,,,,,,,
1.41,0.00162,166.84,,,,,,,
1.42,0.00165,166.92,,,,,,,
1.42,0.00167,166.9,,,,,,,
1.43,0.0017,167.04,,,,,,,
1.44,0.00173,166.9,,,,,,,
1.45,0.00175,166.31,,,,,,,
1.48,0.00178,164.53,,,,,,,
1.55,0.00175,155.24,,,,,,,
1.59,0.00172,151.18,,,,,,,
1.77,0.00175,153.75,,,,,,,
