time,strain,stress,temperature,type,strain_rate,max_strain,title,youngs,poissons
0.0,5e-05,9.25,950,fatigue,0.001,0.00504,E-12,144000,0.3
0.06,0.0001,16.95,,,,,,,
0.1,0.00015,23.24,,,,,,,
0.17,0.0002,29.45,,,,,,,
0.26,0.00025,37.1,,,,,,,
0.3,0.00027,39.31,,,,,,,
0.36,0.0003,44.09,,,,,,,
0.4,0.00036,51.81,,,,,,,
0.44,0.00041,59.96,,,,,,,
0.47,0.00046,65.55,,,,,,,
0.53,0.00051,72.64,,,,,,,
0.58,0.00056,78.41,,,,,,,
0.66,0.00061,85.21,,,,,,,
0.73,0.00066,92.17,,,,,,,
0.8,0.00071,98.85,,,,,,,
0.8,0.00072,99.54,,,,,,,
0.85,0.00076,105.22,,,,,,,
0.89,0.00081,112.15,,,,,,,
0.92,0.00086,118.45,,,,,,,
0.96,0.00091,125.23,,,,,,,
0.99,0.00096,132.02,,,,,,,
1.03,0.00101,138.27,,,,,,,
1.07,0.00106,144.09,,,,,,,
1.11,0.00112,150.57,,,,,,,
1.15,0.00117,155.29,,,,,,,
1.18,0.00122,159.58,,,,,,,
1.22,0.00127,162.24,,,,,,,
1.24,0.00132,163.27,,,,,,,
1.25,0.00137,164.15,,,,,,,
1.27,0.00142,164.51,,,,,,,
1.3,0.00147,164.8,,,,,,,
1.3,0.00148,164.87,,,,,,,
1.39,0.00152,161.58,,,,,,,
1.52,0.00157,160.07,,,,,,,
1.57,0.00162,162.98,,,,,,,
1.62,0.00167,166.15,,,,,,,
1.66,0.00173,169.17,,,,,,,
1.7,0.00178,171.82,,,,,,,
1.74,0.00183,173.35,,,,,,,
1.76,0.00188,173.92,,,,,,,
1.78,0.00193,173.92,,,,,,,
1.79,0.00198,173.16,,,,,,,
1.8,0.00202,172.64,,,,,,,
1.8,0.00203,172.45,,,,,,,
1.82,0.00209,171.82,,,,,,,
2.08,0.00214,147.29,,,,,,,
2.14,0.00219,150.11,,,,,,,
2.18,0.00224,153.16,,,,,,,
2.22,0.00229,156.1,,,,,,,
2.26,0.00234,158.66,,,,,,,
2.3,0.00239,160.6,,,,,,,
2.3,0.00239,160.7,,,,,,,
2.34,0.00244,161.84,,,,,,,
2.39,0.00249,162.79,,,,,,,
2.43,0.00254,163.08,,,,,,,
2.48,0.00259,163.24,,,,,,,
2.53,0.00264,163.1,,,,,,,
2.57,0.00269,162.4,,,,,,,
2.62,0.00274,161.91,,,,,,,
2.67,0.00279,161.33,,,,,,,
2.73,0.00284,160.7,,,,,,,
2.77,0.00289,159.86,,,,,,,
2.8,0.00292,159.45,,,,,,,
2.82,0.00295,158.93,,,,,,,
2.88,0.003,158.26,,,,,,,
2.93,0.00305,157.56,,,,,,,
2.98,0.0031,156.85,,,,,,,
3.03,0.00315,156.35,,,,,,,
3.07,0.0032,155.47,,,,,,,
3.12,0.00325,154.75,,,,,,,
3.17,0.0033,154.08,,,,,,,
3.22,0.00335,153.41,,,,,,,
3.27,0.0034,152.72,,,,,,,
3.3,0.00343,152.16,,,,,,,
3.31,0.00345,151.86,,,,,,,
3.36,0.0035,150.85,,,,,,,
3.42,0.00355,149.71,,,,,,,
3.47,0.0036,148.56,,,,,,,
3.53,0.00365,147.95,,,,,,,
3.58,0.0037,147.28,,,,,,,
3.63,0.00375,146.82,,,,,,,
3.68,0.0038,146.69,,,,,,,
3.73,0.00385,146.45,,,,,,,
3.78,0.0039,146.38,,,,,,,
3.8,0.00392,146.43,,,,,,,
3.83,0.00395,146.35,,,,,,,
3.88,0.004,146.1,,,,,,,
3.92,0.00405,145.82,,,,,,,
3.98,0.0041,145.35,,,,,,,
4.03,0.00416,145.01,,,,,,,
4.08,0.00421,144.64,,,,,,,
4.13,0.00426,144.52,,,,,,,
4.18,0.00431,144.27,,,,,,,
4.23,0.00436,144.15,,,,,,,
4.28,0.00441,143.38,,,,,,,
4.3,0.00442,142.69,,,,,,,
4.46,0.00436,115.1,,,,,,,
4.49,0.00431,106.56,,,,,,,
4.52,0.00425,97.97,,,,,,,
4.56,0.0042,90.88,,,,,,,
