time,strain,stress,temperature,type,strain_rate,max_strain,title,youngs,poissons
0.0,5e-05,2.32,950,fatigue,0.0001,0.01002,J-2,144000,0.3
0.43,8e-05,7.89,,,,,,,
0.52,0.0001,8.96,,,,,,,
1.15,0.00015,16.65,,,,,,,
1.43,0.00015,20.42,,,,,,,
1.97,0.00021,26.2,,,,,,,
2.43,0.00024,34.03,,,,,,,
3.05,0.00031,40.33,,,,,,,
3.43,0.00033,45.87,,,,,,,
3.48,0.00036,47.65,,,,,,,
3.72,0.00041,53.07,,,,,,,
4.13,0.00046,57.66,,,,,,,
4.68,0.00051,63.93,,,,,,,
5.22,0.00056,69.43,,,,,,,
5.43,0.00056,71.97,,,,,,,
5.73,0.00061,74.85,,,,,,,
6.35,0.00067,80.95,,,,,,,
6.43,0.00065,82.06,,,,,,,
7.4,0.00077,92.05,,,,,,,
7.43,0.00075,92.35,,,,,,,
7.92,0.00082,96.88,,,,,,,
8.38,0.00087,102.54,,,,,,,
8.43,0.00086,102.88,,,,,,,
8.88,0.00092,106.09,,,,,,,
9.43,0.00095,110.15,,,,,,,
9.92,0.00102,114.26,,,,,,,
10.35,0.00107,115.92,,,,,,,
10.43,0.00106,115.97,,,,,,,
10.85,0.00112,115.95,,,,,,,
11.32,0.00117,115.32,,,,,,,
11.8,0.00123,114.25,,,,,,,
12.32,0.00128,114.02,,,,,,,
12.43,0.00127,114.19,,,,,,,
12.78,0.00133,113.0,,,,,,,
13.33,0.00138,112.09,,,,,,,
13.83,0.00143,111.18,,,,,,,
14.27,0.00148,108.92,,,,,,,
14.43,0.00148,108.09,,,,,,,
14.72,0.00153,107.3,,,,,,,
15.21,0.00158,105.96,,,,,,,
15.43,0.00159,105.21,,,,,,,
16.25,0.00169,104.31,,,,,,,
16.43,0.00169,103.79,,,,,,,
16.7,0.00174,102.75,,,,,,,
17.23,0.00179,101.17,,,,,,,
17.43,0.0018,100.57,,,,,,,
17.8,0.00184,99.74,,,,,,,
18.43,0.00189,99.48,,,,,,,
18.81,0.00194,99.23,,,,,,,
19.26,0.00199,98.95,,,,,,,
19.43,0.002,98.6,,,,,,,
19.78,0.00204,98.04,,,,,,,
20.26,0.0021,97.56,,,,,,,
20.86,0.00215,98.25,,,,,,,
21.31,0.0022,97.91,,,,,,,
21.43,0.0022,97.56,,,,,,,
21.91,0.00225,97.76,,,,,,,
22.35,0.0023,97.32,,,,,,,
22.43,0.0023,97.33,,,,,,,
23.38,0.0024,95.68,,,,,,,
23.43,0.0024,95.95,,,,,,,
23.86,0.00245,96.52,,,,,,,
24.4,0.00251,97.46,,,,,,,
24.43,0.0025,97.44,,,,,,,
25.33,0.00261,95.1,,,,,,,
25.43,0.0026,94.54,,,,,,,
25.88,0.00266,93.24,,,,,,,
26.41,0.00271,91.63,,,,,,,
26.43,0.0027,91.63,,,,,,,
26.93,0.00276,90.49,,,,,,,
28.05,0.00286,91.04,,,,,,,
28.43,0.00291,93.91,,,,,,,
28.48,0.00291,93.95,,,,,,,
28.98,0.00297,93.57,,,,,,,
29.4,0.00302,92.43,,,,,,,
29.43,0.00301,92.22,,,,,,,
30.43,0.00311,92.3,,,,,,,
30.48,0.00312,92.22,,,,,,,
30.96,0.00317,91.66,,,,,,,
31.43,0.00321,91.17,,,,,,,
31.5,0.00322,91.13,,,,,,,
32.03,0.00327,90.68,,,,,,,
32.51,0.00332,90.77,,,,,,,
33.11,0.00338,90.85,,,,,,,
33.43,0.00341,92.3,,,,,,,
33.58,0.00343,92.68,,,,,,,
34.0,0.00348,92.28,,,,,,,
34.43,0.00351,91.26,,,,,,,
35.04,0.00358,90.72,,,,,,,
35.43,0.00361,89.44,,,,,,,
35.55,0.00363,89.21,,,,,,,
36.11,0.00368,87.93,,,,,,,
36.43,0.00371,88.01,,,,,,,
36.55,0.00373,87.91,,,,,,,
37.43,0.00381,87.49,,,,,,,
37.61,0.00383,87.52,,,,,,,
38.13,0.00389,87.36,,,,,,,
38.43,0.00391,87.65,,,,,,,
38.7,0.00394,88.79,,,,,,,
39.43,0.00401,91.14,,,,,,,
39.66,0.00404,91.22,,,,,,,
40.18,0.00409,91.91,,,,,,,
40.43,0.0041,92.19,,,,,,,
40.73,0.00414,92.31,,,,,,,
41.2,0.00419,92.1,,,,,,,
41.7,0.00424,90.67,,,,,,,
42.21,0.00429,91.47,,,,,,,
42.43,0.00431,90.83,,,,,,,
42.75,0.00435,90.55,,,,,,,
43.23,0.0044,88.87,,,,,,,
43.43,0.00441,88.26,,,,,,,
44.25,0.0045,89.81,,,,,,,
44.43,0.00452,89.12,,,,,,,
44.78,0.00455,88.58,,,,,,,
45.36,0.0046,88.97,,,,,,,
45.43,0.0046,89.24,,,,,,,
45.84,0.00465,91.71,,,,,,,
46.43,0.00471,90.76,,,,,,,
46.86,0.00475,91.58,,,,,,,
47.39,0.0048,93.05,,,,,,,
47.43,0.00481,93.23,,,,,,,
47.73,0.00485,92.22,,,,,,,
48.34,0.0049,89.49,,,,,,,
48.89,0.00496,89.86,,,,,,,
49.39,0.00501,90.03,,,,,,,
49.43,0.00501,90.12,,,,,,,
49.89,0.00506,90.44,,,,,,,
50.39,0.00511,91.44,,,,,,,
50.86,0.00516,89.97,,,,,,,
51.41,0.00521,89.9,,,,,,,
51.43,0.00521,89.93,,,,,,,
51.89,0.00526,89.24,,,,,,,
52.43,0.0053,90.72,,,,,,,
52.46,0.00531,90.89,,,,,,,
53.43,0.0054,92.0,,,,,,,
53.51,0.00541,92.04,,,,,,,
53.92,0.00546,92.83,,,,,,,
54.43,0.0055,93.13,,,,,,,
54.46,0.00552,93.17,,,,,,,
54.91,0.00557,92.4,,,,,,,
55.49,0.00562,91.64,,,,,,,
56.04,0.00567,93.23,,,,,,,
56.43,0.00571,93.03,,,,,,,
56.49,0.00572,92.69,,,,,,,
57.01,0.00577,91.4,,,,,,,
57.43,0.0058,91.22,,,,,,,
58.04,0.00587,90.95,,,,,,,
58.43,0.0059,90.39,,,,,,,
58.53,0.00592,90.19,,,,,,,
59.09,0.00597,89.1,,,,,,,
59.43,0.006,90.23,,,,,,,
59.52,0.00603,90.14,,,,,,,
60.43,0.0061,91.13,,,,,,,
60.51,0.00613,90.86,,,,,,,
61.07,0.00618,88.63,,,,,,,
61.43,0.00621,88.04,,,,,,,
61.59,0.00623,87.6,,,,,,,
62.09,0.00628,88.39,,,,,,,
62.62,0.00633,89.65,,,,,,,
63.06,0.00638,89.43,,,,,,,
63.43,0.0064,88.56,,,,,,,
63.59,0.00643,88.88,,,,,,,
64.12,0.00648,89.15,,,,,,,
64.67,0.00654,91.23,,,,,,,
65.22,0.00659,91.41,,,,,,,
65.43,0.00659,91.41,,,,,,,
65.76,0.00664,91.53,,,,,,,
66.21,0.00669,92.22,,,,,,,
66.43,0.00669,91.52,,,,,,,
67.24,0.00679,91.56,,,,,,,
67.43,0.00679,91.52,,,,,,,
67.75,0.00684,90.98,,,,,,,
68.25,0.00689,89.91,,,,,,,
68.43,0.00689,89.89,,,,,,,
68.82,0.00695,90.03,,,,,,,
69.43,0.00698,90.46,,,,,,,
69.79,0.00705,90.99,,,,,,,
70.32,0.0071,91.15,,,,,,,
70.43,0.00709,91.1,,,,,,,
70.84,0.00715,91.29,,,,,,,
71.32,0.0072,91.03,,,,,,,
71.79,0.00725,90.14,,,,,,,
72.4,0.0073,90.62,,,,,,,
72.43,0.00728,90.72,,,,,,,
72.82,0.00735,91.7,,,,,,,
73.4,0.00741,90.25,,,,,,,
73.43,0.00738,90.34,,,,,,,
74.39,0.00751,92.95,,,,,,,
74.43,0.00749,92.75,,,,,,,
74.87,0.00756,92.89,,,,,,,
75.43,0.00759,93.02,,,,,,,
75.45,0.00761,93.08,,,,,,,
76.43,0.00768,92.2,,,,,,,
76.45,0.00772,92.19,,,,,,,
77.04,0.00777,92.51,,,,,,,
77.43,0.00778,92.42,,,,,,,
77.47,0.00782,92.28,,,,,,,
78.04,0.00787,91.94,,,,,,,
78.55,0.00792,92.21,,,,,,,
79.05,0.00797,92.35,,,,,,,
79.43,0.00799,91.98,,,,,,,
79.47,0.00802,91.86,,,,,,,
80.02,0.00808,90.6,,,,,,,
80.43,0.00808,90.43,,,,,,,
