time,strain,stress,temperature,type,medium,strain_rate,youngs,poissons
7.63,4.69E-05,57.47306696,25,tensile,air,0.01,211000,0.3
7.693,0.000114969,83.99357704,,,,,,
7.819,0.00031818,136.0122974,,,,,,
7.882,0.000399135,159.6300656,,,,,,
8.007,0.000717918,208.301189,,,,,,
8.069,0.000841533,229.8798385,,,,,,
8.205,0.00128501,279.3255344,,,,,,
8.268,0.00149116,299.0762708,,,,,,
8.398,0.001960285,340.3565324,,,,,,
8.466,0.002251834,360.4804874,,,,,,
8.591,0.002783084,394.081626,,,,,,
8.654,0.003032384,409.3727959,,,,,,
8.779,0.003708768,440.3078498,,,,,,
8.907,0.004476269,466.6056681,,,,,,
8.97,0.004819853,477.1020438,,,,,,
9.095,0.005721086,496.5426034,,,,,,
9.157,0.006171136,503.9342342,,,,,,
9.282,0.007142802,517.3411174,,,,,,
9.345,0.007708383,523.4625605,,,,,,
9.471,0.008706573,533.1174295,,,,,,
9.534,0.009220309,537.1714765,,,,,,
9.659,0.010345464,544.9027927,,,,,,
9.721,0.010871628,548.224962,,,,,,
9.846,0.012026068,554.3519043,,,,,,
9.971,0.013102895,559.7327739,,,,,,
10.034,0.013651201,561.88502,,,,,,
10.159,0.014823887,566.9139783,,,,,,
10.221,0.015330125,568.827635,,,,,,
10.346,0.016471302,573.0164279,,,,,,
10.409,0.017021601,574.9787649,,,,,,
10.534,0.018088595,578.2745392,,,,,,
10.597,0.018721926,580.5270272,,,,,,
10.722,0.01983642,583.5816994,,,,,,
10.785,0.020390203,585.270758,,,,,,
10.91,0.021676811,588.6586215,,,,,,
11.035,0.022917964,591.9652408,,,,,,
11.106,0.023602926,593.7378377,,,,,,
11.231,0.024763211,596.5023,,,,,,
11.294,0.025361666,598.0406045,,,,,,
11.419,0.02660894,600.7899909,,,,,,
11.481,0.027207655,602.2588199,,,,,,
11.606,0.028495303,605.1527816,,,,,,
11.669,0.029054512,606.3105482,,,,,,
11.794,0.030207789,609.0823354,,,,,,
11.856,0.030898487,610.3447951,,,,,,
11.99,0.032090604,613.2929446,,,,,,
12.053,0.032695302,614.3217819,,,,,,
12.189,0.033974606,617.2565856,,,,,,
12.314,0.035091122,619.3442841,,,,,,
12.376,0.035771366,620.9517783,,,,,,
12.502,0.036884969,623.0949885,,,,,,
12.575,0.037653281,624.66989,,,,,,
12.7,0.038803575,627.148184,,,,,,
12.762,0.039360709,628.120924,,,,,,
12.887,0.040635298,630.8731285,,,,,,
12.95,0.041236966,631.7976923,,,,,,
13.075,0.042471898,634.2035542,,,,,,
13.137,0.043024219,635.3358133,,,,,,
13.262,0.044131739,637.3370864,,,,,,
13.387,0.045363864,639.7637761,,,,,,
13.45,0.045917331,640.746772,,,,,,
13.575,0.047145004,643.2517536,,,,,,
13.637,0.047700489,644.0682625,,,,,,
13.762,0.048798846,646.3074847,,,,,,
13.825,0.049476703,647.6103892,,,,,,
13.95,0.050579759,649.5332911,,,,,,
14.012,0.051124797,650.7831148,,,,,,
14.137,0.052312983,652.7331613,,,,,,
14.2,0.052860476,653.8470079,,,,,,
14.325,0.054042399,656.0409162,,,,,,
14.451,0.055135919,658.2331728,,,,,,
14.514,0.055684062,659.2257874,,,,,,
14.639,0.056906692,661.3682406,,,,,,
14.711,0.057536205,662.6245851,,,,,,
14.836,0.05867568,664.4329976,,,,,,
14.898,0.059218471,665.6266961,,,,,,
15.023,0.060268872,667.4682603,,,,,,
15.086,0.060897914,668.6350246,,,,,,
15.211,0.061986969,670.6724693,,,,,,
15.273,0.062535427,671.4386688,,,,,,
15.398,0.063746527,673.7849047,,,,,,
15.461,0.064333853,674.7185933,,,,,,
15.586,0.065543886,677.0054181,,,,,,
15.711,0.066718375,678.7992722,,,,,,
15.774,0.067300881,679.9164288,,,,,,
15.899,0.068553435,682.0556463,,,,,,
15.961,0.069097358,682.8839147,,,,,,
16.069,0.07013397,684.9520607,,,,,,
16.109,0.070509745,685.5312463,,,,,,
16.217,0.07155243,687.2139195,,,,,,
16.28,0.072131395,688.3808801,,,,,,
16.405,0.073339882,690.2246226,,,,,,
16.467,0.073875986,691.3673258,,,,,,
16.593,0.074999365,693.1286236,,,,,,
16.718,0.076155793,695.3051629,,,,,,
16.78,0.076693538,696.2640834,,,,,,
16.905,0.077854279,698.1264181,,,,,,
16.967,0.078430016,699.2776137,,,,,,
17.101,0.079590426,701.0431101,,,,,,
17.173,0.080247122,702.3766737,,,,,,
17.298,0.081445484,704.260585,,,,,,
17.361,0.08197704,705.4274451,,,,,,
17.488,0.083215737,707.3402476,,,,,,
17.551,0.083792466,708.2524079,,,,,,
17.66,0.084776525,710.090897,,,,,,
17.785,0.085970639,711.9141907,,,,,,
17.848,0.086500312,713.0556069,,,,,,
17.973,0.08761172,714.7148523,,,,,,
18.036,0.088266094,715.8823823,,,,,,
18.163,0.089331702,717.6234699,,,,,,
18.225,0.089945539,718.6590121,,,,,,
18.35,0.091045062,720.7630544,,,,,,
18.413,0.09157965,721.4444974,,,,,,
18.539,0.092715907,723.7349449,,,,,,
18.602,0.093287957,724.6666978,,,,,,
18.727,0.094430771,726.4938667,,,,,,
18.789,0.094955216,727.636854,,,,,,
18.914,0.096017906,729.1326484,,,,,,
19.04,0.097150845,731.385443,,,,,,
19.102,0.097681604,732.1077874,,,,,,
19.227,0.098814158,734.2716355,,,,,,
19.29,0.099301562,735.0165518,,,,,,
19.415,0.100435854,736.9612302,,,,,,
19.479,0.100919387,737.9003755,,,,,,
19.604,0.101931873,739.5808849,,,,,,
19.667,0.102576459,740.7984976,,,,,,
19.792,0.103630298,742.3573328,,,,,,
19.854,0.104154388,743.289432,,,,,,
19.979,0.105362772,745.3943638,,,,,,
20.104,0.106449284,747.3526754,,,,,,
20.167,0.107092182,748.4994015,,,,,,
20.292,0.108222472,750.1568564,,,,,,
20.354,0.108741431,751.2096545,,,,,,
20.48,0.109950166,753.0086885,,,,,,
20.543,0.11046922,754.0580637,,,,,,
20.668,0.111675699,755.8713968,,,,,,
20.73,0.112196607,756.746724,,,,,,
20.855,0.11339379,758.9683677,,,,,,
20.918,0.11391663,759.6638506,,,,,,
21.043,0.114952677,761.623299,,,,,,
21.177,0.116194326,763.4437227,,,,,,
21.24,0.116709991,764.5103643,,,,,,
21.365,0.117747091,766.2207092,,,,,,
21.427,0.118344598,767.2341963,,,,,,
21.554,0.119377261,769.0674594,,,,,,
21.616,0.119976384,769.9144282,,,,,,
21.741,0.121043711,772.069293,,,,,,
21.804,0.121602445,772.8578591,,,,,,
21.929,0.122750479,774.9509528,,,,,,
21.991,0.123305293,775.876669,,,,,,
22.119,0.124457378,777.6384749,,,,,,
22.192,0.125048594,778.7516357,,,,,,
22.317,0.126198158,780.5506213,,,,,,
22.442,0.127223664,782.3390088,,,,,,
22.506,0.127817157,783.2560216,,,,,,
22.631,0.128839001,785.2389746,,,,,,
22.693,0.129354251,785.9186736,,,,,,
22.818,0.13049585,787.8681088,,,,,,
22.881,0.13100371,788.9835135,,,,,,
23.006,0.132147516,790.664361,,,,,,
23.068,0.132654298,791.7977715,,,,,,
23.193,0.133680016,793.2029413,,,,,,
23.256,0.134266292,794.3537345,,,,,,
23.381,0.135283797,796.2011656,,,,,,
23.507,0.136378076,798.161177,,,,,,
23.569,0.136886578,799.0401158,,,,,,
23.694,0.137905477,800.6196212,,,,,,
23.757,0.138488333,801.8397029,,,,,,
23.882,0.139467608,803.2538154,,,,,,
23.944,0.139972972,804.2418237,,,,,,
24.069,0.141023201,806.1705267,,,,,,
24.132,0.141530312,806.9883856,,,,,,
24.257,0.142657272,809.0200891,,,,,,
24.32,0.143165817,809.685321,,,,,,
24.444,0.144212363,811.7032289,,,,,,
24.569,0.145340558,813.4499835,,,,,,
24.638,0.145957668,814.7328832,,,,,,
24.763,0.147046858,816.3274473,,,,,,
24.825,0.147665104,817.4622199,,,,,,
24.951,0.148707485,819.3930974,,,,,,
25.014,0.14925275,820.0834318,,,,,,
25.149,0.150484758,822.4542426,,,,,,
25.211,0.151030701,823.0319722,,,,,,
25.336,0.152144648,825.2476593,,,,,,
25.404,0.152687041,825.9497063,,,,,,
25.53,0.153764253,827.8806932,,,,,,
25.593,0.154302796,828.7909548,,,,,,
25.718,0.155381842,830.4758867,,,,,,
25.843,0.15637772,832.3909985,,,,,,
