time,strain,stress,temperature,type,medium,strain_rate,youngs,poissons
45.051,4.50E-05,4.779626838,25,tensile,air,0.0001,211000,0.3
66.706,0.000148013,102.3730912,,,,,,
73.825,0.000404282,133.4028559,,,,,,
80.765,0.000680851,160.0446801,,,,,,
87.76,0.001065999,182.6719246,,,,,,
94.655,0.001461134,201.6295699,,,,,,
101.663,0.001945863,217.6662493,,,,,,
108.554,0.002452682,229.2778235,,,,,,
115.537,0.002969444,240.1645974,,,,,,
122.451,0.003566345,248.8556824,,,,,,
129.45,0.004133856,256.4356103,,,,,,
136.445,0.004751421,263.6665081,,,,,,
143.412,0.0053406,269.7822162,,,,,,
150.304,0.005950766,274.4203143,,,,,,
157.29,0.006596094,279.8206136,,,,,,
164.195,0.007217637,283.7280018,,,,,,
171.195,0.0078378,287.6401206,,,,,,
178.178,0.008458572,291.5575346,,,,,,
185.142,0.009084522,295.1073529,,,,,,
192.305,0.009765766,297.9291813,,,,,,
199.243,0.010402012,300.7414169,,,,,,
206.197,0.011076806,303.9440088,,,,,,
213.222,0.011717769,306.3899853,,,,,,
220.273,0.012397222,309.2265496,,,,,,
227.196,0.013088285,311.3188,,,,,,
234.16,0.013777884,313.4134191,,,,,,
241.099,0.014467007,315.510711,,,,,,
248.284,0.015189903,318.375,,,,,,
255.405,0.015889108,319.7277221,,,,,,
262.425,0.016577762,321.833432,,,,,,
269.395,0.017309189,323.9557625,,,,,,
276.422,0.018007896,325.3147335,,,,,,
283.442,0.018705134,326.6749912,,,,,,
290.395,0.019435987,328.8048585,,,,,,
297.41,0.020126728,330.545814,,,,,,
304.375,0.020867541,331.9266176,,,,,,
311.432,0.021557294,333.67165,,,,,,
318.008,0.02220256,335.4041294,,,,,,
324.657,0.022862897,336.0044136,,,,,,
331.524,0.023546767,338.1334787,,,,,,
338.56,0.024284076,339.5227445,,,,,,
345.483,0.024933062,340.8839338,,,,,,
352.521,0.025620992,342.6409265,,,,,,
359.447,0.026273607,343.6258147,,,,,,
366.238,0.026926769,344.6120382,,,,,,
373.253,0.027657103,346.3893353,,,,,,
380.255,0.028347647,347.7733346,,,,,,
387.301,0.028999457,348.7634191,,,,,,
394.174,0.029650842,349.7545066,,,,,,
401.127,0.030384637,351.1582757,,,,,,
