time,strain,stress,temperature,type,title,medium,strain_rate,youngs,poissons
91.6999992,-9.31E-05,14.44865543,700,tensile,D4,Air,0.000109799,166000,0.3
91.9000008,-9.31E-05,14.56864426,,,,,,,
92.0999988,-9.09E-05,14.71866269,,,,,,,
92.3000004,-9.01E-05,14.88865841,,,,,,,
92.4999984,-8.87E-05,15.01866833,,,,,,,
92.8000008,-8.94E-05,15.158645,,,,,,,
92.9999988,-8.87E-05,15.33863996,,,,,,,
93.2000004,-8.87E-05,15.50862488,,,,,,,
93.3999984,-8.64E-05,15.61864981,,,,,,,
93.7000008,-8.50E-05,15.798657,,,,,,,
93.8999988,-8.50E-05,15.96864255,,,,,,,
94.1000004,-8.50E-05,16.1786247,,,,,,,
94.2999984,-8.50E-05,16.34861025,,,,,,,
94.5,-8.35E-05,16.56861591,,,,,,,
94.7999988,-8.21E-05,16.75862467,,,,,,,
95.0000004,-8.21E-05,16.94860908,,,,,,,
95.1999984,-8.13E-05,17.17860258,,,,,,,
95.4,-8.06E-05,17.37859935,,,,,,,
95.6000016,-8.06E-05,17.58858242,,,,,,,
95.9000004,-7.91E-05,17.78859246,,,,,,,
96.0999984,-7.69E-05,17.99861539,,,,,,,
96.3,-7.40E-05,18.21865154,,,,,,,
96.5000016,-7.33E-05,18.42864982,,,,,,,
96.8000004,-7.25E-05,18.6686457,,,,,,,
96.9999984,-7.18E-05,18.86864534,,,,,,,
97.2,-7.11E-05,19.08864331,,,,,,,
97.4000016,-6.96E-05,19.29865678,,,,,,,
97.5999996,-6.89E-05,19.51865554,,,,,,,
97.8999984,-6.81E-05,19.75865383,,,,,,,
98.1,-6.67E-05,19.99866632,,,,,,,
98.3000016,-6.67E-05,20.21865165,,,,,,,
98.4999996,-6.59E-05,20.46865033,,,,,,,
98.7000012,-6.52E-05,20.6586527,,,,,,,
99,-6.08E-05,20.89872928,,,,,,,
99.2000016,-6.01E-05,21.11873113,,,,,,,
99.3999996,-5.86E-05,21.37874696,,,,,,,
99.6000012,-5.86E-05,21.59873407,,,,,,,
99.7999992,-5.71E-05,21.88874927,,,,,,,
100.1000016,-5.49E-05,22.13878352,,,,,,,
100.2999996,-5.20E-05,22.38883565,,,,,,,
100.5000012,-5.13E-05,22.65883795,,,,,,,
100.6999992,-4.98E-05,22.91885833,,,,,,,
100.9000008,-4.83E-05,23.16887996,,,,,,,
101.1999996,-4.61E-05,23.45891737,,,,,,,
101.4000012,-4.47E-05,23.70894071,,,,,,,
101.5999992,-4.25E-05,23.95898206,,,,,,,
101.8000008,-4.03E-05,24.25902249,,,,,,,
101.9999988,-3.81E-05,24.51906576,,,,,,,
102.3000012,-3.66E-05,24.79909158,,,,,,,
102.4999992,-3.52E-05,25.06911856,,,,,,,
102.7000008,-3.30E-05,25.36916363,,,,,,,
102.8999988,-3.00E-05,25.67922896,,,,,,,
103.2000012,-2.78E-05,25.94927773,,,,,,,
103.3999992,-2.56E-05,26.24932692,,,,,,,
103.6000008,-2.34E-05,26.5193789,,,,,,,
103.7999988,-1.98E-05,26.79947051,,,,,,,
104.0000004,-1.68E-05,27.09954353,,,,,,,
104.2999992,-1.47E-05,27.36959897,,,,,,,
104.5000008,-1.10E-05,27.65969604,,,,,,,
104.6999988,-8.77E-06,27.95975485,,,,,,,
104.9000004,-5.86E-06,28.23983465,,,,,,,
105.0999984,-3.66E-06,28.54989542,,,,,,,
105.4000008,-1.44E-06,28.8499584,,,,,,,
105.5999988,1.44E-06,29.20004211,,,,,,,
105.8000004,3.66E-06,29.5101081,,,,,,,
105.9999984,8.05E-06,29.77023956,,,,,,,
106.3000008,1.02E-05,30.08030799,,,,,,,
106.4999988,1.24E-05,30.43037828,,,,,,,
106.7000004,1.47E-05,30.72045011,,,,,,,
106.8999984,1.68E-05,31.04052284,,,,,,,
107.1,1.90E-05,31.35059678,,,,,,,
107.3999988,2.20E-05,31.69069648,,,,,,,
107.6000004,2.42E-05,32.02077392,,,,,,,
107.7999984,2.71E-05,32.32087532,,,,,,,
108,2.93E-05,32.65095678,,,,,,,
108.2000016,3.37E-05,32.95111002,,,,,,,
108.5000004,3.81E-05,33.24126648,,,,,,,
108.6999984,4.03E-05,33.61135425,,,,,,,
108.9,4.32E-05,33.87146437,,,,,,,
109.1000016,4.69E-05,34.24160579,,,,,,,
109.2999996,4.91E-05,34.59169802,,,,,,,
109.5999984,5.28E-05,34.92184213,,,,,,,
109.8,5.57E-05,35.25196325,,,,,,,
110.0000016,5.94E-05,35.60211314,,,,,,,
110.1999996,6.30E-05,35.94226497,,,,,,,
110.4000012,6.59E-05,36.27239143,,,,,,,
110.7,6.89E-05,36.67252568,,,,,,,
110.9000016,7.18E-05,37.00265619,,,,,,,
111.0999996,7.47E-05,37.38279344,,,,,,,
111.3000012,7.84E-05,37.70295545,,,,,,,
111.6,8.21E-05,38.05312227,,,,,,,
111.8000016,8.50E-05,38.39326311,,,,,,,
111.9999996,8.94E-05,38.7434627,,,,,,,
112.2000012,9.38E-05,39.09366535,,,,,,,
112.3999992,9.74E-05,39.43384166,,,,,,,
112.7000016,0.000100365,39.77399171,,,,,,,
112.8999996,0.000104035,40.12417408,,,,,,,
113.1000012,0.000107694,40.49436077,,,,,,,
113.2999992,0.000110634,40.85451964,,,,,,,
113.5000008,0.000114293,41.20470916,,,,,,,
113.7999996,0.000117963,41.55490165,,,,,,,
114.0000012,0.000120873,41.9350685,,,,,,,
114.1999992,0.000131141,42.23553846,,,,,,,
114.4000008,0.000133331,42.58567762,,,,,,,
114.6999996,0.000135521,42.96582237,,,,,,,
114.9000012,0.000137711,43.31596465,,,,,,,
115.0999992,0.00013993,43.69611398,,,,,,,
115.3000008,0.00014285,44.07629584,,,,,,,
115.4999988,0.000145039,44.45644747,,,,,,,
115.8000012,0.000147979,44.82663291,,,,,,,
115.9999992,0.000150169,45.21678964,,,,,,,
116.2000008,0.000153838,45.59701402,,,,,,,
116.3999988,0.000157498,45.99724388,,,,,,,
116.6000004,0.000160437,46.37744007,,,,,,,
116.8999992,0.000164097,46.7476705,,,,,,,
117.1000008,0.000167046,47.13787354,,,,,,,
117.2999988,0.000169956,47.50807358,,,,,,,
117.5000004,0.000172895,47.93828758,,,,,,,
117.6999984,0.000176554,48.32853186,,,,,,,
118.0000008,0.000179474,48.70874116,,,,,,,
118.1999988,0.000182413,49.05894819,,,,,,,
118.4000004,0.000184603,49.45912946,,,,,,,
118.5999984,0.000187542,49.86935174,,,,,,,
118.8,0.000191212,50.26961122,,,,,,,
119.0999988,0.000194121,50.64983125,,,,,,,
119.3000004,0.00019778,51.06009769,,,,,,,
119.4999984,0.00020145,51.46036563,,,,,,,
119.7,0.000204389,51.85059661,,,,,,,
119.9000016,0.000207329,52.25083196,,,,,,,
120.2000004,0.000210238,52.66107019,,,,,,,
120.3999984,0.000213907,53.11135968,,,,,,,
120.6,0.000217566,53.52164324,,,,,,,
120.8000016,0.000220506,53.91188657,,,,,,,
121.1000004,0.000223415,54.3421395,,,,,,,
121.2999984,0.000226364,54.7223858,,,,,,,
121.5,0.000230024,55.14268266,,,,,,,
121.7000016,0.000232963,55.58294725,,,,,,,
121.8999996,0.000235872,55.96319861,,,,,,,
122.1999984,0.000239541,56.37350217,,,,,,,
122.4,0.000242481,56.75376002,,,,,,,
122.6000016,0.00024614,57.20407846,,,,,,,
122.7999996,0.000249049,57.61434701,,,,,,,
123.0000012,0.000252718,58.0146595,,,,,,,
123.3,0.000254938,58.4048877,,,,,,,
123.5000016,0.000259316,58.83525497,,,,,,,
123.6999996,0.000261506,59.24549101,,,,,,,
123.9000012,0.000265175,59.67582243,,,,,,,
124.0999992,0.000268114,60.1261185,,,,,,,
124.4000016,0.000271773,60.51644451,,,,,,,
124.5999996,0.000273962,60.89668112,,,,,,,
124.8000012,0.000277631,61.32702395,,,,,,,
124.9999992,0.000280571,61.75732486,,,,,,,
125.2000008,0.000284949,62.21772638,,,,,,,
125.4999996,0.000291557,62.61825416,,,,,,,
125.7000012,0.000295306,63.02861,,,,,,,
125.8999992,0.000297326,63.45886515,,,,,,,
126.1000008,0.000300205,63.89917997,,,,,,,
126.2999988,0.000303374,64.32951294,,,,,,,
126.6000012,0.000306833,64.75986741,,,,,,,
126.7999992,0.000310582,65.18024065,,,,,,,
127.0000008,0.000313471,65.63057005,,,,,,,
127.1999988,0.00031722,66.06095251,,,,,,,
127.4000004,0.000320099,66.48127717,,,,,,,
127.6999992,0.000322988,66.93161461,,,,,,,
127.9000008,0.000325867,67.36194745,,,,,,,
128.0999988,0.000328176,67.80224743,,,,,,,
128.3000004,0.000331925,68.252651,,,,,,,
128.4999984,0.000334804,68.69299484,,,,,,,
128.8000008,0.000338553,69.15340811,,,,,,,
128.9999988,0.000342881,69.58385491,,,,,,,
129.2000004,0.00034634,70.04425493,,,,,,,
129.3999984,0.000350089,70.48467157,,,,,,,
129.7000008,0.000352968,70.94503689,,,,,,,
