time,strain,stress,temperature,type,title,medium,strain_rate,youngs,poissons,,
146.5999992,-0.000120887,11.4786123,900,tensile,D10,Air,1.00E-04,149000,0.3,,
146.8000008,-0.000120167,11.50861696,,,,,,,,,
146.9999988,-0.000120167,11.55861095,,,,,,,,,
147.2000004,-0.000120167,11.56860975,,,,,,,,,
147.3999984,-0.000119417,11.60861365,,,,,,,,,
147.7000008,-0.000119417,11.61861246,,,,,,,,,
147.8999988,-0.000118697,11.63861845,,,,,,,,,
148.1000004,-0.000118697,11.64861726,,,,,,,,,
148.2999984,-0.000118697,11.69861133,,,,,,,,,
148.6000008,-0.000117977,11.74861385,,,,,,,,,
148.7999988,-0.000118697,11.74860539,,,,,,,,,
149.0000004,-0.000118697,11.77860183,,,,,,,,,
149.1999984,-0.000117977,11.80860677,,,,,,,,,
149.4,-0.000117977,11.83860324,,,,,,,,,
149.6999988,-0.000116507,11.88861482,,,,,,,,,
149.9000004,-0.000115757,11.89862258,,,,,,,,,
150.0999984,-0.000116507,11.91861132,,,,,,,,,
150.3,-0.000115757,11.96861447,,,,,,,,,
150.5000016,-0.000115027,11.99861976,,,,,,,,,
150.8000004,-0.000115027,12.00861861,,,,,,,,,
150.9999984,-0.000114307,12.05862154,,,,,,,,,
151.2,-0.000113556,12.08862718,,,,,,,,,
151.4000016,-0.000116507,12.04859618,,,,,,,,,
151.7000004,-0.000115027,12.07861056,,,,,,,,,
151.8999984,-0.000114307,12.10861583,,,,,,,,,
152.1,-0.000114307,12.15861011,,,,,,,,,
152.3000016,-0.000113556,12.1686181,,,,,,,,,
152.6000004,-0.000112836,12.21862122,,,,,,,,,
152.7999984,-0.000112086,12.24862702,,,,,,,,,
153,-0.000112086,12.27862366,,,,,,,,,
153.2000016,-0.000111366,12.33862582,,,,,,,,,
153.3999996,-0.000110646,12.40862696,,,,,,,,,
153.6999984,-0.000109896,12.43863297,,,,,,,,,
153.9,-0.000108426,12.51864258,,,,,,,,,
154.1000016,-0.000107706,12.54864837,,,,,,,,,
154.2999996,-0.000106986,12.62864884,,,,,,,,,
154.5999984,-0.000105516,12.68866108,,,,,,,,,
154.8,-0.000104045,12.73867453,,,,,,,,,
155.0000016,-0.000103315,12.81867557,,,,,,,,,
155.1999996,-0.000103315,12.85867143,,,,,,,,,
155.4000012,-0.000101845,12.92868321,,,,,,,,,
155.7,-0.000102565,12.9286739,,,,,,,,,
155.9000016,-0.000101095,12.98868684,,,,,,,,,
156.0999996,-9.97E-05,13.06869757,,,,,,,,,
156.3000012,-9.82E-05,13.1287109,,,,,,,,,
156.6,-9.67E-05,13.1887244,,,,,,,,,
156.8000016,-9.60E-05,13.26872621,,,,,,,,,
156.9999996,-9.38E-05,13.31875098,,,,,,,,,
157.2000012,-9.23E-05,13.40876185,,,,,,,,,
