time,strain,temperature,stress,type,title,youngs,poissons
0,0,900,28,creep,G45,149000,0.3
0.00,0.0,,,,,,
0.00,-0.0,,,,,,
0.00,0.0,,,,,,
0.00,-0.0,,,,,,
0.00,-0.0,,,,,,
0.00,-0.0,,,,,,
0.00,-0.0,,,,,,
0.00,0.0,,,,,,
0.00,1e-06,,,,,,
0.00,1e-06,,,,,,
0.00,1e-06,,,,,,
0.00,1e-06,,,,,,
0.00,1e-06,,,,,,
0.00,2e-06,,,,,,
0.01,2e-06,,,,,,
0.01,2.9999999999999997e-06,,,,,,
0.01,2e-06,,,,,,
0.01,2e-06,,,,,,
0.01,2e-06,,,,,,
0.01,2e-06,,,,,,
0.01,1e-06,,,,,,
0.01,2e-06,,,,,,
0.01,2e-06,,,,,,
0.01,2e-06,,,,,,
0.01,2e-06,,,,,,
0.01,1e-06,,,,,,
0.01,1e-06,,,,,,
0.01,0.0,,,,,,
0.01,1e-06,,,,,,
0.01,2.9999999999999997e-06,,,,,,
0.01,4e-06,,,,,,
0.01,8e-06,,,,,,
0.01,3.4e-05,,,,,,
0.01,3.6e-05,,,,,,
0.01,4.7000000000000004e-05,,,,,,
0.01,4.7000000000000004e-05,,,,,,
0.01,4.6e-05,,,,,,
0.01,5.3e-05,,,,,,
0.01,5.6e-05,,,,,,
0.01,5.9e-05,,,,,,
0.02,6.1000000000000005e-05,,,,,,
0.02,6.2e-05,,,,,,
0.02,6.4e-05,,,,,,
0.02,6.4e-05,,,,,,
0.02,6.4e-05,,,,,,
0.02,6.4e-05,,,,,,
0.02,6.4e-05,,,,,,
0.02,6.3e-05,,,,,,
0.02,6.4e-05,,,,,,
0.02,6.4e-05,,,,,,
0.02,6.5e-05,,,,,,
0.02,6.6e-05,,,,,,
0.02,6.3e-05,,,,,,
0.02,6.4e-05,,,,,,
0.02,6.3e-05,,,,,,
0.02,6.4e-05,,,,,,
0.02,6.4e-05,,,,,,
0.02,6.3e-05,,,,,,
0.02,6.3e-05,,,,,,
0.02,6.4e-05,,,,,,
0.02,6.5e-05,,,,,,
0.02,6.8e-05,,,,,,
0.02,7.1e-05,,,,,,
0.02,7.400000000000001e-05,,,,,,
0.02,7.400000000000001e-05,,,,,,
0.02,7.400000000000001e-05,,,,,,
0.03,7.400000000000001e-05,,,,,,
0.03,7.3e-05,,,,,,
0.03,7.3e-05,,,,,,
0.03,7.3e-05,,,,,,
0.03,7.3e-05,,,,,,
0.03,7.3e-05,,,,,,
0.03,7.2e-05,,,,,,
0.03,7.2e-05,,,,,,
0.03,7.1e-05,,,,,,
0.03,7.1e-05,,,,,,
0.03,7.1e-05,,,,,,
0.03,7.1e-05,,,,,,
0.03,7.1e-05,,,,,,
0.03,7.1e-05,,,,,,
0.03,7.1e-05,,,,,,
0.03,7.000000000000001e-05,,,,,,
0.03,7.000000000000001e-05,,,,,,
0.03,6.9e-05,,,,,,
0.03,6.9e-05,,,,,,
0.03,6.9e-05,,,,,,
0.03,6.8e-05,,,,,,
0.03,6.8e-05,,,,,,
0.03,6.8e-05,,,,,,
0.03,6.8e-05,,,,,,
0.03,6.8e-05,,,,,,
0.03,6.7e-05,,,,,,
0.03,6.7e-05,,,,,,
0.04,6.8e-05,,,,,,
0.04,6.9e-05,,,,,,
0.04,7.1e-05,,,,,,
0.04,7.000000000000001e-05,,,,,,
0.04,7.1e-05,,,,,,
0.04,7.1e-05,,,,,,
0.04,7.2e-05,,,,,,
0.04,7.1e-05,,,,,,
0.04,7.2e-05,,,,,,
0.04,7.2e-05,,,,,,
0.04,8.099999999999999e-05,,,,,,
0.04,8.2e-05,,,,,,
0.04,8.3e-05,,,,,,
0.04,8.2e-05,,,,,,
0.04,8.2e-05,,,,,,
0.04,8.2e-05,,,,,,
0.04,8.2e-05,,,,,,
0.04,8.3e-05,,,,,,
0.04,8.4e-05,,,,,,
0.04,8.4e-05,,,,,,
0.04,8.4e-05,,,,,,
0.04,8.4e-05,,,,,,
0.04,8.4e-05,,,,,,
0.04,8.4e-05,,,,,,
0.04,8.4e-05,,,,,,
0.04,8.4e-05,,,,,,
0.05,8.4e-05,,,,,,
0.05,8.4e-05,,,,,,
0.05,8.3e-05,,,,,,
0.05,8.3e-05,,,,,,
0.05,8.2e-05,,,,,,
0.05,8.2e-05,,,,,,
0.05,8.3e-05,,,,,,
0.05,8.3e-05,,,,,,
0.05,8.4e-05,,,,,,
0.05,8.4e-05,,,,,,
0.05,8.4e-05,,,,,,
0.05,8.3e-05,,,,,,
0.05,8.3e-05,,,,,,
0.05,8.2e-05,,,,,,
0.05,8.2e-05,,,,,,
0.06,8.2e-05,,,,,,
0.06,8.2e-05,,,,,,
0.06,8.2e-05,,,,,,
0.06,8.099999999999999e-05,,,,,,
0.06,8.2e-05,,,,,,
0.06,8.2e-05,,,,,,
0.06,8.099999999999999e-05,,,,,,
0.06,8.2e-05,,,,,,
0.06,8.2e-05,,,,,,
0.06,8.2e-05,,,,,,
0.06,8.3e-05,,,,,,
0.06,8.3e-05,,,,,,
0.06,8.3e-05,,,,,,
0.06,8.3e-05,,,,,,
0.06,8.2e-05,,,,,,
0.07,8.3e-05,,,,,,
0.07,8.4e-05,,,,,,
0.07,8.3e-05,,,,,,
0.07,8.3e-05,,,,,,
0.07,8.3e-05,,,,,,
0.07,8.3e-05,,,,,,
0.07,8.3e-05,,,,,,
0.07,8.3e-05,,,,,,
0.07,8.3e-05,,,,,,
0.08,8.6e-05,,,,,,
0.08,8.6e-05,,,,,,
0.08,8.7e-05,,,,,,
0.08,8.7e-05,,,,,,
0.08,8.7e-05,,,,,,
0.08,8.800000000000001e-05,,,,,,
0.08,8.7e-05,,,,,,
0.09,8.7e-05,,,,,,
0.09,8.800000000000001e-05,,,,,,
0.09,8.9e-05,,,,,,
0.09,8.9e-05,,,,,,
0.09,8.800000000000001e-05,,,,,,
0.09,8.800000000000001e-05,,,,,,
0.10,8.800000000000001e-05,,,,,,
0.10,8.9e-05,,,,,,
0.10,8.9e-05,,,,,,
0.10,8.9e-05,,,,,,
0.10,8.999999999999999e-05,,,,,,
0.10,8.9e-05,,,,,,
0.10,8.999999999999999e-05,,,,,,
0.11,9.1e-05,,,,,,
0.11,9.1e-05,,,,,,
0.11,8.999999999999999e-05,,,,,,
0.11,8.999999999999999e-05,,,,,,
0.11,8.999999999999999e-05,,,,,,
0.11,8.9e-05,,,,,,
0.12,8.999999999999999e-05,,,,,,
0.12,9.2e-05,,,,,,
