time,strain,temperature,stress,type,state,form,process,medium,title,youngs,poissons
0,0,900,40,creep,Ruptured,Plate,Base,Air,AirBase_900_40_a,149000,0.3
0.0106,0,,,,,,,,,,
0.0108,5.00E-06,,,,,,,,,,
0.0111,9.00E-06,,,,,,,,,,
0.0114,3.20E-05,,,,,,,,,,
0.0117,1.90E-05,,,,,,,,,,
0.0119,1.40E-05,,,,,,,,,,
0.0122,2.30E-05,,,,,,,,,,
0.0125,2.30E-05,,,,,,,,,,
0.0128,4.60E-05,,,,,,,,,,
0.0131,5.10E-05,,,,,,,,,,
0.0133,5.10E-05,,,,,,,,,,
0.0136,4.60E-05,,,,,,,,,,
0.0139,5.10E-05,,,,,,,,,,
0.0142,6.50E-05,,,,,,,,,,
0.0144,5.60E-05,,,,,,,,,,
0.0147,6.50E-05,,,,,,,,,,
0.015,6.50E-05,,,,,,,,,,
0.0153,6.00E-05,,,,,,,,,,
0.0156,7.00E-05,,,,,,,,,,
0.0158,7.40E-05,,,,,,,,,,
0.0161,7.90E-05,,,,,,,,,,
0.0164,7.90E-05,,,,,,,,,,
0.0167,8.30E-05,,,,,,,,,,
0.0169,8.80E-05,,,,,,,,,,
0.0172,8.80E-05,,,,,,,,,,
0.0175,8.30E-05,,,,,,,,,,
0.0178,4.60E-05,,,,,,,,,,
0.35,3.70E-05,,,,,,,,,,
0.3667,5.10E-05,,,,,,,,,,
0.3833,5.60E-05,,,,,,,,,,
0.4,4.20E-05,,,,,,,,,,
0.4167,7.90E-05,,,,,,,,,,
0.4333,9.30E-05,,,,,,,,,,
0.45,0.000125,,,,,,,,,,
0.4667,0.000125,,,,,,,,,,
0.4833,0.000107,,,,,,,,,,
0.5,0.000111,,,,,,,,,,
0.5167,0.000134,,,,,,,,,,
0.5333,0.000116,,,,,,,,,,
0.55,0.000116,,,,,,,,,,
0.5667,0.00013,,,,,,,,,,
0.5833,0.000116,,,,,,,,,,
0.6,0.000121,,,,,,,,,,
0.6167,0.000139,,,,,,,,,,
0.6333,0.000116,,,,,,,,,,
0.65,0.000111,,,,,,,,,,
0.6667,0.000144,,,,,,,,,,
0.6833,0.000134,,,,,,,,,,
0.7,0.00013,,,,,,,,,,
0.7167,0.000176,,,,,,,,,,
0.7333,0.000134,,,,,,,,,,
0.75,0.000172,,,,,,,,,,
0.7667,0.000144,,,,,,,,,,
0.7833,0.000134,,,,,,,,,,
0.8,0.000139,,,,,,,,,,
0.8167,0.000172,,,,,,,,,,
0.8333,0.000213,,,,,,,,,,
0.85,0.000232,,,,,,,,,,
0.8667,0.000232,,,,,,,,,,
0.8833,0.000236,,,,,,,,,,
0.9,0.000269,,,,,,,,,,
0.9167,0.00032,,,,,,,,,,
0.9333,0.00038,,,,,,,,,,
0.95,0.000366,,,,,,,,,,
0.9667,0.00038,,,,,,,,,,
0.9833,0.000366,,,,,,,,,,
1,0.000408,,,,,,,,,,
1.0167,0.00045,,,,,,,,,,
1.0333,0.000408,,,,,,,,,,
1.05,0.000459,,,,,,,,,,
1.0667,0.000399,,,,,,,,,,
1.0833,0.000519,,,,,,,,,,
1.1,0.000515,,,,,,,,,,
1.1167,0.000533,,,,,,,,,,
1.1333,0.000547,,,,,,,,,,
1.15,0.000529,,,,,,,,,,
1.1667,0.00057,,,,,,,,,,
2.1667,0.000751,,,,,,,,,,
3.1667,0.001043,,,,,,,,,,
4.1667,0.001118,,,,,,,,,,
5.1667,0.0014,,,,,,,,,,
6.1667,0.001526,,,,,,,,,,
7.1667,0.001604,,,,,,,,,,
8.1667,0.001892,,,,,,,,,,
9.1667,0.001975,,,,,,,,,,
10.1667,0.002003,,,,,,,,,,
11.1667,0.00223,,,,,,,,,,
12.1667,0.002448,,,,,,,,,,
13.1667,0.002439,,,,,,,,,,
14.1667,0.002495,,,,,,,,,,
15.1667,0.002856,,,,,,,,,,
16.1667,0.002935,,,,,,,,,,
17.1667,0.002907,,,,,,,,,,
18.1667,0.002912,,,,,,,,,,
19.1667,0.003348,,,,,,,,,,
20.1667,0.003366,,,,,,,,,,
21.1667,0.003422,,,,,,,,,,
22.1667,0.003714,,,,,,,,,,
23.1667,0.003826,,,,,,,,,,
24.1667,0.003844,,,,,,,,,,
25.1667,0.004108,,,,,,,,,,
26.1667,0.004294,,,,,,,,,,
27.1667,0.004312,,,,,,,,,,
28.1667,0.004414,,,,,,,,,,
29.1667,0.004753,,,,,,,,,,
30.1667,0.004758,,,,,,,,,,
31.1667,0.004841,,,,,,,,,,
32.1667,0.005124,,,,,,,,,,
33.1667,0.005217,,,,,,,,,,
34.1667,0.005272,,,,,,,,,,
35.1667,0.005639,,,,,,,,,,
36.1667,0.00569,,,,,,,,,,
