time,strain,stress,temperature,type,title,num_cycles,max_strain,strain_rate,youngs,poissons
0.2366,1.71E-06,4.66602,25,cyclic-strain-stress,cyclic-strain-stress,16,0.015,4.30E-04,195600,0.29
0.3366,-4.65E-05,-1.57012,,,,,,,,
0.4366,-1.90E-05,-2.27169,,,,,,,,
0.5368,-3.96E-05,-0.16699,,,,,,,,
0.6366,-5.18E-06,3.96446,,,,,,,,
0.7366,8.59E-06,8.32976,,,,,,,,
0.8368,4.99E-05,13.31868,,,,,,,,
0.9366,7.06E-05,18.3076,,,,,,,,
1.0366,1.05E-04,23.29651,,,,,,,,
1.1366,1.33E-04,28.987,,,,,,,,
1.2366,1.53E-04,34.83339,,,,,,,,
1.3366,2.01E-04,41.14748,,,,,,,,
1.4366,2.29E-04,48.24111,,,,,,,,
1.5366,2.91E-04,56.11424,,,,,,,,
1.6368,3.25E-04,63.67557,,,,,,,,
1.7366,3.53E-04,71.2369,,,,,,,,
1.8366,4.01E-04,78.48642,,,,,,,,
1.9366,4.42E-04,85.65799,,,,,,,,
2.0366,4.63E-04,92.75161,,,,,,,,
2.1366,5.25E-04,99.53341,,,,,,,,
2.2368,5.53E-04,106.31523,,,,,,,,
2.3368,6.01E-04,113.17499,,,,,,,,
2.4366,6.28E-04,120.03475,,,,,,,,
2.5368,6.83E-04,126.73861,,,,,,,,
2.6368,6.97E-04,133.52042,,,,,,,,
2.7368,7.25E-04,140.30223,,,,,,,,
2.8368,7.87E-04,147.08405,,,,,,,,
2.9366,8.14E-04,153.16428,,,,,,,,
3.0368,8.35E-04,159.79019,,,,,,,,
3.1368,8.76E-04,166.10429,,,,,,,,
3.2368,9.11E-04,172.7302,,,,,,,,
3.3368,9.52E-04,178.81045,,,,,,,,
3.4368,9.93E-04,185.04659,,,,,,,,
3.5368,0.00103,190.97092,,,,,,,,
3.6368,0.00108,196.73936,,,,,,,,
3.7368,0.00112,202.27393,,,,,,,,
3.8366,0.00115,207.3408,,,,,,,,
3.9368,0.00121,212.25177,,,,,,,,
4.0368,0.00126,216.30527,,,,,,,,
4.1366,0.0013,220.20287,,,,,,,,
4.2368,0.00135,223.24299,,,,,,,,
4.3368,0.00139,226.04927,,,,,,,,
4.4366,0.00145,228.3878,,,,,,,,
4.5368,0.00148,230.1807,,,,,,,,
4.6368,0.00154,231.97358,,,,,,,,
4.7368,0.00159,233.68853,,,,,,,,
4.8368,0.00163,235.09167,,,,,,,,
4.9368,0.00168,236.4948,,,,,,,,
5.0366,0.0017,237.43022,,,,,,,,
5.1368,0.00176,238.83335,,,,,,,,
5.2368,0.00178,239.61286,,,,,,,,
5.3366,0.00183,240.86012,,,,,,,,
5.4368,0.00188,241.71759,,,,,,,,
5.5368,0.00192,242.26322,,,,,,,,
5.6366,0.00196,243.04275,,,,,,,,
5.7368,0.00201,243.82227,,,,,,,,
5.8368,0.00203,244.67974,,,,,,,,
5.9368,0.00211,245.53722,,,,,,,,
6.0366,0.00213,245.927,,,,,,,,
6.1368,0.00219,246.70649,,,,,,,,
6.2368,0.00221,247.17419,,,,,,,,
