# strain, stress, energy_density, plastic_work
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-03,7.915768997491780645e+00,3.957884504547204418e-03,3.785489888166988261e-03
2.000000000000000042e-03,8.530965363991965589e+00,4.265483842413527425e-03,4.091928262594149435e-03
3.000000000000000062e-03,8.826083643210406393e+00,4.413042983914970165e-03,4.239234750325276448e-03
4.000000000000000083e-03,9.100994267208127653e+00,4.550498295926044996e-03,4.376473047426629980e-03
5.000000000000000104e-03,9.370140292655309011e+00,4.685071308658815374e-03,4.510838331094745024e-03
6.000000000000000125e-03,9.634345185219617136e+00,4.817173754948467571e-03,4.642740760068582960e-03
7.000000000000000146e-03,9.893737544511154169e+00,4.946869934600252663e-03,4.772244284639353892e-03
8.000000000000000167e-03,1.014840746985536235e+01,5.074204897277182803e-03,4.899393679079472493e-03
9.000000000000001055e-03,1.039844142421284268e+01,5.199221874459810516e-03,5.024231912989818825e-03
1.000000000000000194e-02,1.064392417749795072e+01,5.321963251105643090e-03,5.146801119326526418e-03
1.100000000000000283e-02,1.088493894395617190e+01,5.442470634337280219e-03,5.267142662548018883e-03
1.200000000000000372e-02,1.112156741690045969e+01,5.560784870811586941e-03,5.385297155627710199e-03
1.300000000000000461e-02,1.135388979693081879e+01,5.676946060828537942e-03,5.501304473829159332e-03
1.400000000000000550e-02,1.158198481922987355e+01,5.790993571979520527e-03,5.615203768033756419e-03
1.500000000000000638e-02,1.180592978029458884e+01,5.902966052512986957e-03,5.727033477797772998e-03
1.600000000000000727e-02,1.202580056414311116e+01,6.012901444438245070e-03,5.836831344159078630e-03
1.700000000000000816e-02,1.224167166801954743e+01,6.120836996377212666e-03,5.944634422202887090e-03
1.800000000000000905e-02,1.245361622760880671e+01,6.226809276172429360e-03,6.050479093394401688e-03
1.900000000000000994e-02,1.266170604177952086e+01,6.330854183258531089e-03,6.154401077685153765e-03
2.000000000000001082e-02,1.286601159686910378e+01,6.433006960803784417e-03,6.256435445399244691e-03
2.100000000000001171e-02,1.306660209051637267e+01,6.533302207627763453e-03,6.356616628905204652e-03
2.200000000000001260e-02,1.326354545506127280e+01,6.631773889900504509e-03,6.454978434078439964e-03
2.300000000000001349e-02,1.345690838051647376e+01,6.728455352628410352e-03,6.551554051559198982e-03
2.400000000000001438e-02,1.364675633712195157e+01,6.823379330931596438e-03,6.646376067810433330e-03
2.500000000000001527e-02,1.383315359749281725e+01,6.916577961117185980e-03,6.739476475979722103e-03
2.600000000000001615e-02,1.401616325836371857e+01,7.008082791552870672e-03,6.830886686569300099e-03
2.700000000000001704e-02,1.419584726194694468e+01,7.097924793344629821e-03,6.920637537917769672e-03
2.800000000000001793e-02,1.437226641690259399e+01,7.186134370822680126e-03,7.008759306497303054e-03
2.900000000000001882e-02,1.454548041893496269e+01,7.272741371839194086e-03,7.095281717029595578e-03
3.000000000000001971e-02,1.471554787101927175e+01,7.357775097881461175e-03,7.180233952423992379e-03
3.100000000000002059e-02,1.488252630326335257e+01,7.441264314003960371e-03,7.263644663540998712e-03
3.200000000000002148e-02,1.504647219242032463e+01,7.523237258582519439e-03,7.345541978784120296e-03
3.300000000000002237e-02,1.520744098104327691e+01,7.603721652894141446e-03,7.425953513523373892e-03
3.400000000000002326e-02,1.536548709630520193e+01,7.682744710525237636e-03,7.504906379352990417e-03
3.500000000000002415e-02,1.552066396847803453e+01,7.760333146611707485e-03,7.582427193186538038e-03
3.600000000000002504e-02,1.567302404908152447e+01,7.836513186913668383e-03,7.658542086192059520e-03
3.700000000000002592e-02,1.582261882870939473e+01,7.911310576727791782e-03,7.733276712569980317e-03
3.800000000000002681e-02,1.599220033371290839e+01,7.996101329229458182e-03,7.816586729852048956e-03
3.900000000000002770e-02,1.613994454224022235e+01,8.069973433494880000e-03,7.890389406266871963e-03
4.000000000000002859e-02,1.628214833289245433e+01,8.141075328821564816e-03,7.961434610019028218e-03
4.100000000000002948e-02,1.642148204978648351e+01,8.210742187268376194e-03,8.031047157000462469e-03
4.200000000000003036e-02,1.655826199005048949e+01,8.279132157400717271e-03,8.099384823211357859e-03
4.300000000000003125e-02,1.669255947533129003e+01,8.346280900040838058e-03,8.166483174099917197e-03
4.400000000000003214e-02,1.682442210579710462e+01,8.412212215274144506e-03,8.232365937606461390e-03
4.500000000000003303e-02,1.695389456318071453e+01,8.476948443965865582e-03,8.297055386834423230e-03
4.600000000000003392e-02,1.708823055403038182e+01,8.544116439390967224e-03,8.363334730548711848e-03
