time,strain,stress,temperature,type,title,medium,strain_rate,youngs,poissons
0.022777778,0,16.59,1000,tensile,D12,Air,0.3713004,139000,0.31
0.022833333,7.18E-07,16.83001208,,,,,,,
0.022916667,2.90E-06,17.05004946,,,,,,,
0.022972222,4.37E-06,17.25007531,,,,,,,
0.023027778,6.55E-06,17.48011448,,,,,,,
0.023083333,9.48E-06,17.70016778,,,,,,,
0.023138889,1.17E-05,17.94020922,,,,,,,
0.023222222,1.38E-05,18.21025212,,,,,,,
0.023277778,1.60E-05,18.41029508,,,,,,,
0.023333333,1.75E-05,18.67032659,,,,,,,
0.023388889,2.04E-05,18.90038599,,,,,,,
0.023472222,2.26E-05,19.14043268,,,,,,,
0.023527778,2.41E-05,19.40046698,,,,,,,
0.023583333,2.70E-05,19.65053,,,,,,,
0.023638889,2.84E-05,19.9005659,,,,,,,
0.023722222,3.14E-05,20.14063173,,,,,,,
0.023777778,3.35E-05,20.39068408,,,,,,,
0.023833333,3.65E-05,20.63075258,,,,,,,
0.023888889,3.87E-05,20.90080806,,,,,,,
0.023944444,4.16E-05,21.14087925,,,,,,,
0.024027778,4.38E-05,21.38093591,,,,,,,
0.024083333,4.60E-05,21.62099363,,,,,,,
0.024138889,4.96E-05,21.87108488,,,,,,,
0.024194444,5.25E-05,22.1211621,,,,,,,
0.024277778,5.55E-05,22.42124355,,,,,,,
0.024333333,5.84E-05,22.63132085,,,,,,,
0.024388889,6.05E-05,22.92138781,,,,,,,
0.024444444,6.28E-05,23.15145294,,,,,,,
0.0245,6.57E-05,23.39153586,,,,,,,
0.024583333,6.86E-05,23.66162291,,,,,,,
0.024638889,7.22E-05,23.921728,,,,,,,
0.024694444,7.44E-05,24.20180106,,,,,,,
0.02475,7.66E-05,24.44187228,,,,,,,
0.024833333,7.95E-05,24.72196615,,,,,,,
0.024888889,8.24E-05,24.9820593,,,,,,,
0.024944444,8.61E-05,25.25217367,,,,,,,
0.025,8.97E-05,25.52229001,,,,,,,
0.025055556,9.19E-05,25.75236761,,,,,,,
0.025138889,9.56E-05,26.06249118,,,,,,,
0.025194444,9.78E-05,26.33257447,,,,,,,
0.02525,0.000101415,26.61269879,,,,,,,
0.025305556,0.000106534,26.86286166,,,,,,,
0.025388889,0.000109434,27.1529713,,,,,,,
0.025444444,0.000112364,27.40307894,,,,,,,
0.0255,0.000115263,27.69319183,,,,,,,
0.025555556,0.000118193,27.93330133,,,,,,,
0.025611111,0.000121843,28.21343739,,,,,,,
0.025694444,0.000124772,28.45354999,,,,,,,
0.02575,0.000127672,28.72366697,,,,,,,
0.025805556,0.000129852,29.01376724,,,,,,,
0.025861111,0.000132781,29.31389207,,,,,,,
0.025944444,0.00013789,29.59408046,,,,,,,
0.026,0.00014154,29.89423093,,,,,,,
0.026055556,0.00014373,30.1643352,,,,,,,
0.026111111,0.000147369,30.46448919,,,,,,,
0.026166667,0.000149559,30.73459629,,,,,,,
0.02625,0.000153948,31.04477892,,,,,,,
0.026305556,0.000156848,31.31491129,,,,,,,
0.026361111,0.000159777,31.61505096,,,,,,,
0.026416667,0.000165606,31.86527665,,,,,,,
0.0265,0.000168536,32.18542394,,,,,,,
0.026555556,0.000171435,32.46556527,,,,,,,
0.026611111,0.000174365,32.75571095,,,,,,,
0.026666667,0.000178014,33.02587855,,,,,,,
0.026722222,0.000180944,33.34603321,,,,,,,
0.026805556,0.000185313,33.61622894,,,,,,,
0.026861111,0.000188962,33.91640831,,,,,,,
0.026916667,0.000192601,34.21658953,,,,,,,
0.026972222,0.00020208,34.33693809,,,,,,,
0.027055556,0.000205009,34.64710224,,,,,,,
0.027111111,0.000207908,34.95726715,,,,,,,
0.027166667,0.000210838,35.24743071,,,,,,,
0.027222222,0.000214487,35.56762798,,,,,,,
0.027277778,0.000218136,35.8778254,,,,,,,
0.027361111,0.000221785,36.17802287,,,,,,,
0.027416667,0.000226144,36.46824616,,,,,,,
0.027472222,0.000230543,36.76847575,,,,,,,
0.027527778,0.000234193,37.08868488,,,,,,,
0.027611111,0.000238552,37.43893005,,,,,,,
0.027666667,0.000242201,37.73913934,,,,,,,
0.027722222,0.000248029,38.03943372,,,,,,,
0.027777778,0.000251678,38.32964553,,,,,,,
0.027833333,0.000254608,38.6098291,,,,,,,
0.027916667,0.000258257,38.9600604,,,,,,,
0.027972222,0.000262616,39.26030901,,,,,,,
0.028027778,0.000268474,39.58062494,,,,,,,
0.028083333,0.000272123,39.86084558,,,,,,,
0.028166667,0.000275772,40.2010848,,,,,,,
0.028222222,0.000280131,40.48133848,,,,,,,
0.028277778,0.00028453,40.83161615,,,,,,,
0.028333333,0.000289498,41.12190299,,,,,,,
0.028388889,0.000295526,41.43224251,,,,,,,
0.028472222,0.000298395,41.75245689,,,,,,,
