time,strain,stress,temperature,type,title,medium,strain_rate,youngs,poissons,,
0.026916667,-6.71E-05,4.924669651,850,tensile,D9,Air,3.48E-01,153000,0.3,,
0.026972222,-6.49E-05,4.987676194,,,,,,,,,
0.027027778,-6.35E-05,5.018681449,,,,,,,,,
0.027111111,-6.21E-05,5.081684667,,,,,,,,,
0.027166667,-6.06E-05,5.128689177,,,,,,,,,
0.027222222,-5.92E-05,5.191692878,,,,,,,,,
0.027277778,-5.77E-05,5.254696765,,,,,,,,,
0.027333333,-5.63E-05,5.302701674,,,,,,,,,
0.027416667,-5.41E-05,5.364709764,,,,,,,,,
0.027472222,-5.27E-05,5.412715006,,,,,,,,,
0.027527778,-5.12E-05,5.475719623,,,,,,,,,
0.027583333,-4.98E-05,5.538724263,,,,,,,,,
0.027666667,-4.76E-05,5.585734134,,,,,,,,,
0.027722222,-4.62E-05,5.663738465,,,,,,,,,
0.027777778,-4.54E-05,5.71174047,,,,,,,,,
0.027833333,-4.33E-05,5.77475007,,,,,,,,,
0.027888889,-4.26E-05,5.836751531,,,,,,,,,
0.027972222,-4.04E-05,5.9157611,,,,,,,,,
0.028027778,-3.82E-05,5.94777265,,,,,,,,,
0.028083333,-3.68E-05,6.025778394,,,,,,,,,
0.028138889,-3.54E-05,6.057785819,,,,,,,,,
0.028222222,-3.32E-05,6.151795944,,,,,,,,,
0.028277778,-3.17E-05,6.198803188,,,,,,,,,
0.028333333,-2.96E-05,6.261814883,,,,,,,,,
0.028388889,-2.74E-05,6.32482667,,,,,,,,,
0.028444444,-2.60E-05,6.387834193,,,,,,,,,
0.028527778,-2.38E-05,6.450846486,,,,,,,,,
0.028583333,-2.09E-05,6.513863851,,,,,,,,,
0.028638889,-1.87E-05,6.576876727,,,,,,,,,
0.028694444,-1.58E-05,6.639894783,,,,,,,,,
0.028777778,-1.37E-05,6.702908249,,,,,,,,,
0.028833333,-1.22E-05,6.765917191,,,,,,,,,
0.028888889,-1.08E-05,6.82892611,,,,,,,,,
0.028944444,-9.37E-06,6.875935565,,,,,,,,,
0.029,-7.21E-06,6.938949949,,,,,,,,,
0.029083333,-5.77E-06,7.001959633,,,,,,,,,
0.029138889,-3.61E-06,7.080974459,,,,,,,,,
0.029194444,-2.87E-06,7.142979514,,,,,,,,,
0.02925,-7.10E-07,7.221994872,,,,,,,,,
0.029333333,0,7.301,,,,,,,,,
0.029388889,2.16E-06,7.364015892,,,,,,,,,
0.029444444,3.61E-06,7.427026789,,,,,,,,,
0.0295,5.03E-06,7.50503772,,,,,,,,,
0.029555556,7.21E-06,7.568054588,,,,,,,,,
0.029638889,9.37E-06,7.63107151,,,,,,,,,
0.029694444,1.08E-05,7.694083249,,,,,,,,,
0.02975,1.30E-05,7.773100878,,,,,,,,,
0.029805556,1.44E-05,7.852113273,,,,,,,,,
0.029888889,1.66E-05,7.899130997,,,,,,,,,
