param_type,param_name,out_u_bound,base,in_l_bound,out_l_bound,in_u_bound
input,cp_tau_s,1,10,2.0,0,3.2041199826559246
input,cp_b,1,10,-0.30102999566398114,0,0.9030899869919434
input,cp_tau_0,1,10,1.6989700043360185,0,2.9030899869919433
input,cp_n,1,10,0.0,0,1.2041199826559246
input,average_strain,1,10,-2.160057110432345,0,-0.5972401100997717
output,average_stress,1,10,2.2304744673611583,0,3.0254697190610553
output,g7_phi_1,1,10,0.06992696875247235,0,0.10826050497647347
output,g7_Phi,1,10,0.27786123822511666,0,0.2987221136057078
output,g7_phi_2,1,10,0.6257444722246495,0,0.6286647471767658
output,g8_phi_1,1,10,0.38918381030816473,0,0.4101020766428606
output,g8_Phi,1,10,0.42411359546803473,0,0.4313476788802987
output,g8_phi_2,1,10,0.6318291865006298,0,0.6464527408929374
output,g9_phi_1,1,10,-0.16613921661413833,0,-0.026812088550325637
output,g9_Phi,1,10,0.3011819721383155,0,0.3183764152227962
output,g9_phi_2,1,10,0.6237453435436678,0,0.6289812102321745
output,g10_phi_1,1,10,0.09268556293749071,0,0.22318432089503998
output,g10_Phi,1,10,0.3936629306675028,0,0.4017623021368253
output,g10_phi_2,1,10,0.5790171910266476,0,0.5908863983732381
output,g11_phi_1,1,10,0.44454441573953246,0,0.5245129569201058
output,g11_Phi,1,10,0.4528899511764933,0,0.46113821607493166
output,g11_phi_2,1,10,0.7530618993207936,0,0.7930846066503535
output,g12_phi_1,1,10,0.06818586174616162,0,0.13614958608853084
output,g12_Phi,1,10,0.27309391167200336,0,0.2990494465975396
output,g12_phi_2,1,10,0.6262787609515185,0,0.6298171960185158
output,g13_phi_1,1,10,0.18757711905508698,0,0.24239233137574234
output,g13_Phi,1,10,0.22005576025134146,0,0.24313730465333672
output,g13_phi_2,1,10,0.6263198328715323,0,0.6293586225803406
output,g14_phi_1,1,10,0.049295568332721966,0,0.10737958280444848
output,g14_Phi,1,10,0.3248789431119936,0,0.3475446696450126
output,g14_phi_2,1,10,0.6215501543254701,0,0.6286749592626378
output,g16_phi_1,1,10,0.44842803501163586,0,0.5105047958927815
output,g16_Phi,1,10,0.4494938267812603,0,0.4583205093180775
output,g16_phi_2,1,10,0.651016195115969,0,0.6670137665831326
output,g19_phi_1,1,10,0.08507641147209452,0,0.13129779659762295
