label,error,a1,n1,q1,a2,n2,q2,a3,n3,q3,a4,n4,q4
ox,0.1558192730882139,43.511,0.99976,35.549,5.7599,0.99896,21.497,94.459,0.16096,35.414,65.632,0.943,28.172
ox,0.15243325695478535,12.087,0.99949,23.197,0.51506,0.75735,38.76,72.369,0.11661,30.496,33.893,0.68788,24.401
ox,0.15464321841367973,34.925,0.99808,31.127,0.092826,0.030767,51.314,42.275,0.077362,28.869,36.542,0.85646,23.954
ox,0.1613943808472504,30.799,0.97881,29.676,31.821,0.98436,58.048,63.541,0.0068378,32.697,59.166,0.86528,27.169
ox,0.18328186051905723,20.367,0.99994,26.601,0.46454,0.98209,34.5,79.08,0.077176,30.816,59.858,0.74515,27.718
ox,0.17576053831788419,29.213,0.99129,31.37,4.7574,0.4121,26.722,65.083,0.12976,29.728,46.972,0.73593,26.395
ox,0.18941801937606367,36.584,0.99556,31.382,45.12,0.99636,56.906,99.904,0.70218,27.26,97.345,0.93647,30.653
ox,0.19852347127034078,64.962,0.020569,42.078,1.755,0.075786,37.042,18.573,0.84592,18.475,20.754,0.12405,24.603
ox,0.1836991169444586,71.726,0.99776,36.571,9.1188,0.15635,76.274,30.076,0.013858,26.304,62.201,0.77774,28.802
ox,0.17991102009094992,60.026,0.9954,36.105,4.4046,0.54648,33.23,83.307,0.14117,34.997,57.451,0.94007,27.155
