time,strain,temperature,stress,type,state,form,process,medium,title,youngs,poissons
0.0,0.0,750.0,118.0,creep,Ruptured,Plate,Base,Air,AirBase_750_118_b,161000.0,0.3
0.0,0.0,,,,,,,,,,
64.8,9e-05,,,,,,,,,,
79.2,0.00047,,,,,,,,,,
93.6,0.00053,,,,,,,,,,
111.6,0.00062,,,,,,,,,,
126.0,0.00065,,,,,,,,,,
144.0,0.00073,,,,,,,,,,
158.4,0.0007,,,,,,,,,,
172.8,0.00074,,,,,,,,,,
190.8,0.00054,,,,,,,,,,
205.2,0.00087,,,,,,,,,,
223.2,0.00088,,,,,,,,,,
237.6,0.00104,,,,,,,,,,
252.0,0.00082,,,,,,,,,,
270.0,0.00094,,,,,,,,,,
284.4,0.00087,,,,,,,,,,
298.8,0.00113,,,,,,,,,,
316.8,0.00104,,,,,,,,,,
331.2,0.00093,,,,,,,,,,
349.2,0.0011,,,,,,,,,,
363.6,0.00098,,,,,,,,,,
378.0,0.00102,,,,,,,,,,
396.0,0.00094,,,,,,,,,,
410.4,0.00128,,,,,,,,,,
428.4,0.00111,,,,,,,,,,
442.8,0.00111,,,,,,,,,,
457.2,0.00096,,,,,,,,,,
475.2,0.00098,,,,,,,,,,
489.6,0.00115,,,,,,,,,,
507.6,0.00122,,,,,,,,,,
522.0,0.00115,,,,,,,,,,
536.4,0.00111,,,,,,,,,,
554.4,0.00114,,,,,,,,,,
568.8,0.00133,,,,,,,,,,
586.8,0.00123,,,,,,,,,,
601.2,0.00114,,,,,,,,,,
615.6,0.00129,,,,,,,,,,
633.6,0.00133,,,,,,,,,,
648.0,0.00122,,,,,,,,,,
666.0,0.00109,,,,,,,,,,
680.4,0.00125,,,,,,,,,,
694.8,0.00151,,,,,,,,,,
712.8,0.00133,,,,,,,,,,
727.2,0.00137,,,,,,,,,,
745.2,0.00123,,,,,,,,,,
759.6,0.00123,,,,,,,,,,
774.0,0.00126,,,,,,,,,,
792.0,0.00116,,,,,,,,,,
806.4,0.00111,,,,,,,,,,
824.4,0.00137,,,,,,,,,,
838.8,0.00131,,,,,,,,,,
853.2,0.00138,,,,,,,,,,
871.2,0.00137,,,,,,,,,,
885.6,0.00132,,,,,,,,,,
4500.0,0.00212,,,,,,,,,,
11700.0,0.00322,,,,,,,,,,
18900.0,0.00387,,,,,,,,,,
22316.4,0.00423,,,,,,,,,,
29516.4,0.00448,,,,,,,,,,
36716.4,0.00469,,,,,,,,,,
43916.4,0.00494,,,,,,,,,,
46774.8,0.00517,,,,,,,,,,
53974.8,0.00548,,,,,,,,,,
61174.8,0.00579,,,,,,,,,,
68374.8,0.00598,,,,,,,,,,
75574.8,0.00625,,,,,,,,,,
79419.6,0.0063,,,,,,,,,,
86619.6,0.00615,,,,,,,,,,
93819.6,0.00635,,,,,,,,,,
101019.6,0.00649,,,,,,,,,,
108219.6,0.0069,,,,,,,,,,
115419.6,0.00709,,,,,,,,,,
122619.6,0.00719,,,,,,,,,,
129819.6,0.00735,,,,,,,,,,
137019.6,0.00749,,,,,,,,,,
144219.6,0.00766,,,,,,,,,,
151419.6,0.0076,,,,,,,,,,
158619.6,0.00799,,,,,,,,,,
165819.6,0.00802,,,,,,,,,,
173019.6,0.00789,,,,,,,,,,
180219.6,0.00789,,,,,,,,,,
187419.6,0.00822,,,,,,,,,,
194619.6,0.00825,,,,,,,,,,
201819.6,0.00829,,,,,,,,,,
209019.6,0.00827,,,,,,,,,,
216219.6,0.00863,,,,,,,,,,
223419.6,0.00868,,,,,,,,,,
230619.6,0.00874,,,,,,,,,,
237819.6,0.00898,,,,,,,,,,
245019.6,0.00897,,,,,,,,,,
252219.6,0.00897,,,,,,,,,,
259419.6,0.00903,,,,,,,,,,
266619.6,0.00943,,,,,,,,,,
273819.6,0.00917,,,,,,,,,,
281019.6,0.00939,,,,,,,,,,
288219.6,0.00945,,,,,,,,,,
295419.6,0.00951,,,,,,,,,,
302619.6,0.00984,,,,,,,,,,
309819.6,0.00986,,,,,,,,,,
317019.6,0.00997,,,,,,,,,,
324219.6,0.01028,,,,,,,,,,
331419.6,0.01036,,,,,,,,,,
338619.6,0.01051,,,,,,,,,,
345819.6,0.01039,,,,,,,,,,
353019.6,0.01022,,,,,,,,,,
360216.0,0.01048,,,,,,,,,,
367416.0,0.01076,,,,,,,,,,
374616.0,0.01073,,,,,,,,,,
381816.0,0.01074,,,,,,,,,,
389016.0,0.0108,,,,,,,,,,
396216.0,0.01102,,,,,,,,,,
403416.0,0.01103,,,,,,,,,,
410616.0,0.01124,,,,,,,,,,
417816.0,0.01114,,,,,,,,,,
425016.0,0.01118,,,,,,,,,,
432216.0,0.0113,,,,,,,,,,
439416.0,0.01157,,,,,,,,,,
446616.0,0.01152,,,,,,,,,,
453816.0,0.01166,,,,,,,,,,
461016.0,0.01178,,,,,,,,,,
468216.0,0.01188,,,,,,,,,,
475416.0,0.01167,,,,,,,,,,
482616.0,0.01194,,,,,,,,,,
489816.0,0.01194,,,,,,,,,,
497016.0,0.01218,,,,,,,,,,
504216.0,0.01221,,,,,,,,,,
511416.0,0.01245,,,,,,,,,,
518616.0,0.01234,,,,,,,,,,
525816.0,0.01246,,,,,,,,,,
533016.0,0.01234,,,,,,,,,,
540216.0,0.01246,,,,,,,,,,
547416.0,0.0125,,,,,,,,,,
554616.0,0.01264,,,,,,,,,,
561816.0,0.01288,,,,,,,,,,
569016.0,0.01275,,,,,,,,,,
576216.0,0.01304,,,,,,,,,,
583416.0,0.01315,,,,,,,,,,
590616.0,0.01308,,,,,,,,,,
597816.0,0.01326,,,,,,,,,,
605016.0,0.01316,,,,,,,,,,
