time,strain,temperature,stress,type,state,form,process,medium,title,youngs,poissons
0.0,0.0,850.0,63.0,creep,Ruptured,Plate,Base,Air,AirBase_850_63_a,153000.0,0.3
0.0,0.0,,,,,,,,,,
64.8,0.00555,,,,,,,,,,
79.2,0.00676,,,,,,,,,,
93.6,0.0068,,,,,,,,,,
111.6,0.00698,,,,,,,,,,
126.0,0.00682,,,,,,,,,,
140.4,0.00719,,,,,,,,,,
158.4,0.00733,,,,,,,,,,
172.8,0.0073,,,,,,,,,,
190.8,0.00732,,,,,,,,,,
205.2,0.00744,,,,,,,,,,
223.2,0.00744,,,,,,,,,,
237.6,0.00757,,,,,,,,,,
252.0,0.00773,,,,,,,,,,
270.0,0.00771,,,,,,,,,,
284.4,0.00776,,,,,,,,,,
302.4,0.00794,,,,,,,,,,
316.8,0.00776,,,,,,,,,,
334.8,0.00771,,,,,,,,,,
349.2,0.00783,,,,,,,,,,
2149.2,0.01045,,,,,,,,,,
5749.2,0.01266,,,,,,,,,,
7376.4,0.01343,,,,,,,,,,
14576.4,0.01649,,,,,,,,,,
21776.4,0.01938,,,,,,,,,,
28976.4,0.02212,,,,,,,,,,
36176.4,0.02426,,,,,,,,,,
43376.4,0.02623,,,,,,,,,,
50576.4,0.02899,,,,,,,,,,
53218.8,0.02953,,,,,,,,,,
60418.8,0.03161,,,,,,,,,,
67618.8,0.0338,,,,,,,,,,
74818.8,0.03601,,,,,,,,,,
82018.8,0.03835,,,,,,,,,,
86533.2,0.03948,,,,,,,,,,
93733.2,0.04172,,,,,,,,,,
100933.2,0.04382,,,,,,,,,,
108133.2,0.04634,,,,,,,,,,
115333.2,0.04861,,,,,,,,,,
122533.2,0.05092,,,,,,,,,,
129733.2,0.05289,,,,,,,,,,
136933.2,0.05541,,,,,,,,,,
144133.2,0.05773,,,,,,,,,,
151333.2,0.05988,,,,,,,,,,
158533.2,0.06193,,,,,,,,,,
165733.2,0.06447,,,,,,,,,,
172933.2,0.06656,,,,,,,,,,
180133.2,0.06881,,,,,,,,,,
187333.2,0.07137,,,,,,,,,,
194533.2,0.07347,,,,,,,,,,
201733.2,0.07566,,,,,,,,,,
208933.2,0.07756,,,,,,,,,,
216133.2,0.07983,,,,,,,,,,
223333.2,0.08195,,,,,,,,,,
230533.2,0.08442,,,,,,,,,,
237733.2,0.08663,,,,,,,,,,
244933.2,0.08891,,,,,,,,,,
252133.2,0.09118,,,,,,,,,,
259333.2,0.09339,,,,,,,,,,
266533.2,0.09569,,,,,,,,,,
273733.2,0.09778,,,,,,,,,,
280933.2,0.10033,,,,,,,,,,
288133.2,0.10264,,,,,,,,,,
295333.2,0.10539,,,,,,,,,,
302533.2,0.10737,,,,,,,,,,
309733.2,0.1095,,,,,,,,,,
316933.2,0.11225,,,,,,,,,,
324133.2,0.11442,,,,,,,,,,
331333.2,0.11669,,,,,,,,,,
338533.2,0.11885,,,,,,,,,,
345600.0,0.12163,,,,,,,,,,
352800.0,0.12385,,,,,,,,,,
360000.0,0.12606,,,,,,,,,,
367200.0,0.12867,,,,,,,,,,
374400.0,0.13066,,,,,,,,,,
381600.0,0.13346,,,,,,,,,,
388800.0,0.13514,,,,,,,,,,
396000.0,0.13795,,,,,,,,,,
403200.0,0.14015,,,,,,,,,,
410400.0,0.14262,,,,,,,,,,
417600.0,0.14512,,,,,,,,,,
424800.0,0.14725,,,,,,,,,,
432000.0,0.14951,,,,,,,,,,
439200.0,0.15208,,,,,,,,,,
446400.0,0.15458,,,,,,,,,,
453600.0,0.1569,,,,,,,,,,
460800.0,0.15971,,,,,,,,,,
468000.0,0.1624,,,,,,,,,,
475200.0,0.16471,,,,,,,,,,
482400.0,0.16743,,,,,,,,,,
489600.0,0.16989,,,,,,,,,,
496800.0,0.17235,,,,,,,,,,
504000.0,0.17519,,,,,,,,,,
511200.0,0.17806,,,,,,,,,,
518400.0,0.18051,,,,,,,,,,
525600.0,0.18316,,,,,,,,,,
532800.0,0.18575,,,,,,,,,,
540000.0,0.1886,,,,,,,,,,
547200.0,0.19107,,,,,,,,,,
554400.0,0.19379,,,,,,,,,,
561600.0,0.19636,,,,,,,,,,
568800.0,0.19896,,,,,,,,,,
576000.0,0.2015,,,,,,,,,,
583200.0,0.20434,,,,,,,,,,
590400.0,0.207,,,,,,,,,,
597600.0,0.20979,,,,,,,,,,
604800.0,0.2123,,,,,,,,,,
612000.0,0.21511,,,,,,,,,,
619200.0,0.21801,,,,,,,,,,
622836.0,0.21987,,,,,,,,,,
630036.0,0.22225,,,,,,,,,,
637236.0,0.22533,,,,,,,,,,
644436.0,0.22828,,,,,,,,,,
651636.0,0.23116,,,,,,,,,,
658836.0,0.23437,,,,,,,,,,
666036.0,0.23749,,,,,,,,,,
673236.0,0.24034,,,,,,,,,,
680436.0,0.24343,,,,,,,,,,
684612.0,0.24555,,,,,,,,,,
691812.0,0.24833,,,,,,,,,,
695412.0,0.25042,,,,,,,,,,
699480.0,0.25262,,,,,,,,,,
706680.0,0.2556,,,,,,,,,,
710352.0,0.25743,,,,,,,,,,
713952.0,0.25937,,,,,,,,,,
717588.0,0.26123,,,,,,,,,,
723420.0,0.26436,,,,,,,,,,
730620.0,0.26764,,,,,,,,,,
734220.0,0.26974,,,,,,,,,,
738576.0,0.27217,,,,,,,,,,
744480.0,0.27515,,,,,,,,,,
748080.0,0.27689,,,,,,,,,,
751680.0,0.27943,,,,,,,,,,
755280.0,0.28143,,,,,,,,,,
759132.0,0.28341,,,,,,,,,,
762732.0,0.2855,,,,,,,,,,
766332.0,0.28739,,,,,,,,,,
769932.0,0.28954,,,,,,,,,,
773532.0,0.2914,,,,,,,,,,
