time,strain,temperature,stress,type,state,form,process,medium,title,youngs,poissons
0.0,0.0,750.0,135.0,creep,Ruptured,Plate,Weld,Air,AirWeld_750_135_a,161000.0,0.3
0.0,0.0,,,,,,,,,,
32.4,9e-05,,,,,,,,,,
46.8,0.0027,,,,,,,,,,
64.8,0.00275,,,,,,,,,,
79.2,0.00283,,,,,,,,,,
93.6,0.00274,,,,,,,,,,
111.6,0.00298,,,,,,,,,,
126.0,0.00272,,,,,,,,,,
144.0,0.00298,,,,,,,,,,
158.4,0.00282,,,,,,,,,,
172.8,0.00295,,,,,,,,,,
190.8,0.00302,,,,,,,,,,
205.2,0.00325,,,,,,,,,,
223.2,0.00331,,,,,,,,,,
237.6,0.00338,,,,,,,,,,
252.0,0.00341,,,,,,,,,,
270.0,0.00335,,,,,,,,,,
284.4,0.00352,,,,,,,,,,
298.8,0.00364,,,,,,,,,,
316.8,0.00366,,,,,,,,,,
331.2,0.00338,,,,,,,,,,
349.2,0.00335,,,,,,,,,,
363.6,0.00333,,,,,,,,,,
378.0,0.00356,,,,,,,,,,
396.0,0.00362,,,,,,,,,,
410.4,0.0035,,,,,,,,,,
428.4,0.00346,,,,,,,,,,
442.8,0.00374,,,,,,,,,,
457.2,0.00354,,,,,,,,,,
475.2,0.00378,,,,,,,,,,
489.6,0.00374,,,,,,,,,,
507.6,0.00357,,,,,,,,,,
522.0,0.0038,,,,,,,,,,
536.4,0.0037,,,,,,,,,,
554.4,0.00364,,,,,,,,,,
568.8,0.0038,,,,,,,,,,
586.8,0.00378,,,,,,,,,,
601.2,0.00392,,,,,,,,,,
615.6,0.00411,,,,,,,,,,
633.6,0.00388,,,,,,,,,,
648.0,0.00384,,,,,,,,,,
666.0,0.0037,,,,,,,,,,
680.4,0.00393,,,,,,,,,,
694.8,0.00377,,,,,,,,,,
712.8,0.00376,,,,,,,,,,
727.2,0.00354,,,,,,,,,,
745.2,0.00372,,,,,,,,,,
759.6,0.004,,,,,,,,,,
774.0,0.00389,,,,,,,,,,
792.0,0.00396,,,,,,,,,,
806.4,0.00385,,,,,,,,,,
824.4,0.00377,,,,,,,,,,
838.8,0.00373,,,,,,,,,,
853.2,0.00385,,,,,,,,,,
871.2,0.004,,,,,,,,,,
885.6,0.00388,,,,,,,,,,
900.0,0.00401,,,,,,,,,,
8100.0,0.00439,,,,,,,,,,
15300.0,0.00456,,,,,,,,,,
22500.0,0.00487,,,,,,,,,,
29700.0,0.0051,,,,,,,,,,
36900.0,0.00499,,,,,,,,,,
44100.0,0.0053,,,,,,,,,,
51300.0,0.00537,,,,,,,,,,
58500.0,0.00561,,,,,,,,,,
65700.0,0.00588,,,,,,,,,,
72900.0,0.00614,,,,,,,,,,
80100.0,0.00603,,,,,,,,,,
87300.0,0.0062,,,,,,,,,,
94500.0,0.00618,,,,,,,,,,
101700.0,0.00614,,,,,,,,,,
108900.0,0.00607,,,,,,,,,,
116100.0,0.00627,,,,,,,,,,
123300.0,0.00638,,,,,,,,,,
130500.0,0.00619,,,,,,,,,,
137700.0,0.00675,,,,,,,,,,
144900.0,0.00673,,,,,,,,,,
152100.0,0.0067,,,,,,,,,,
159300.0,0.00685,,,,,,,,,,
166500.0,0.00675,,,,,,,,,,
173700.0,0.00692,,,,,,,,,,
180900.0,0.00698,,,,,,,,,,
188100.0,0.0071,,,,,,,,,,
195300.0,0.00739,,,,,,,,,,
202500.0,0.00732,,,,,,,,,,
209700.0,0.00743,,,,,,,,,,
216900.0,0.00726,,,,,,,,,,
224100.0,0.00712,,,,,,,,,,
231300.0,0.00747,,,,,,,,,,
238500.0,0.00735,,,,,,,,,,
245700.0,0.00744,,,,,,,,,,
252900.0,0.00748,,,,,,,,,,
260100.0,0.00741,,,,,,,,,,
267300.0,0.00757,,,,,,,,,,
