time,strain,temperature,stress,type,state,form,process,medium,title,youngs,poissons
0.0,0.0,850.0,54.0,creep,Ruptured,Plate,Weld,Air,AirWeld_850_54_b,153000.0,0.3
0.0,0.0,,,,,,,,,,
64.8,0.00548,,,,,,,,,,
79.2,0.006,,,,,,,,,,
97.2,0.00577,,,,,,,,,,
111.6,0.0058,,,,,,,,,,
129.6,0.00584,,,,,,,,,,
144.0,0.00598,,,,,,,,,,
158.4,0.00596,,,,,,,,,,
176.4,0.00602,,,,,,,,,,
190.8,0.006,,,,,,,,,,
208.8,0.00632,,,,,,,,,,
223.2,0.00606,,,,,,,,,,
241.2,0.00618,,,,,,,,,,
255.6,0.00626,,,,,,,,,,
273.6,0.00636,,,,,,,,,,
288.0,0.00638,,,,,,,,,,
302.4,0.00636,,,,,,,,,,
320.4,0.00625,,,,,,,,,,
334.8,0.00659,,,,,,,,,,
352.8,0.00626,,,,,,,,,,
367.2,0.00658,,,,,,,,,,
381.6,0.00675,,,,,,,,,,
399.6,0.00652,,,,,,,,,,
414.0,0.00661,,,,,,,,,,
432.0,0.00663,,,,,,,,,,
446.4,0.00685,,,,,,,,,,
464.4,0.00654,,,,,,,,,,
478.8,0.00686,,,,,,,,,,
496.8,0.00685,,,,,,,,,,
511.2,0.0069,,,,,,,,,,
525.6,0.00659,,,,,,,,,,
543.6,0.00681,,,,,,,,,,
558.0,0.00693,,,,,,,,,,
576.0,0.00671,,,,,,,,,,
590.4,0.00685,,,,,,,,,,
608.4,0.00686,,,,,,,,,,
622.8,0.00674,,,,,,,,,,
637.2,0.00657,,,,,,,,,,
655.2,0.00682,,,,,,,,,,
673.2,0.00699,,,,,,,,,,
687.6,0.00679,,,,,,,,,,
702.0,0.00667,,,,,,,,,,
720.0,0.00703,,,,,,,,,,
734.4,0.00689,,,,,,,,,,
752.4,0.00679,,,,,,,,,,
766.8,0.00673,,,,,,,,,,
784.8,0.00681,,,,,,,,,,
799.2,0.00691,,,,,,,,,,
813.6,0.00697,,,,,,,,,,
831.6,0.00689,,,,,,,,,,
846.0,0.00687,,,,,,,,,,
864.0,0.00674,,,,,,,,,,
878.4,0.00671,,,,,,,,,,
896.4,0.00701,,,,,,,,,,
8096.4,0.00646,,,,,,,,,,
14400.0,0.00678,,,,,,,,,,
21600.0,0.00701,,,,,,,,,,
28800.0,0.00764,,,,,,,,,,
36000.0,0.00767,,,,,,,,,,
43200.0,0.00753,,,,,,,,,,
50400.0,0.00764,,,,,,,,,,
53168.4,0.00755,,,,,,,,,,
60368.4,0.00784,,,,,,,,,,
67568.4,0.00763,,,,,,,,,,
74768.4,0.00778,,,,,,,,,,
81968.4,0.00799,,,,,,,,,,
87670.8,0.00788,,,,,,,,,,
93600.0,0.00816,,,,,,,,,,
100800.0,0.00816,,,,,,,,,,
108000.0,0.00847,,,,,,,,,,
115200.0,0.00835,,,,,,,,,,
122400.0,0.00881,,,,,,,,,,
129600.0,0.00859,,,,,,,,,,
136800.0,0.00871,,,,,,,,,,
144000.0,0.00903,,,,,,,,,,
151200.0,0.00877,,,,,,,,,,
158400.0,0.00884,,,,,,,,,,
165600.0,0.00863,,,,,,,,,,
172800.0,0.00873,,,,,,,,,,
180000.0,0.00884,,,,,,,,,,
187200.0,0.00928,,,,,,,,,,
194400.0,0.00913,,,,,,,,,,
201600.0,0.00931,,,,,,,,,,
208800.0,0.00907,,,,,,,,,,
216000.0,0.00901,,,,,,,,,,
223200.0,0.00909,,,,,,,,,,
230400.0,0.00968,,,,,,,,,,
237600.0,0.00901,,,,,,,,,,
244800.0,0.00916,,,,,,,,,,
252000.0,0.00947,,,,,,,,,,
259200.0,0.00952,,,,,,,,,,
266400.0,0.00931,,,,,,,,,,
273600.0,0.00956,,,,,,,,,,
280800.0,0.00937,,,,,,,,,,
288000.0,0.00939,,,,,,,,,,
295200.0,0.0097,,,,,,,,,,
302400.0,0.0094,,,,,,,,,,
309600.0,0.00927,,,,,,,,,,
316800.0,0.00978,,,,,,,,,,
324000.0,0.00986,,,,,,,,,,
331200.0,0.00981,,,,,,,,,,
