time,strain,temperature,stress,type,state,form,process,medium,title,youngs,poissons
0.0,0.0,900.0,28.0,creep,Ruptured,Plate,Base,Air,AirBase_900_28_a,149000.0,0.3
0.0,0.0,,,,,,,,,,
141.1,0.000187,,,,,,,,,,
18600.1,0.001161,,,,,,,,,,
47400.1,0.001651,,,,,,,,,,
76200.1,0.001838,,,,,,,,,,
105000.1,0.002234,,,,,,,,,,
133800.1,0.002393,,,,,,,,,,
162600.1,0.002586,,,,,,,,,,
191400.1,0.00281,,,,,,,,,,
220200.1,0.003026,,,,,,,,,,
249000.1,0.003231,,,,,,,,,,
277800.1,0.003653,,,,,,,,,,
306600.1,0.003924,,,,,,,,,,
335400.1,0.004148,,,,,,,,,,
364200.1,0.004438,,,,,,,,,,
393000.1,0.004694,,,,,,,,,,
421800.1,0.004839,,,,,,,,,,
450600.1,0.005265,,,,,,,,,,
479400.1,0.005417,,,,,,,,,,
508200.1,0.005486,,,,,,,,,,
537000.1,0.005742,,,,,,,,,,
565800.1,0.005979,,,,,,,,,,
594600.1,0.005986,,,,,,,,,,
623400.1,0.006234,,,,,,,,,,
652200.1,0.006386,,,,,,,,,,
681000.1,0.006557,,,,,,,,,,
709800.1,0.006905,,,,,,,,,,
738600.1,0.007105,,,,,,,,,,
767400.1,0.007149,,,,,,,,,,
796200.1,0.007388,,,,,,,,,,
825000.1,0.007598,,,,,,,,,,
853800.1,0.007724,,,,,,,,,,
882600.1,0.00783,,,,,,,,,,
911400.1,0.007939,,,,,,,,,,
940200.1,0.008077,,,,,,,,,,
969000.1,0.008402,,,,,,,,,,
997800.1,0.008319,,,,,,,,,,
1026600.1,0.008625,,,,,,,,,,
1055400.1,0.008924,,,,,,,,,,
1084200.1,0.008993,,,,,,,,,,
1113000.1,0.009136,,,,,,,,,,
1141800.1,0.009394,,,,,,,,,,
1170600.1,0.009558,,,,,,,,,,
1199400.1,0.009611,,,,,,,,,,
1228200.1,0.009931,,,,,,,,,,
1257000.1,0.010071,,,,,,,,,,
1285800.1,0.010221,,,,,,,,,,
1314600.1,0.010384,,,,,,,,,,
1343400.1,0.010603,,,,,,,,,,
1372200.1,0.010797,,,,,,,,,,
1401000.1,0.011075,,,,,,,,,,
1429800.1,0.011322,,,,,,,,,,
1458600.1,0.011273,,,,,,,,,,
1487400.1,0.011495,,,,,,,,,,
1516200.1,0.01181,,,,,,,,,,
1545000.1,0.011957,,,,,,,,,,
1573800.1,0.012432,,,,,,,,,,
1602600.1,0.012662,,,,,,,,,,
1631400.1,0.013171,,,,,,,,,,
1660200.1,0.013498,,,,,,,,,,
1689000.1,0.013572,,,,,,,,,,
1717800.1,0.013917,,,,,,,,,,
1746600.1,0.014127,,,,,,,,,,
1775400.1,0.014366,,,,,,,,,,
1804200.1,0.014452,,,,,,,,,,
1833000.1,0.014758,,,,,,,,,,
1861800.1,0.015071,,,,,,,,,,
1890600.1,0.015281,,,,,,,,,,
1919400.1,0.015652,,,,,,,,,,
1948200.1,0.015843,,,,,,,,,,
1977000.1,0.016101,,,,,,,,,,
2005800.1,0.016471,,,,,,,,,,
2034600.1,0.016651,,,,,,,,,,
2063400.1,0.016955,,,,,,,,,,
2092200.1,0.017342,,,,,,,,,,
2121000.1,0.017517,,,,,,,,,,
2149800.1,0.017722,,,,,,,,,,
2178600.1,0.018065,,,,,,,,,,
2207400.1,0.018429,,,,,,,,,,
2236200.1,0.018676,,,,,,,,,,
2265000.1,0.018947,,,,,,,,,,
2293800.1,0.019249,,,,,,,,,,
2322600.1,0.019433,,,,,,,,,,
2351400.1,0.019832,,,,,,,,,,
2380200.1,0.020122,,,,,,,,,,
2409000.1,0.020444,,,,,,,,,,
2437800.1,0.020716,,,,,,,,,,
2466600.1,0.02099,,,,,,,,,,
2495400.1,0.021407,,,,,,,,,,
2524200.1,0.021699,,,,,,,,,,
2553000.1,0.02198,,,,,,,,,,
2581800.1,0.022178,,,,,,,,,,
2610600.1,0.022584,,,,,,,,,,
2639400.1,0.022844,,,,,,,,,,
2668200.1,0.02324,,,,,,,,,,
2697000.1,0.023556,,,,,,,,,,
2725800.1,0.023804,,,,,,,,,,
2754600.1,0.024166,,,,,,,,,,
2783400.1,0.024677,,,,,,,,,,
2812200.1,0.024933,,,,,,,,,,
2841000.1,0.025322,,,,,,,,,,
2869800.1,0.025622,,,,,,,,,,
2898600.1,0.025838,,,,,,,,,,
2927400.1,0.02605,,,,,,,,,,
2956200.1,0.026504,,,,,,,,,,
2985000.1,0.026891,,,,,,,,,,
3013800.1,0.027273,,,,,,,,,,
3042600.1,0.02769,,,,,,,,,,
3071400.1,0.027837,,,,,,,,,,
3100200.1,0.028351,,,,,,,,,,
3129000.1,0.028643,,,,,,,,,,
3157800.1,0.028979,,,,,,,,,,
3186600.1,0.02912,,,,,,,,,,
3215400.1,0.029493,,,,,,,,,,
3244200.1,0.029947,,,,,,,,,,
3273000.1,0.030207,,,,,,,,,,
3301800.1,0.03064,,,,,,,,,,
3330600.1,0.031114,,,,,,,,,,
3359400.1,0.031517,,,,,,,,,,
3388200.1,0.032022,,,,,,,,,,
3417000.1,0.03201,,,,,,,,,,
3445800.1,0.032703,,,,,,,,,,
3474600.1,0.033159,,,,,,,,,,
3503400.1,0.033429,,,,,,,,,,
3532200.1,0.033848,,,,,,,,,,
3561000.1,0.034343,,,,,,,,,,
3589800.1,0.034799,,,,,,,,,,
3618600.1,0.035191,,,,,,,,,,
3647400.1,0.035644,,,,,,,,,,
3676200.1,0.035976,,,,,,,,,,
3705000.1,0.036375,,,,,,,,,,
3733800.1,0.036609,,,,,,,,,,
3762600.1,0.036805,,,,,,,,,,
3791400.1,0.0373,,,,,,,,,,
3820200.1,0.037754,,,,,,,,,,
3849000.1,0.038053,,,,,,,,,,
3877800.1,0.038473,,,,,,,,,,
3906600.1,0.038675,,,,,,,,,,
3935400.1,0.038913,,,,,,,,,,
3964200.1,0.039198,,,,,,,,,,
3993000.1,0.039629,,,,,,,,,,
4021800.1,0.039884,,,,,,,,,,
4050600.1,0.040278,,,,,,,,,,
4079400.1,0.040617,,,,,,,,,,
4108200.1,0.041013,,,,,,,,,,
4137000.1,0.041232,,,,,,,,,,
4165800.1,0.041764,,,,,,,,,,
4194600.1,0.042029,,,,,,,,,,
4223400.1,0.04228,,,,,,,,,,
4252200.1,0.042821,,,,,,,,,,
4281000.1,0.043185,,,,,,,,,,
