time,strain,temperature,stress,type,state,form,process,medium,title,youngs,poissons
0.0,0.0,850.0,32.0,creep,Ruptured,Plate,Base,He,HeBase_850_32_a,153000.0,0.3
0.0,0.0,,,,,,,,,,
3.0,0.00025,,,,,,,,,,
15.0,0.007,,,,,,,,,,
39.0,0.007,,,,,,,,,,
87.0,0.007,,,,,,,,,,
183.0,0.007,,,,,,,,,,
375.0,0.0080357,,,,,,,,,,
567.0,0.0080357,,,,,,,,,,
3479.0,0.0099286,,,,,,,,,,
82801.0,0.0125,,,,,,,,,,
140402.0,0.0130357,,,,,,,,,,
198003.0,0.0130714,,,,,,,,,,
255605.0,0.01325,,,,,,,,,,
313206.0,0.0134286,,,,,,,,,,
370807.0,0.0134643,,,,,,,,,,
428408.0,0.0136429,,,,,,,,,,
486010.0,0.0142143,,,,,,,,,,
543611.0,0.0139286,,,,,,,,,,
601212.0,0.0139643,,,,,,,,,,
658813.0,0.0143214,,,,,,,,,,
716415.0,0.0139286,,,,,,,,,,
774016.0,0.0143929,,,,,,,,,,
831617.0,0.0143929,,,,,,,,,,
889218.0,0.0143929,,,,,,,,,,
946820.0,0.0143929,,,,,,,,,,
1004421.0,0.0143929,,,,,,,,,,
1062022.0,0.0146786,,,,,,,,,,
1119623.0,0.01525,,,,,,,,,,
1177225.0,0.0157143,,,,,,,,,,
1234826.0,0.0155081,,,,,,,,,,
1292427.0,0.0155766,,,,,,,,,,
1350028.0,0.015645,,,,,,,,,,
1407629.0,0.0157135,,,,,,,,,,
1465230.0,0.015782,,,,,,,,,,
1522832.0,0.0158505,,,,,,,,,,
1580433.0,0.015919,,,,,,,,,,
1638034.0,0.0159874,,,,,,,,,,
1695635.0,0.0160559,,,,,,,,,,
1753236.0,0.0161244,,,,,,,,,,
1810837.0,0.0161929,,,,,,,,,,
1868438.0,0.0162613,,,,,,,,,,
1926039.0,0.0163298,,,,,,,,,,
1983640.0,0.0163983,,,,,,,,,,
2041241.0,0.0164668,,,,,,,,,,
2098842.0,0.0165353,,,,,,,,,,
2156443.0,0.0166037,,,,,,,,,,
2214044.0,0.0166722,,,,,,,,,,
2271645.0,0.0167407,,,,,,,,,,
2329246.0,0.0168092,,,,,,,,,,
2386848.0,0.0168776,,,,,,,,,,
2444449.0,0.0169461,,,,,,,,,,
2502050.0,0.0170146,,,,,,,,,,
2559651.0,0.0170831,,,,,,,,,,
2617253.0,0.0171516,,,,,,,,,,
2674854.0,0.01722,,,,,,,,,,
2732455.0,0.0172885,,,,,,,,,,
2790056.0,0.017357,,,,,,,,,,
2847657.0,0.0174255,,,,,,,,,,
2905259.0,0.0174939,,,,,,,,,,
2962860.0,0.0175624,,,,,,,,,,
3020461.0,0.0176309,,,,,,,,,,
3078062.0,0.0176994,,,,,,,,,,
3135664.0,0.0177679,,,,,,,,,,
3193265.0,0.0178363,,,,,,,,,,
3250866.0,0.0179048,,,,,,,,,,
3337268.0,0.0180075,,,,,,,,,,
3406868.0,0.0180903,,,,,,,,,,
3483669.0,0.0181816,,,,,,,,,,
3560471.0,0.0182729,,,,,,,,,,
3637272.0,0.0183642,,,,,,,,,,
3714074.0,0.0184555,,,,,,,,,,
3790875.0,0.0185468,,,,,,,,,,
3867676.0,0.0186381,,,,,,,,,,
3944478.0,0.0187294,,,,,,,,,,
4021279.0,0.0188207,,,,,,,,,,
4098081.0,0.018912,,,,,,,,,,
4174882.0,0.0190033,,,,,,,,,,
4251684.0,0.0190946,,,,,,,,,,
4328485.0,0.0191859,,,,,,,,,,
4405286.0,0.0192772,,,,,,,,,,
4482088.0,0.0192857,,,,,,,,,,
4558889.0,0.0193571,,,,,,,,,,
4635690.0,0.0193571,,,,,,,,,,
4712492.0,0.0193571,,,,,,,,,,
4789293.0,0.0193929,,,,,,,,,,
4866095.0,0.0199643,,,,,,,,,,
4942896.0,0.0205,,,,,,,,,,
5019698.0,0.0205,,,,,,,,,,
5096499.0,0.0205,,,,,,,,,,
5173300.0,0.0205,,,,,,,,,,
5250102.0,0.0207857,,,,,,,,,,
5326903.0,0.0208571,,,,,,,,,,
5403704.0,0.0208929,,,,,,,,,,
5480506.0,0.0209286,,,,,,,,,,
5557307.0,0.0213571,,,,,,,,,,
5634109.0,0.0213571,,,,,,,,,,
5710910.0,0.02175,,,,,,,,,,
5787711.0,0.02175,,,,,,,,,,
5864513.0,0.0222143,,,,,,,,,,
5941314.0,0.0222143,,,,,,,,,,
6018115.0,0.0225714,,,,,,,,,,
6094917.0,0.0226429,,,,,,,,,,
6171718.0,0.0227143,,,,,,,,,,
6248519.0,0.0231786,,,,,,,,,,
6325321.0,0.0232143,,,,,,,,,,
6402122.0,0.0236429,,,,,,,,,,
6478923.0,0.0236429,,,,,,,,,,
6555725.0,0.0236429,,,,,,,,,,
6632526.0,0.0236786,,,,,,,,,,
6709328.0,0.0241071,,,,,,,,,,
6786129.0,0.0244643,,,,,,,,,,
6862930.0,0.0248214,,,,,,,,,,
6939732.0,0.0248214,,,,,,,,,,
7016533.0,0.0253929,,,,,,,,,,
7093334.0,0.0254286,,,,,,,,,,
7170136.0,0.0257143,,,,,,,,,,
7246937.0,0.02575,,,,,,,,,,
7323738.0,0.02625,,,,,,,,,,
7400540.0,0.0265714,,,,,,,,,,
7477341.0,0.0270714,,,,,,,,,,
7554142.0,0.0276429,,,,,,,,,,
7630943.0,0.0281786,,,,,,,,,,
7707745.0,0.0282143,,,,,,,,,,
7784546.0,0.02825,,,,,,,,,,
7861347.0,0.02825,,,,,,,,,,
7938149.0,0.02825,,,,,,,,,,
8014950.0,0.0282857,,,,,,,,,,
8091751.0,0.0286071,,,,,,,,,,
8168553.0,0.029,,,,,,,,,,
8245354.0,0.0293214,,,,,,,,,,
8322155.0,0.0297857,,,,,,,,,,
8398957.0,0.0300714,,,,,,,,,,
8475758.0,0.0306071,,,,,,,,,,
8552559.0,0.0306429,,,,,,,,,,
8629360.0,0.0306786,,,,,,,,,,
8706162.0,0.0307143,,,,,,,,,,
8782963.0,0.0311071,,,,,,,,,,
8859764.0,0.0315714,,,,,,,,,,
8936566.0,0.0316071,,,,,,,,,,
9013367.0,0.0316429,,,,,,,,,,
9090168.0,0.0320357,,,,,,,,,,
9166970.0,0.0324643,,,,,,,,,,
9243771.0,0.0329643,,,,,,,,,,
9320572.0,0.033,,,,,,,,,,
9397373.0,0.033,,,,,,,,,,
9474175.0,0.0330357,,,,,,,,,,
9550976.0,0.0335,,,,,,,,,,
9627777.0,0.0335714,,,,,,,,,,
9704579.0,0.0335714,,,,,,,,,,
9781380.0,0.0338929,,,,,,,,,,
9858181.0,0.03425,,,,,,,,,,
9934983.0,0.0348571,,,,,,,,,,
10011784.0,0.0348571,,,,,,,,,,
10088585.0,0.0348571,,,,,,,,,,
10165386.0,0.0356071,,,,,,,,,,
10242188.0,0.0359643,,,,,,,,,,
10318989.0,0.0363929,,,,,,,,,,
10395790.0,0.0364286,,,,,,,,,,
10472592.0,0.0364286,,,,,,,,,,
10549393.0,0.0367857,,,,,,,,,,
10626194.0,0.0367857,,,,,,,,,,
10702996.0,0.0370714,,,,,,,,,,
10779797.0,0.0375,,,,,,,,,,
10856598.0,0.0375357,,,,,,,,,,
10933400.0,0.0380714,,,,,,,,,,
11010201.0,0.0384643,,,,,,,,,,
11087002.0,0.0385,,,,,,,,,,
11163803.0,0.0389643,,,,,,,,,,
11240605.0,0.0395,,,,,,,,,,
11317406.0,0.0395,,,,,,,,,,
11394208.0,0.0397857,,,,,,,,,,
11471009.0,0.0398214,,,,,,,,,,
11547810.0,0.0398929,,,,,,,,,,
11624611.0,0.0399286,,,,,,,,,,
11701413.0,0.0399643,,,,,,,,,,
11778214.0,0.0399643,,,,,,,,,,
11855015.0,0.04,,,,,,,,,,
11931817.0,0.04,,,,,,,,,,
12008618.0,0.0403571,,,,,,,,,,
12085419.0,0.0407857,,,,,,,,,,
12162221.0,0.0413571,,,,,,,,,,
12239022.0,0.0413929,,,,,,,,,,
12315823.0,0.0413929,,,,,,,,,,
12392625.0,0.0417143,,,,,,,,,,
12469426.0,0.0421429,,,,,,,,,,
12546227.0,0.0426786,,,,,,,,,,
12623029.0,0.0426786,,,,,,,,,,
12699830.0,0.0431786,,,,,,,,,,
12776631.0,0.0435714,,,,,,,,,,
12853433.0,0.044,,,,,,,,,,
12930234.0,0.0440357,,,,,,,,,,
13007035.0,0.0440714,,,,,,,,,,
13083837.0,0.0445714,,,,,,,,,,
13160638.0,0.0445714,,,,,,,,,,
13237439.0,0.0446071,,,,,,,,,,
13314241.0,0.0449286,,,,,,,,,,
13391042.0,0.0453214,,,,,,,,,,
13467843.0,0.0458929,,,,,,,,,,
13544645.0,0.0459286,,,,,,,,,,
13621446.0,0.0459286,,,,,,,,,,
13698247.0,0.04625,,,,,,,,,,
13775049.0,0.0466429,,,,,,,,,,
13851850.0,0.0466429,,,,,,,,,,
13928652.0,0.0470357,,,,,,,,,,
14005453.0,0.0475714,,,,,,,,,,
14082254.0,0.0480714,,,,,,,,,,
14159056.0,0.0484643,,,,,,,,,,
14235857.0,0.0485,,,,,,,,,,
14312659.0,0.0485357,,,,,,,,,,
14389460.0,0.0489643,,,,,,,,,,
14466261.0,0.049,,,,,,,,,,
14543063.0,0.0494643,,,,,,,,,,
14619864.0,0.04975,,,,,,,,,,
14696665.0,0.05025,,,,,,,,,,
14773467.0,0.05025,,,,,,,,,,
14850268.0,0.0506786,,,,,,,,,,
14927070.0,0.0506786,,,,,,,,,,
15003871.0,0.0511071,,,,,,,,,,
15080672.0,0.0511071,,,,,,,,,,
15157474.0,0.0516786,,,,,,,,,,
15234275.0,0.0521429,,,,,,,,,,
15311076.0,0.0525714,,,,,,,,,,
15387878.0,0.0531071,,,,,,,,,,
15464679.0,0.0536429,,,,,,,,,,
15541481.0,0.0536429,,,,,,,,,,
15618282.0,0.0536786,,,,,,,,,,
15695083.0,0.0541786,,,,,,,,,,
15771885.0,0.0542143,,,,,,,,,,
15848686.0,0.0546786,,,,,,,,,,
15925488.0,0.0550357,,,,,,,,,,
16002289.0,0.0554643,,,,,,,,,,
16080261.0,0.0555,,,,,,,,,,
16157062.0,0.0558571,,,,,,,,,,
16233864.0,0.0563929,,,,,,,,,,
16310665.0,0.0564286,,,,,,,,,,
16387466.0,0.0569286,,,,,,,,,,
16464268.0,0.057,,,,,,,,,,
16541069.0,0.057,,,,,,,,,,
16617871.0,0.0573929,,,,,,,,,,
16694672.0,0.0573929,,,,,,,,,,
16771473.0,0.05775,,,,,,,,,,
16848275.0,0.0583214,,,,,,,,,,
16925076.0,0.0583571,,,,,,,,,,
17001878.0,0.0588929,,,,,,,,,,
17078679.0,0.0594286,,,,,,,,,,
17155481.0,0.0595,,,,,,,,,,
17232282.0,0.0597857,,,,,,,,,,
17309084.0,0.0598214,,,,,,,,,,
17385885.0,0.0603214,,,,,,,,,,
17462687.0,0.0603214,,,,,,,,,,
17539488.0,0.0606786,,,,,,,,,,
17616290.0,0.0611071,,,,,,,,,,
17693091.0,0.0616429,,,,,,,,,,
17769893.0,0.0620714,,,,,,,,,,
17846694.0,0.0621071,,,,,,,,,,
17923496.0,0.0626429,,,,,,,,,,
18000297.0,0.0626429,,,,,,,,,,
18077099.0,0.0630714,,,,,,,,,,
18153900.0,0.0635,,,,,,,,,,
18230702.0,0.0639286,,,,,,,,,,
18307504.0,0.0643571,,,,,,,,,,
18384305.0,0.0647857,,,,,,,,,,
18461107.0,0.0653571,,,,,,,,,,
18537908.0,0.0658571,,,,,,,,,,
18614710.0,0.0658929,,,,,,,,,,
18691511.0,0.0663214,,,,,,,,,,
18768313.0,0.0663571,,,,,,,,,,
18845114.0,0.06675,,,,,,,,,,
18921916.0,0.0671786,,,,,,,,,,
18998717.0,0.0677857,,,,,,,,,,
19075519.0,0.06825,,,,,,,,,,
19152320.0,0.0682857,,,,,,,,,,
19229122.0,0.0682857,,,,,,,,,,
19305924.0,0.0687143,,,,,,,,,,
19382725.0,0.06875,,,,,,,,,,
19459526.0,0.0691429,,,,,,,,,,
19536328.0,0.0695714,,,,,,,,,,
19613130.0,0.0700714,,,,,,,,,,
19689931.0,0.0701071,,,,,,,,,,
19766733.0,0.0707143,,,,,,,,,,
19843535.0,0.0707143,,,,,,,,,,
19920336.0,0.07075,,,,,,,,,,
