time,strain,temperature,stress,type,state,form,process,medium,title,youngs,poissons
0.0,0.0,850.0,50.0,creep,Ruptured,Plate,Base,He,HeBase_850_50_b,153000.0,0.3
0.0,0.0,,,,,,,,,,
5.0,0.01566,,,,,,,,,,
17.0,0.00169,,,,,,,,,,
35.0,0.01078,,,,,,,,,,
71.0,0.01078,,,,,,,,,,
143.0,0.01172,,,,,,,,,,
287.0,0.01266,,,,,,,,,,
479.0,0.01197,,,,,,,,,,
1079.0,0.01422,,,,,,,,,,
2519.0,0.01569,,,,,,,,,,
3239.0,0.01634,,,,,,,,,,
3539.0,0.01634,,,,,,,,,,
7199.0,0.017,,,,,,,,,,
14399.0,0.01806,,,,,,,,,,
18000.0,0.01806,,,,,,,,,,
25200.0,0.01862,,,,,,,,,,
32400.0,0.01944,,,,,,,,,,
39600.0,0.01944,,,,,,,,,,
43200.0,0.01947,,,,,,,,,,
50401.0,0.01959,,,,,,,,,,
57601.0,0.02019,,,,,,,,,,
64801.0,0.02019,,,,,,,,,,
72001.0,0.02022,,,,,,,,,,
79201.0,0.02022,,,,,,,,,,
86401.0,0.02022,,,,,,,,,,
90002.0,0.02022,,,,,,,,,,
97202.0,0.02022,,,,,,,,,,
104402.0,0.02034,,,,,,,,,,
111602.0,0.02078,,,,,,,,,,
118802.0,0.02078,,,,,,,,,,
126003.0,0.02134,,,,,,,,,,
133203.0,0.02134,,,,,,,,,,
140403.0,0.02134,,,,,,,,,,
147603.0,0.02134,,,,,,,,,,
154803.0,0.02159,,,,,,,,,,
162004.0,0.02206,,,,,,,,,,
169204.0,0.02206,,,,,,,,,,
176404.0,0.02306,,,,,,,,,,
183604.0,0.02306,,,,,,,,,,
190804.0,0.02356,,,,,,,,,,
194404.0,0.02356,,,,,,,,,,
201605.0,0.02356,,,,,,,,,,
208805.0,0.02419,,,,,,,,,,
216005.0,0.02419,,,,,,,,,,
223205.0,0.02444,,,,,,,,,,
230405.0,0.02497,,,,,,,,,,
237606.0,0.02497,,,,,,,,,,
244806.0,0.02497,,,,,,,,,,
252006.0,0.02497,,,,,,,,,,
259206.0,0.02497,,,,,,,,,,
266406.0,0.02519,,,,,,,,,,
273607.0,0.02591,,,,,,,,,,
280807.0,0.02591,,,,,,,,,,
288007.0,0.02619,,,,,,,,,,
295207.0,0.02662,,,,,,,,,,
302407.0,0.02722,,,,,,,,,,
309608.0,0.02722,,,,,,,,,,
316808.0,0.02722,,,,,,,,,,
324008.0,0.02756,,,,,,,,,,
331208.0,0.02756,,,,,,,,,,
338408.0,0.02756,,,,,,,,,,
345608.0,0.02831,,,,,,,,,,
349209.0,0.02831,,,,,,,,,,
356409.0,0.02831,,,,,,,,,,
363609.0,0.02831,,,,,,,,,,
370809.0,0.02931,,,,,,,,,,
374409.0,0.02931,,,,,,,,,,
381610.0,0.02934,,,,,,,,,,
388810.0,0.03,,,,,,,,,,
396010.0,0.03,,,,,,,,,,
403210.0,0.03044,,,,,,,,,,
410410.0,0.03044,,,,,,,,,,
417610.0,0.03044,,,,,,,,,,
424811.0,0.03044,,,,,,,,,,
432011.0,0.03094,,,,,,,,,,
439211.0,0.03094,,,,,,,,,,
446411.0,0.03141,,,,,,,,,,
453611.0,0.03216,,,,,,,,,,
457212.0,0.03216,,,,,,,,,,
464412.0,0.03284,,,,,,,,,,
471612.0,0.03284,,,,,,,,,,
478812.0,0.03353,,,,,,,,,,
486012.0,0.03353,,,,,,,,,,
493212.0,0.03353,,,,,,,,,,
500413.0,0.03353,,,,,,,,,,
507613.0,0.03353,,,,,,,,,,
514813.0,0.03353,,,,,,,,,,
522013.0,0.03394,,,,,,,,,,
529214.0,0.03447,,,,,,,,,,
536414.0,0.03497,,,,,,,,,,
543614.0,0.03588,,,,,,,,,,
550814.0,0.03588,,,,,,,,,,
558014.0,0.03681,,,,,,,,,,
561614.0,0.03681,,,,,,,,,,
568815.0,0.03681,,,,,,,,,,
576015.0,0.03756,,,,,,,,,,
583215.0,0.03756,,,,,,,,,,
590415.0,0.03756,,,,,,,,,,
597615.0,0.03756,,,,,,,,,,
604816.0,0.03831,,,,,,,,,,
612016.0,0.03831,,,,,,,,,,
619216.0,0.03906,,,,,,,,,,
626416.0,0.03909,,,,,,,,,,
633616.0,0.03931,,,,,,,,,,
640817.0,0.03981,,,,,,,,,,
648017.0,0.04034,,,,,,,,,,
655217.0,0.04034,,,,,,,,,,
662417.0,0.04122,,,,,,,,,,
669617.0,0.04122,,,,,,,,,,
676817.0,0.04122,,,,,,,,,,
680418.0,0.04122,,,,,,,,,,
687618.0,0.04122,,,,,,,,,,
694818.0,0.04181,,,,,,,,,,
702018.0,0.04184,,,,,,,,,,
709218.0,0.04291,,,,,,,,,,
716419.0,0.04294,,,,,,,,,,
723619.0,0.04356,,,,,,,,,,
730819.0,0.04356,,,,,,,,,,
738019.0,0.04422,,,,,,,,,,
745219.0,0.04422,,,,,,,,,,
752420.0,0.04456,,,,,,,,,,
759620.0,0.04494,,,,,,,,,,
766820.0,0.04494,,,,,,,,,,
774020.0,0.04569,,,,,,,,,,
781220.0,0.04569,,,,,,,,,,
788421.0,0.04628,,,,,,,,,,
795621.0,0.04688,,,,,,,,,,
802821.0,0.04688,,,,,,,,,,
810021.0,0.04747,,,,,,,,,,
817221.0,0.0475,,,,,,,,,,
824422.0,0.04819,,,,,,,,,,
831622.0,0.04819,,,,,,,,,,
838822.0,0.04819,,,,,,,,,,
846022.0,0.04841,,,,,,,,,,
853222.0,0.04878,,,,,,,,,,
860423.0,0.04881,,,,,,,,,,
867623.0,0.049,,,,,,,,,,
874823.0,0.04994,,,,,,,,,,
882023.0,0.04994,,,,,,,,,,
885623.0,0.05075,,,,,,,,,,
892824.0,0.05078,,,,,,,,,,
900024.0,0.05078,,,,,,,,,,
907224.0,0.05169,,,,,,,,,,
914424.0,0.05169,,,,,,,,,,
921624.0,0.05206,,,,,,,,,,
928825.0,0.05206,,,,,,,,,,
936025.0,0.05209,,,,,,,,,,
943225.0,0.05241,,,,,,,,,,
950425.0,0.05309,,,,,,,,,,
957625.0,0.05309,,,,,,,,,,
964825.0,0.05375,,,,,,,,,,
968426.0,0.05375,,,,,,,,,,
975626.0,0.05434,,,,,,,,,,
982826.0,0.05434,,,,,,,,,,
990026.0,0.05503,,,,,,,,,,
997227.0,0.05597,,,,,,,,,,
1004427.0,0.05597,,,,,,,,,,
1011627.0,0.05597,,,,,,,,,,
1018827.0,0.05597,,,,,,,,,,
1026027.0,0.05666,,,,,,,,,,
1033228.0,0.05669,,,,,,,,,,
1040428.0,0.05756,,,,,,,,,,
1047628.0,0.05788,,,,,,,,,,
1054828.0,0.05831,,,,,,,,,,
1062028.0,0.05906,,,,,,,,,,
1069229.0,0.05906,,,,,,,,,,
1076429.0,0.05956,,,,,,,,,,
1083629.0,0.06038,,,,,,,,,,
1090829.0,0.06038,,,,,,,,,,
1094429.0,0.06087,,,,,,,,,,
1101630.0,0.06087,,,,,,,,,,
1108829.0,0.06087,,,,,,,,,,
1112430.0,0.06087,,,,,,,,,,
1119630.0,0.0615,,,,,,,,,,
1126830.0,0.0615,,,,,,,,,,
1134031.0,0.06234,,,,,,,,,,
1141231.0,0.06234,,,,,,,,,,
1148431.0,0.06309,,,,,,,,,,
1155631.0,0.06309,,,,,,,,,,
1162831.0,0.06359,,,,,,,,,,
1170031.0,0.06406,,,,,,,,,,
1177232.0,0.06475,,,,,,,,,,
1184432.0,0.06475,,,,,,,,,,
1191632.0,0.06534,,,,,,,,,,
1198832.0,0.06534,,,,,,,,,,
1206033.0,0.06534,,,,,,,,,,
1213233.0,0.06584,,,,,,,,,,
1220433.0,0.06609,,,,,,,,,,
1227633.0,0.06669,,,,,,,,,,
1234833.0,0.06716,,,,,,,,,,
1238433.0,0.06744,,,,,,,,,,
1245634.0,0.06819,,,,,,,,,,
1252834.0,0.06819,,,,,,,,,,
1260034.0,0.06894,,,,,,,,,,
1267234.0,0.06894,,,,,,,,,,
1274435.0,0.06894,,,,,,,,,,
1391244.0,0.07523,,,,,,,,,,
1396044.0,0.0756,,,,,,,,,,
1400844.0,0.0756,,,,,,,,,,
1405644.0,0.07657,,,,,,,,,,
1410444.0,0.07657,,,,,,,,,,
1414044.0,0.0766,,,,,,,,,,
1417645.0,0.07733,,,,,,,,,,
1422444.0,0.07733,,,,,,,,,,
1427245.0,0.07733,,,,,,,,,,
1432044.0,0.07787,,,,,,,,,,
1436845.0,0.07863,,,,,,,,,,
1441645.0,0.07863,,,,,,,,,,
1446445.0,0.07863,,,,,,,,,,
1451245.0,0.0786,,,,,,,,,,
1456045.0,0.0785,,,,,,,,,,
1460845.0,0.07847,,,,,,,,,,
1465645.0,0.0787,,,,,,,,,,
1470445.0,0.07873,,,,,,,,,,
1475245.0,0.07913,,,,,,,,,,
1480045.0,0.07977,,,,,,,,,,
1483645.0,0.07983,,,,,,,,,,
1486045.0,0.08057,,,,,,,,,,
1489646.0,0.08063,,,,,,,,,,
1493245.0,0.08157,,,,,,,,,,
1496846.0,0.0816,,,,,,,,,,
1501646.0,0.08157,,,,,,,,,,
1506446.0,0.08177,,,,,,,,,,
1511246.0,0.08247,,,,,,,,,,
1516046.0,0.08247,,,,,,,,,,
1520846.0,0.08277,,,,,,,,,,
1525646.0,0.0828,,,,,,,,,,
1530446.0,0.08353,,,,,,,,,,
1535246.0,0.08347,,,,,,,,,,
1540046.0,0.08337,,,,,,,,,,
1544846.0,0.08333,,,,,,,,,,
1549646.0,0.08333,,,,,,,,,,
1554446.0,0.08333,,,,,,,,,,
1559246.0,0.0835,,,,,,,,,,
1564046.0,0.08443,,,,,,,,,,
1568847.0,0.08453,,,,,,,,,,
1572446.0,0.08453,,,,,,,,,,
1576047.0,0.08563,,,,,,,,,,
1580847.0,0.08563,,,,,,,,,,
1585646.0,0.08563,,,,,,,,,,
1590447.0,0.08653,,,,,,,,,,
1595247.0,0.08653,,,,,,,,,,
1600047.0,0.08653,,,,,,,,,,
1604847.0,0.0876,,,,,,,,,,
1609647.0,0.0876,,,,,,,,,,
1614447.0,0.0876,,,,,,,,,,
1619247.0,0.0876,,,,,,,,,,
1624047.0,0.08747,,,,,,,,,,
1628847.0,0.08743,,,,,,,,,,
1633647.0,0.08743,,,,,,,,,,
1638447.0,0.08813,,,,,,,,,,
1643247.0,0.08813,,,,,,,,,,
1646847.0,0.08813,,,,,,,,,,
1650448.0,0.0887,,,,,,,,,,
1654047.0,0.08873,,,,,,,,,,
1657648.0,0.08953,,,,,,,,,,
1662447.0,0.0896,,,,,,,,,,
1666047.0,0.09003,,,,,,,,,,
1669648.0,0.09027,,,,,,,,,,
1674448.0,0.09027,,,,,,,,,,
1679248.0,0.09113,,,,,,,,,,
1684048.0,0.09113,,,,,,,,,,
1688848.0,0.09113,,,,,,,,,,
1693648.0,0.09207,,,,,,,,,,
1698448.0,0.09207,,,,,,,,,,
1703248.0,0.09207,,,,,,,,,,
1708048.0,0.09207,,,,,,,,,,
1712848.0,0.09287,,,,,,,,,,
1717648.0,0.09287,,,,,,,,,,
1722448.0,0.0928,,,,,,,,,,
1727249.0,0.09357,,,,,,,,,,
1732049.0,0.0936,,,,,,,,,,
1735648.0,0.0936,,,,,,,,,,
1739249.0,0.0942,,,,,,,,,,
1744049.0,0.0942,,,,,,,,,,
1748849.0,0.09503,,,,,,,,,,
1753649.0,0.09503,,,,,,,,,,
1758449.0,0.09587,,,,,,,,,,
1763249.0,0.09587,,,,,,,,,,
1768049.0,0.09587,,,,,,,,,,
1772849.0,0.09587,,,,,,,,,,
1777649.0,0.0964,,,,,,,,,,
1782449.0,0.0973,,,,,,,,,,
1787249.0,0.0973,,,,,,,,,,
1790849.0,0.09733,,,,,,,,,,
1794450.0,0.09733,,,,,,,,,,
1798049.0,0.09733,,,,,,,,,,
1800449.0,0.09733,,,,,,,,,,
1802849.0,0.09733,,,,,,,,,,
1806450.0,0.09733,,,,,,,,,,
1810049.0,0.09723,,,,,,,,,,
1813650.0,0.09783,,,,,,,,,,
1818450.0,0.09783,,,,,,,,,,
1823250.0,0.09797,,,,,,,,,,
1828050.0,0.0984,,,,,,,,,,
1832850.0,0.09933,,,,,,,,,,
1837650.0,0.09937,,,,,,,,,,
1842450.0,0.09937,,,,,,,,,,
1847250.0,0.1004,,,,,,,,,,
1850850.0,0.1004,,,,,,,,,,
1854451.0,0.10043,,,,,,,,,,
1858050.0,0.10123,,,,,,,,,,
1860450.0,0.10127,,,,,,,,,,
1864051.0,0.10127,,,,,,,,,,
1868851.0,0.10127,,,,,,,,,,
1873651.0,0.10167,,,,,,,,,,
1878451.0,0.10167,,,,,,,,,,
1883251.0,0.1016,,,,,,,,,,
1888051.0,0.10177,,,,,,,,,,
1892851.0,0.10177,,,,,,,,,,
1897651.0,0.10177,,,,,,,,,,
1902451.0,0.10233,,,,,,,,,,
1907251.0,0.1024,,,,,,,,,,
1912051.0,0.1033,,,,,,,,,,
1916851.0,0.10337,,,,,,,,,,
1921651.0,0.1044,,,,,,,,,,
1926451.0,0.1044,,,,,,,,,,
1930051.0,0.1044,,,,,,,,,,
1933652.0,0.1044,,,,,,,,,,
1938452.0,0.1048,,,,,,,,,,
1943252.0,0.10543,,,,,,,,,,
1948052.0,0.10543,,,,,,,,,,
1952852.0,0.10607,,,,,,,,,,
1957652.0,0.10607,,,,,,,,,,
