time,strain,stress,temperature,type,medium,strain_rate,youngs,poissons
2.28,1.45E-05,4.508414061,25,tensile,air,0.001,211000,0.3
3.249,7.60E-05,49.45800635,,,,,,
3.947,0.000137296,77.85021381,,,,,,
4.643,0.000201782,104.025015,,,,,,
5.405,0.000309033,132.4505952,,,,,,
6.078,0.000450619,157.2771083,,,,,,
6.792,0.000587465,182.3535643,,,,,,
7.466,0.000702958,206.3245124,,,,,,
8.227,0.000869661,232.2151924,,,,,,
8.915,0.001101547,255.1002988,,,,,,
9.636,0.001326703,278.3253356,,,,,,
10.324,0.001552019,299.4918469,,,,,,
11.084,0.001830538,322.4477708,,,,,,
11.782,0.002055215,341.5652285,,,,,,
12.49,0.002323964,360.8047159,,,,,,
13.177,0.002587453,378.1720902,,,,,,
13.94,0.002956963,394.8863423,,,,,,
14.645,0.003325924,409.5479501,,,,,,
15.349,0.003782284,422.3145404,,,,,,
16.051,0.004189856,433.0621987,,,,,,
16.868,0.00478027,443.8162605,,,,,,
17.578,0.005281492,452.3654385,,,,,,
18.3,0.005817975,459.2712406,,,,,,
19.01,0.00636404,465.7255126,,,,,,
19.779,0.007045266,472.2323064,,,,,,
20.504,0.007627448,476.9832527,,,,,,
21.219,0.008261786,481.3931598,,,,,,
21.938,0.008850135,485.8335756,,,,,,
22.691,0.009543464,489.5631358,,,,,,
23.386,0.010148238,493.2066497,,,,,,
24.074,0.010767972,496.1330143,,,,,,
24.776,0.011393206,498.7854712,,,,,,
25.537,0.012050286,502.0402051,,,,,,
26.225,0.012679365,504.4797037,,,,,,
26.923,0.013353665,506.8869059,,,,,,
27.611,0.013946368,508.8917308,,,,,,
28.373,0.014655372,511.7438574,,,,,,
29.06,0.01529363,513.6806912,,,,,,
29.748,0.015892291,515.3070893,,,,,,
30.459,0.016479873,517.4932133,,,,,,
31.227,0.017202668,519.6612145,,,,,,
31.925,0.017844166,521.3268702,,,,,,
32.613,0.01844156,522.9957647,,,,,,
33.301,0.019122254,524.9344597,,,,,,
34.051,0.019822036,525.9376384,,,,,,
34.739,0.020453589,528.0547547,,,,,,
35.444,0.02110016,529.4327774,,,,,,
36.132,0.021785526,531.0673113,,,,,,
36.892,0.022518885,532.5592455,,,,,,
37.581,0.02315847,534.2146615,,,,,,
38.293,0.023888297,535.7843617,,,,,,
38.981,0.02453749,536.9355956,,,,,,
39.741,0.025263368,538.6989567,,,,,,
