time,strain,stress,temperature,type,medium,strain_rate,youngs,poissons
2.123,7.34E-05,3.865091581,25,tensile,air,0.001,211000,0.3
3.584,2.22E-05,70.03786424,,,,,,
4.471,0.000112192,104.1296623,,,,,,
5.431,0.000187236,138.8940604,,,,,,
6.319,0.000332398,170.6728263,,,,,,
7.222,0.000493111,201.7750302,,,,,,
8.184,0.000756286,232.485755,,,,,,
9.096,0.001013031,261.4920108,,,,,,
10.056,0.00131095,290.771587,,,,,,
10.936,0.001593802,316.670345,,,,,,
11.848,0.00195073,341.3754659,,,,,,
12.807,0.002364187,365.6629621,,,,,,
13.704,0.002766293,386.4209998,,,,,,
14.583,0.003246658,403.675981,,,,,,
15.552,0.003814963,421.1534409,,,,,,
16.44,0.004409613,433.3396029,,,,,,
17.398,0.005081122,446.2273213,,,,,,
18.288,0.005744649,455.3799156,,,,,,
19.174,0.006440627,463.0260201,,,,,,
20.133,0.007212207,471.4129246,,,,,,
21.029,0.007949336,477.1857406,,,,,,
21.923,0.008683809,483.1082088,,,,,,
22.894,0.009604325,488.7970318,,,,,,
23.797,0.010332857,492.9151301,,,,,,
24.767,0.011189625,497.3197637,,,,,,
25.653,0.011973673,500.9182377,,,,,,
26.543,0.01279315,504.9257726,,,,,,
27.477,0.013626292,508.2863029,,,,,,
28.4,0.014426896,511.0584328,,,,,,
29.367,0.015312854,514.0003548,,,,,,
30.263,0.016108672,516.9381509,,,,,,
31.162,0.016908895,519.6033593,,,,,,
32.122,0.017762358,521.9420473,,,,,,
33.007,0.018559899,524.6771756,,,,,,
33.893,0.019369672,526.8685787,,,,,,
34.856,0.020312204,529.1261282,,,,,,
35.731,0.021071559,531.4832745,,,,,,
36.699,0.022025121,533.1618253,,,,,,
37.594,0.022865207,535.893129,,,,,,
38.487,0.023775729,537.4323573,,,,,,
39.445,0.024714036,539.7096396,,,,,,
40.342,0.025561229,542.0144481,,,,,,
41.242,0.026425696,543.4809003,,,,,,
42.18,0.027317563,545.7056641,,,,,,
43.11,0.028261947,547.5543881,,,,,,
44.1,0.029205242,549.4149935,,,,,,
44.995,0.03010543,551.1861753,,,,,,
45.876,0.030918514,552.8202667,,,,,,
46.86,0.031847585,555.2425178,,,,,,
47.751,0.032701772,556.9542734,,,,,,
48.7,0.033580498,557.469055,,,,,,
49.585,0.034419238,559.8481363,,,,,,
50.471,0.035235877,561.1102291,,,,,,
51.43,0.036080145,563.2115595,,,,,,
52.324,0.036979803,564.6848803,,,,,,
53.22,0.037790947,566.1614962,,,,,,
54.186,0.038719829,568.3100732,,,,,,
55.072,0.039568099,570.0417511,,,,,,
56.031,0.040470243,571.2525158,,,,,,
56.908,0.041371464,572.5166278,,,,,,
57.805,0.042169544,574.4613914,,,,,,
58.753,0.043099238,576.3870513,,,,,,
59.641,0.04387767,577.06375,,,,,,
60.528,0.044720848,578.8423008,,,,,,
61.491,0.045653333,580.5234135,,,,,,
62.365,0.046454055,582.1373704,,,,,,
63.321,0.047345702,583.6176122,,,,,,
64.197,0.048162377,584.4365608,,,,,,
65.088,0.048993863,586.6207779,,,,,,
66.036,0.049885953,587.9263827,,,,,,
66.947,0.05068545,589.490577,,,,,,
67.845,0.051523349,591.2635595,,,,,,
68.794,0.05242148,592.2124691,,,,,,
69.679,0.053177352,593.6565556,,,,,,
70.639,0.054101375,595.3869943,,,,,,
71.524,0.054858933,596.6881367,,,,,,
72.409,0.055656489,598.1620887,,,,,,
73.359,0.056550111,599.109241,,,,,,
74.245,0.057344167,600.6931911,,,,,,
75.183,0.058225434,602.1834145,,,,,,
76.062,0.058942515,603.2131815,,,,,,
76.947,0.059732852,604.8931143,,,,,,
77.897,0.060574502,606.120246,,,,,,
78.772,0.061362486,607.8092996,,,,,,
79.647,0.062162055,608.9345938,,,,,,
80.585,0.06303428,610.7241615,,,,,,
81.46,0.063869758,612.1283949,,,,,,
82.397,0.064757818,612.9987651,,,,,,
83.273,0.065545924,614.5717454,,,,,,
84.165,0.06642669,615.738411,,,,,,
85.103,0.067298253,617.3822397,,,,,,
85.989,0.068168949,618.9854009,,,,,,
86.866,0.069015882,619.6448284,,,,,,
87.815,0.069883483,621.3326524,,,,,,
88.701,0.070768269,622.1533592,,,,,,
89.644,0.071591679,623.8586692,,,,,,
90.54,0.072455326,625.6401445,,,,,,
91.425,0.07329268,626.5614832,,,,,,
92.385,0.074160805,628.0887545,,,,,,
93.282,0.075030034,629.4735227,,,,,,
94.242,0.075857605,630.8404502,,,,,,
95.137,0.076644118,632.0181273,,,,,,
96.015,0.077438023,632.8302916,,,,,,
96.984,0.078295383,634.6888101,,,,,,
97.832,0.079084589,635.6790652,,,,,,
98.707,0.079863411,637.1785035,,,,,,
99.66,0.080720639,638.9412225,,,,,,
100.546,0.08155306,639.7702927,,,,,,
101.505,0.082458756,641.1677167,,,,,,
102.392,0.083325209,642.3840974,,,,,,
103.288,0.084112458,643.2263248,,,,,,
104.269,0.085046353,645.2721193,,,,,,
105.166,0.085824006,646.5997992,,,,,,
106.061,0.086646642,647.7269881,,,,,,
107,0.087512925,648.7180279,,,,,,
107.899,0.088320525,650.5701221,,,,,,
108.869,0.089195314,651.0842698,,,,,,
109.755,0.089965443,652.5974689,,,,,,
110.652,0.090774577,654.3169506,,,,,,
111.608,0.091628716,655.7705727,,,,,,
112.497,0.092410818,656.5985028,,,,,,
113.375,0.093220501,658.1384699,,,,,,
114.34,0.094087066,658.818463,,,,,,
115.238,0.094846953,660.7375943,,,,,,
116.189,0.095745801,661.8824762,,,,,,
117.071,0.096468036,663.4886172,,,,,,
117.986,0.097276563,664.9217253,,,,,,
118.944,0.098092832,665.9027509,,,,,,
119.829,0.098861496,667.1917932,,,,,,
120.771,0.099681074,667.9251328,,,,,,
121.651,0.100396699,669.7430853,,,,,,
122.526,0.101130664,670.5383123,,,,,,
123.503,0.102014218,672.2179912,,,,,,
124.383,0.102739962,673.4482033,,,,,,
125.27,0.103554831,674.2692172,,,,,,
126.215,0.104351132,676.0701994,,,,,,
127.098,0.105204119,676.979051,,,,,,
128.055,0.106092075,678.227693,,,,,,
128.933,0.106848801,679.8481144,,,,,,
129.825,0.107700909,680.7409065,,,,,,
130.763,0.108577476,682.4992244,,,,,,
131.662,0.109386932,683.3631302,,,,,,
132.553,0.110187287,684.6950045,,,,,,
133.509,0.111074138,685.7673935,,,,,,
134.405,0.111870032,687.2744332,,,,,,
135.354,0.112701144,689.0525422,,,,,,
136.255,0.113547937,689.9707984,,,,,,
137.151,0.114355198,690.7381093,,,,,,
138.088,0.11514251,692.5845578,,,,,,
138.992,0.11594689,693.4427394,,,,,,
139.942,0.116743339,694.7099694,,,,,,
140.831,0.117536172,696.1457838,,,,,,
141.713,0.118299125,696.952034,,,,,,
142.676,0.119119792,699.0815048,,,,,,
143.581,0.119890836,699.3141514,,,,,,
144.478,0.120677658,700.9536745,,,,,,
145.426,0.121550131,702.3291789,,,,,,
146.312,0.122297848,703.8298814,,,,,,
147.262,0.123172994,704.9760757,,,,,,
148.157,0.123966822,706.0766016,,,,,,
149.053,0.124720629,707.1312846,,,,,,
150.003,0.125587252,708.6458976,,,,,,
150.895,0.126374646,710.00768,,,,,,
151.8,0.127158421,711.5425379,,,,,,
152.759,0.127959131,712.0724078,,,,,,
153.655,0.128745018,713.416986,,,,,,
154.614,0.129577958,714.3736039,,,,,,
