time,strain,stress,temperature,type,medium,strain_rate,youngs,poissons
1.767,9.11E-05,3.34170341,25,tensile,air,0.001,211000,0.3
2.599,0.000259325,43.71857098,,,,,,
3.506,0.000431593,79.28089673,,,,,,
4.403,0.000634595,113.2705655,,,,,,
5.278,0.000855539,146.4441724,,,,,,
6.092,0.001094029,174.0661433,,,,,,
6.968,0.001359179,205.0078013,,,,,,
7.851,0.001660162,234.1992906,,,,,,
8.726,0.001968861,260.6503453,,,,,,
9.585,0.002327296,286.9533134,,,,,,
10.405,0.002652261,310.2442029,,,,,,
11.302,0.00306532,333.7837037,,,,,,
12.189,0.003523459,355.0111703,,,,,,
13.014,0.003970516,372.0375942,,,,,,
13.899,0.004530712,387.9916019,,,,,,
14.784,0.00519543,400.8554397,,,,,,
15.672,0.005828087,410.6285975,,,,,,
16.495,0.006489985,418.8654697,,,,,,
17.391,0.007270338,425.7091895,,,,,,
18.277,0.008018453,431.757025,,,,,,
19.183,0.008795627,436.3091591,,,,,,
20.004,0.009572026,440.8247751,,,,,,
20.912,0.010354311,445.0577568,,,,,,
21.808,0.011149427,448.5866621,,,,,,
22.704,0.011943583,452.0855242,,,,,,
23.626,0.012791485,455.1349924,,,,,,
24.45,0.013556389,457.8032857,,,,,,
25.32,0.014321823,460.3630798,,,,,,
26.216,0.015173537,463.1150342,,,,,,
27.113,0.015899377,465.3450827,,,,,,
27.962,0.016659849,468.0848664,,,,,,
28.859,0.017487515,469.5880356,,,,,,
29.796,0.018333771,472.5561051,,,,,,
30.704,0.019201975,474.2576517,,,,,,
31.563,0.020013485,476.5244096,,,,,,
32.459,0.020875877,478.4657629,,,,,,
33.376,0.021784058,480.3490798,,,,,,
34.291,0.022676418,482.9932032,,,,,,
35.139,0.023503328,484.3386994,,,,,,
36.05,0.024363456,486.2507385,,,,,,
36.944,0.025259089,488.6554585,,,,,,
37.85,0.026131624,489.8149158,,,,,,
38.704,0.026988697,491.7782127,,,,,,
39.621,0.027897034,493.3152533,,,,,,
40.534,0.028743615,495.8293414,,,,,,
41.45,0.029649481,497.4194754,,,,,,
42.292,0.030474734,498.5561022,,,,,,
43.21,0.0312871,500.3122827,,,,,,
44.116,0.032189246,502.040529,,,,,,
45.041,0.033002557,503.726019,,,,,,
45.958,0.033905358,505.2830363,,,,,,
46.797,0.034678052,506.6616157,,,,,,
47.704,0.035535389,508.2296389,,,,,,
48.61,0.03643159,510.0867042,,,,,,
49.527,0.037241737,511.7671194,,,,,,
50.389,0.038097812,513.2893009,,,,,,
51.302,0.038963734,514.2218076,,,,,,
52.208,0.039849466,516.4479878,,,,,,
53.126,0.040793917,517.839033,,,,,,
53.961,0.041526958,518.713606,,,,,,
54.883,0.042418734,520.5336859,,,,,,
55.816,0.043315379,521.9822248,,,,,,
56.745,0.044167454,523.4503809,,,,,,
57.589,0.044972875,525.0625812,,,,,,
58.505,0.045870048,526.3569311,,,,,,
59.421,0.046679438,527.6695554,,,,,,
60.339,0.047535692,528.7440614,,,,,,
61.183,0.04833576,530.5139498,,,,,,
62.108,0.049227726,531.939759,,,,,,
63.006,0.050029832,533.5199057,,,,,,
63.924,0.050874782,535.0835026,,,,,,
64.758,0.051682032,536.2966276,,,,,,
65.681,0.05249162,537.2841996,,,,,,
66.572,0.053292725,538.7782641,,,,,,
67.45,0.054096093,540.1067007,,,,,,
68.331,0.054893621,541.6813174,,,,,,
69.184,0.055694748,543.0681578,,,,,,
70.116,0.056500844,544.0762329,,,,,,
71.033,0.057337442,545.8768949,,,,,,
71.921,0.058144935,546.7293538,,,,,,
72.757,0.058858439,548.0304487,,,,,,
73.674,0.059660537,549.1830687,,,,,,
74.589,0.060502848,550.447699,,,,,,
75.498,0.061342451,551.8306359,,,,,,
76.34,0.062102718,552.7648272,,,,,,
77.248,0.062936723,554.4002803,,,,,,
78.15,0.063812062,556.1277558,,,,,,
79.04,0.064653618,557.2386975,,,,,,
79.878,0.065487701,558.7498197,,,,,,
80.807,0.066377385,559.4478984,,,,,,
81.745,0.06724969,561.1841106,,,,,,
82.652,0.068134359,562.088334,,,,,,
83.511,0.068955806,564.1839865,,,,,,
84.443,0.069839623,565.1077988,,,,,,
85.371,0.070715535,566.4569422,,,,,,
