time,strain,stress,temperature,type,title,medium,strain_rate,youngs,poissons
89.3000016,-0.000344009,15.09480636,650,tensile,D8,Air,0.000110002,170000,0.3
89.4999996,-0.000344009,15.284741,,,,,,,
89.7000012,-0.000344009,15.47467565,,,,,,,
90,-0.000343129,15.68461723,,,,,,,
90.2000016,-0.000342549,15.88455783,,,,,,,
90.3999996,-0.000342549,16.09448591,,,,,,,
90.6000012,-0.000342549,16.29441741,,,,,,,
90.7999992,-0.000341678,16.48436669,,,,,,,
91.1000016,-0.000341678,16.7242847,,,,,,,
91.2999996,-0.000341098,16.89423642,,,,,,,
91.5000012,-0.000340228,17.12417289,,,,,,,
91.6999992,-0.000340228,17.34409805,,,,,,,
91.9000008,-0.000339358,17.54404529,,,,,,,
92.1999996,-0.000337907,17.75399978,,,,,,,
92.4000012,-0.000337317,17.97393607,,,,,,,
92.5999992,-0.000335866,18.17389497,,,,,,,
92.8000008,-0.000335866,18.43380766,,,,,,,
92.9999988,-0.000334996,18.65375002,,,,,,,
93.3000012,-0.000334996,18.89366963,,,,,,,
93.4999992,-0.000334416,19.09361372,,,,,,,
93.7000008,-0.000333546,19.34354697,,,,,,,
93.8999988,-0.000332965,19.58347829,,,,,,,
94.1000004,-0.000332095,19.83341233,,,,,,,
94.3999992,-0.000331505,20.05335111,,,,,,,
94.6000008,-0.000330635,20.29328923,,,,,,,
94.7999988,-0.000329764,20.51323435,,,,,,,
95.0000004,-0.000329184,20.77316068,,,,,,,
95.1999984,-0.000328314,20.99310654,,,,,,,
95.5000008,-0.000326283,21.27305783,,,,,,,
95.6999988,-0.000325403,21.51299847,,,,,,,
95.9000004,-0.000323372,21.75296456,,,,,,,
96.0999984,-0.000322502,22.01289965,,,,,,,
96.3,-0.000321052,22.25285454,,,,,,,
96.5999988,-0.000320181,22.49279708,,,,,,,
96.8000004,-0.000318721,22.7727407,,,,,,,
96.9999984,-0.00031727,23.02269442,,,,,,,
97.2,-0.00031582,23.28264572,,,,,,,
97.4000016,-0.000314369,23.59258205,,,,,,,
97.7000004,-0.000312909,23.86253203,,,,,,,
97.8999984,-0.000311458,24.13248256,,,,,,,
98.1,-0.000310008,24.40243388,,,,,,,
98.3000016,-0.000307677,24.68240462,,,,,,,
98.4999996,-0.000306227,24.97235162,,,,,,,
98.7999984,-0.000304776,25.24230557,,,,,,,
99,-0.000302456,25.5122825,,,,,,,
99.2000016,-0.000300415,25.82224144,,,,,,,
99.3999996,-0.000298965,26.07220417,,,,,,,
99.6000012,-0.000296644,26.36217866,,,,,,,
99.9,-0.000293733,26.66216729,,,,,,,
100.1000016,-0.000291412,26.96214175,,,,,,,
100.2999996,-0.000290042,27.2420975,,,,,,,
100.5000012,-0.000287081,27.53209492,,,,,,,
100.6999992,-0.000284871,27.81207603,,,,,,,
101.0000016,-0.00028266,28.10205555,,,,,,,
101.1999996,-0.00028118,28.41201,,,,,,,
101.4000012,-0.000278219,28.68201902,,,,,,,
101.5999992,-0.000276008,29.01199135,,,,,,,
101.9000016,-0.000273797,29.33196788,,,,,,,
102.0999996,-0.000270837,29.63197349,,,,,,,
102.3000012,-0.000268626,29.90196647,,,,,,,
102.4999992,-0.000266415,30.21195,,,,,,,
102.7000008,-0.000263455,30.53195515,,,,,,,
102.9999996,-0.000261244,30.81194951,,,,,,,
103.2000012,-0.000259044,31.13193443,,,,,,,
103.3999992,-0.000256833,31.40193391,,,,,,,
103.6000008,-0.000253862,31.75193836,,,,,,,
103.8999996,-0.000251662,32.01194281,,,,,,,
104.1000012,-0.000249451,32.30194124,,,,,,,
104.2999992,-0.00024649,32.57197033,,,,,,,
