time,strain,stress,temperature,type,title,medium,strain_rate,youngs,poissons,,
96.9000012,-6.71E-05,4.924669651,850,tensile,D9,Air,9.67E-05,153000,0.3,,
97.0999992,-6.49E-05,4.987676194,,,,,,,,,
97.3000008,-6.35E-05,5.018681449,,,,,,,,,
97.5999996,-6.21E-05,5.081684667,,,,,,,,,
97.8000012,-6.06E-05,5.128689177,,,,,,,,,
97.9999992,-5.92E-05,5.191692878,,,,,,,,,
98.2000008,-5.77E-05,5.254696765,,,,,,,,,
98.3999988,-5.63E-05,5.302701674,,,,,,,,,
98.7000012,-5.41E-05,5.364709764,,,,,,,,,
98.8999992,-5.27E-05,5.412715006,,,,,,,,,
99.1000008,-5.12E-05,5.475719623,,,,,,,,,
99.2999988,-4.98E-05,5.538724263,,,,,,,,,
99.6000012,-4.76E-05,5.585734134,,,,,,,,,
99.7999992,-4.62E-05,5.663738465,,,,,,,,,
100.0000008,-4.54E-05,5.71174047,,,,,,,,,
100.1999988,-4.33E-05,5.77475007,,,,,,,,,
100.4000004,-4.26E-05,5.836751531,,,,,,,,,
100.6999992,-4.04E-05,5.9157611,,,,,,,,,
100.9000008,-3.82E-05,5.94777265,,,,,,,,,
101.0999988,-3.68E-05,6.025778394,,,,,,,,,
101.3000004,-3.54E-05,6.057785819,,,,,,,,,
101.5999992,-3.32E-05,6.151795944,,,,,,,,,
101.8000008,-3.17E-05,6.198803188,,,,,,,,,
101.9999988,-2.96E-05,6.261814883,,,,,,,,,
102.2000004,-2.74E-05,6.32482667,,,,,,,,,
102.3999984,-2.60E-05,6.387834193,,,,,,,,,
102.7000008,-2.38E-05,6.450846486,,,,,,,,,
102.8999988,-2.09E-05,6.513863851,,,,,,,,,
103.1000004,-1.87E-05,6.576876727,,,,,,,,,
103.2999984,-1.58E-05,6.639894783,,,,,,,,,
103.6000008,-1.37E-05,6.702908249,,,,,,,,,
103.7999988,-1.22E-05,6.765917191,,,,,,,,,
104.0000004,-1.08E-05,6.82892611,,,,,,,,,
104.1999984,-9.37E-06,6.875935565,,,,,,,,,
104.4,-7.21E-06,6.938949949,,,,,,,,,
104.6999988,-5.77E-06,7.001959633,,,,,,,,,
104.9000004,-3.61E-06,7.080974459,,,,,,,,,
105.0999984,-2.87E-06,7.142979514,,,,,,,,,
105.3,-7.10E-07,7.221994872,,,,,,,,,
105.5999988,0,7.301,,,,,,,,,
105.8000004,2.16E-06,7.364015892,,,,,,,,,
105.9999984,3.61E-06,7.427026789,,,,,,,,,
106.2,5.03E-06,7.50503772,,,,,,,,,
106.4000016,7.21E-06,7.568054588,,,,,,,,,
106.7000004,9.37E-06,7.63107151,,,,,,,,,
106.8999984,1.08E-05,7.694083249,,,,,,,,,
107.1,1.30E-05,7.773100878,,,,,,,,,
107.3000016,1.44E-05,7.852113273,,,,,,,,,
107.6000004,1.66E-05,7.899130997,,,,,,,,,
107.7999984,1.80E-05,7.962143579,,,,,,,,,
108,2.02E-05,8.025162033,,,,,,,,,
108.2000016,2.16E-05,8.103175341,,,,,,,,,
108.3999996,2.38E-05,8.182194707,,,,,,,,,
108.6999984,2.52E-05,8.276208936,,,,,,,,,
