time,strain,temperature,stress,type,title,youngs,poissons
0.0,0.0,1000.0,13.0,creep,G51,139000.0,0.31
0.0,0.0,,,,,,
0.0,-1e-06,,,,,,
0.0,-1e-06,,,,,,
0.0,-1e-06,,,,,,
0.0,-1e-06,,,,,,
0.0,-1e-06,,,,,,
0.0,-1e-06,,,,,,
0.0,-2e-06,,,,,,
36.0,-5.999999999999999e-06,,,,,,
36.0,-5e-06,,,,,,
36.0,-7e-06,,,,,,
36.0,-5e-06,,,,,,
36.0,-7e-06,,,,,,
36.0,-7e-06,,,,,,
36.0,-5.999999999999999e-06,,,,,,
36.0,-7e-06,,,,,,
36.0,-5.999999999999999e-06,,,,,,
36.0,-7e-06,,,,,,
36.0,-5e-06,,,,,,
36.0,-4e-06,,,,,,
36.0,-2.9999999999999997e-06,,,,,,
36.0,-5e-06,,,,,,
36.0,-5e-06,,,,,,
72.0,-5.999999999999999e-06,,,,,,
72.0,-1.3e-05,,,,,,
72.0,-1.3e-05,,,,,,
72.0,-1.1999999999999999e-05,,,,,,
72.0,-2.5e-05,,,,,,
72.0,-1.1000000000000001e-05,,,,,,
72.0,-1.1000000000000001e-05,,,,,,
72.0,-1.1000000000000001e-05,,,,,,
72.0,-1.1000000000000001e-05,,,,,,
72.0,-1.1999999999999999e-05,,,,,,
72.0,-1.3e-05,,,,,,
72.0,-1.3e-05,,,,,,
72.0,-1.3e-05,,,,,,
72.0,-1.3e-05,,,,,,
72.0,-1.3e-05,,,,,,
108.0,-1.1999999999999999e-05,,,,,,
108.0,-1.1999999999999999e-05,,,,,,
108.0,-1.1999999999999999e-05,,,,,,
108.0,-1.1000000000000001e-05,,,,,,
108.0,-1.1000000000000001e-05,,,,,,
108.0,-1.1000000000000001e-05,,,,,,
108.0,-1.1000000000000001e-05,,,,,,
108.0,-1.1999999999999999e-05,,,,,,
108.0,-1.1000000000000001e-05,,,,,,
108.0,-1.1999999999999999e-05,,,,,,
108.0,-1.1999999999999999e-05,,,,,,
108.0,-1.1999999999999999e-05,,,,,,
108.0,-1.1999999999999999e-05,,,,,,
