time,strain,temperature,stress,type,state,form,process,medium,title,youngs,poissons
0.0,0.0,750.0,137.0,creep,Ruptured,Plate,Base,Air,AirBase_750_137_a,161000.0,0.3
0.0,0.0,,,,,,,,,,
111.6,3e-05,,,,,,,,,,
126.0,0.00019,,,,,,,,,,
144.0,0.00019,,,,,,,,,,
158.4,0.00038,,,,,,,,,,
172.8,0.0004,,,,,,,,,,
190.8,0.00036,,,,,,,,,,
205.2,0.00038,,,,,,,,,,
223.2,0.00035,,,,,,,,,,
237.6,0.00044,,,,,,,,,,
252.0,0.00042,,,,,,,,,,
270.0,0.00057,,,,,,,,,,
284.4,0.00054,,,,,,,,,,
298.8,0.00049,,,,,,,,,,
316.8,0.00054,,,,,,,,,,
331.2,0.00062,,,,,,,,,,
349.2,0.00065,,,,,,,,,,
363.6,0.00075,,,,,,,,,,
378.0,0.00048,,,,,,,,,,
396.0,0.0007,,,,,,,,,,
410.4,0.00067,,,,,,,,,,
428.4,0.00088,,,,,,,,,,
442.8,0.0008,,,,,,,,,,
457.2,0.0008,,,,,,,,,,
475.2,0.00078,,,,,,,,,,
489.6,0.00082,,,,,,,,,,
507.6,0.0008,,,,,,,,,,
522.0,0.00069,,,,,,,,,,
536.4,0.00089,,,,,,,,,,
554.4,0.00078,,,,,,,,,,
568.8,0.00092,,,,,,,,,,
586.8,0.00097,,,,,,,,,,
601.2,0.0009,,,,,,,,,,
615.6,0.00082,,,,,,,,,,
633.6,0.00084,,,,,,,,,,
648.0,0.00092,,,,,,,,,,
666.0,0.00092,,,,,,,,,,
680.4,0.00089,,,,,,,,,,
694.8,0.00084,,,,,,,,,,
712.8,0.00098,,,,,,,,,,
727.2,0.00094,,,,,,,,,,
745.2,0.00079,,,,,,,,,,
759.6,0.0009,,,,,,,,,,
774.0,0.0009,,,,,,,,,,
792.0,0.00094,,,,,,,,,,
806.4,0.00098,,,,,,,,,,
824.4,0.00092,,,,,,,,,,
838.8,0.00101,,,,,,,,,,
853.2,0.00093,,,,,,,,,,
871.2,0.00088,,,,,,,,,,
885.6,0.00087,,,,,,,,,,
900.0,0.00104,,,,,,,,,,
900.0,0.00103,,,,,,,,,,
8100.0,0.00205,,,,,,,,,,
15300.0,0.00285,,,,,,,,,,
22500.0,0.00309,,,,,,,,,,
28800.0,0.00339,,,,,,,,,,
36000.0,0.00465,,,,,,,,,,
43200.0,0.00501,,,,,,,,,,
50400.0,0.00531,,,,,,,,,,
52722.0,0.00563,,,,,,,,,,
59922.0,0.00582,,,,,,,,,,
67122.0,0.00588,,,,,,,,,,
74322.0,0.00621,,,,,,,,,,
81522.0,0.00634,,,,,,,,,,
88722.0,0.00651,,,,,,,,,,
95922.0,0.00682,,,,,,,,,,
103122.0,0.00691,,,,,,,,,,
110322.0,0.00717,,,,,,,,,,
117522.0,0.00736,,,,,,,,,,
124722.0,0.00742,,,,,,,,,,
131922.0,0.00771,,,,,,,,,,
139122.0,0.00771,,,,,,,,,,
146322.0,0.00796,,,,,,,,,,
153522.0,0.00819,,,,,,,,,,
160722.0,0.00818,,,,,,,,,,
167922.0,0.00849,,,,,,,,,,
175122.0,0.00867,,,,,,,,,,
