time,strain,temperature,stress,type,state,form,process,medium,title,youngs,poissons
0.0,0.0,850.0,63.0,creep,Ruptured,Plate,Base,Air,AirBase_850_63_b,153000.0,0.3
0.0,0.0,,,,,,,,,,
129.6,0.00291,,,,,,,,,,
144.0,0.00302,,,,,,,,,,
158.4,0.0032,,,,,,,,,,
176.4,0.00345,,,,,,,,,,
190.8,0.00344,,,,,,,,,,
205.2,0.00357,,,,,,,,,,
223.2,0.00357,,,,,,,,,,
237.6,0.00367,,,,,,,,,,
255.6,0.00361,,,,,,,,,,
270.0,0.0037,,,,,,,,,,
288.0,0.00383,,,,,,,,,,
302.4,0.00372,,,,,,,,,,
320.4,0.00374,,,,,,,,,,
334.8,0.00381,,,,,,,,,,
349.2,0.00359,,,,,,,,,,
367.2,0.00385,,,,,,,,,,
381.6,0.0039,,,,,,,,,,
396.0,0.00377,,,,,,,,,,
414.0,0.00398,,,,,,,,,,
428.4,0.00393,,,,,,,,,,
446.4,0.00397,,,,,,,,,,
460.8,0.00389,,,,,,,,,,
478.8,0.00395,,,,,,,,,,
493.2,0.0041,,,,,,,,,,
507.6,0.00411,,,,,,,,,,
525.6,0.00403,,,,,,,,,,
540.0,0.00411,,,,,,,,,,
558.0,0.0042,,,,,,,,,,
572.4,0.00413,,,,,,,,,,
590.4,0.00426,,,,,,,,,,
604.8,0.00404,,,,,,,,,,
619.2,0.00438,,,,,,,,,,
637.2,0.00434,,,,,,,,,,
651.6,0.00428,,,,,,,,,,
669.6,0.00428,,,,,,,,,,
684.0,0.00426,,,,,,,,,,
698.4,0.00438,,,,,,,,,,
716.4,0.00439,,,,,,,,,,
730.8,0.00449,,,,,,,,,,
748.8,0.00455,,,,,,,,,,
763.2,0.00457,,,,,,,,,,
777.6,0.00452,,,,,,,,,,
795.6,0.00453,,,,,,,,,,
810.0,0.00451,,,,,,,,,,
828.0,0.00442,,,,,,,,,,
842.4,0.00452,,,,,,,,,,
860.4,0.00452,,,,,,,,,,
874.8,0.00451,,,,,,,,,,
889.2,0.00475,,,,,,,,,,
7308.0,0.00626,,,,,,,,,,
8208.0,0.0088,,,,,,,,,,
11073.6,0.01021,,,,,,,,,,
17215.2,0.01168,,,,,,,,,,
22060.8,0.01272,,,,,,,,,,
26456.4,0.01385,,,,,,,,,,
33580.8,0.01406,,,,,,,,,,
40780.8,0.0156,,,,,,,,,,
47980.8,0.01688,,,,,,,,,,
51408.0,0.01765,,,,,,,,,,
58608.0,0.01916,,,,,,,,,,
65808.0,0.02048,,,,,,,,,,
73008.0,0.02223,,,,,,,,,,
80208.0,0.02375,,,,,,,,,,
82908.0,0.02407,,,,,,,,,,
85665.6,0.02484,,,,,,,,,,
90000.0,0.02589,,,,,,,,,,
97200.0,0.02748,,,,,,,,,,
104400.0,0.02928,,,,,,,,,,
111600.0,0.03095,,,,,,,,,,
118800.0,0.03246,,,,,,,,,,
126000.0,0.03414,,,,,,,,,,
133200.0,0.03586,,,,,,,,,,
140400.0,0.03735,,,,,,,,,,
147600.0,0.03913,,,,,,,,,,
154800.0,0.04068,,,,,,,,,,
162000.0,0.04258,,,,,,,,,,
169200.0,0.04455,,,,,,,,,,
176400.0,0.04647,,,,,,,,,,
183600.0,0.04837,,,,,,,,,,
190800.0,0.04967,,,,,,,,,,
198000.0,0.052,,,,,,,,,,
205200.0,0.05356,,,,,,,,,,
212400.0,0.05535,,,,,,,,,,
219600.0,0.05725,,,,,,,,,,
226800.0,0.05888,,,,,,,,,,
234000.0,0.06092,,,,,,,,,,
241200.0,0.06257,,,,,,,,,,
248400.0,0.06443,,,,,,,,,,
255600.0,0.06628,,,,,,,,,,
262800.0,0.06838,,,,,,,,,,
270000.0,0.06997,,,,,,,,,,
277200.0,0.07181,,,,,,,,,,
284400.0,0.07399,,,,,,,,,,
291600.0,0.07573,,,,,,,,,,
298800.0,0.07792,,,,,,,,,,
306000.0,0.07963,,,,,,,,,,
313200.0,0.08133,,,,,,,,,,
320400.0,0.08335,,,,,,,,,,
327600.0,0.08537,,,,,,,,,,
334800.0,0.08715,,,,,,,,,,
342000.0,0.08932,,,,,,,,,,
349200.0,0.09125,,,,,,,,,,
353113.2,0.0923,,,,,,,,,,
360324.0,0.09417,,,,,,,,,,
367524.0,0.09608,,,,,,,,,,
374724.0,0.09815,,,,,,,,,,
381924.0,0.09995,,,,,,,,,,
389124.0,0.10197,,,,,,,,,,
396324.0,0.10395,,,,,,,,,,
403524.0,0.10595,,,,,,,,,,
410724.0,0.10792,,,,,,,,,,
417924.0,0.10987,,,,,,,,,,
425124.0,0.11204,,,,,,,,,,
428580.0,0.11287,,,,,,,,,,
433044.0,0.11549,,,,,,,,,,
440244.0,0.1154,,,,,,,,,,
447444.0,0.11751,,,,,,,,,,
454644.0,0.1195,,,,,,,,,,
461844.0,0.12131,,,,,,,,,,
469044.0,0.12358,,,,,,,,,,
476244.0,0.12552,,,,,,,,,,
483444.0,0.12761,,,,,,,,,,
490644.0,0.12953,,,,,,,,,,
497844.0,0.13164,,,,,,,,,,
505044.0,0.13362,,,,,,,,,,
512244.0,0.13578,,,,,,,,,,
514800.0,0.13656,,,,,,,,,,
518400.0,0.1388,,,,,,,,,,
525600.0,0.14088,,,,,,,,,,
532800.0,0.14309,,,,,,,,,,
540000.0,0.14512,,,,,,,,,,
547200.0,0.14756,,,,,,,,,,
554400.0,0.14967,,,,,,,,,,
561600.0,0.15224,,,,,,,,,,
568800.0,0.15439,,,,,,,,,,
576000.0,0.15643,,,,,,,,,,
583200.0,0.15864,,,,,,,,,,
590400.0,0.16089,,,,,,,,,,
597600.0,0.1632,,,,,,,,,,
604800.0,0.16549,,,,,,,,,,
608400.0,0.16746,,,,,,,,,,
612000.0,0.16929,,,,,,,,,,
619200.0,0.17153,,,,,,,,,,
626400.0,0.17408,,,,,,,,,,
633600.0,0.17631,,,,,,,,,,
640800.0,0.17898,,,,,,,,,,
648000.0,0.18126,,,,,,,,,,
655200.0,0.18351,,,,,,,,,,
662400.0,0.18618,,,,,,,,,,
