time,strain,temperature,stress,type,state,form,process,medium,title,youngs,poissons
0.0,0.0,850.0,43.0,creep,Ruptured,Plate,Weld,Air,AirWeld_850_43_a,153000.0,0.3
0.0,0.0,,,,,,,,,,
14.4,-0.00031,,,,,,,,,,
32.4,0.0,,,,,,,,,,
46.8,3e-05,,,,,,,,,,
64.8,5e-05,,,,,,,,,,
79.2,1e-05,,,,,,,,,,
93.6,-0.00091,,,,,,,,,,
111.6,-0.00015,,,,,,,,,,
126.0,0.00033,,,,,,,,,,
144.0,0.00021,,,,,,,,,,
158.4,0.00048,,,,,,,,,,
172.8,0.00066,,,,,,,,,,
190.8,0.0004,,,,,,,,,,
205.2,0.00078,,,,,,,,,,
223.2,0.00119,,,,,,,,,,
237.6,0.00108,,,,,,,,,,
252.0,0.00125,,,,,,,,,,
270.0,0.00139,,,,,,,,,,
284.4,0.00117,,,,,,,,,,
298.8,0.00139,,,,,,,,,,
316.8,0.00132,,,,,,,,,,
331.2,0.00155,,,,,,,,,,
349.2,0.0013,,,,,,,,,,
363.6,0.00131,,,,,,,,,,
378.0,0.00181,,,,,,,,,,
396.0,0.00171,,,,,,,,,,
410.4,0.00164,,,,,,,,,,
428.4,0.00168,,,,,,,,,,
442.8,0.00184,,,,,,,,,,
457.2,0.00193,,,,,,,,,,
475.2,0.00194,,,,,,,,,,
489.6,0.00189,,,,,,,,,,
507.6,0.00205,,,,,,,,,,
522.0,0.00198,,,,,,,,,,
536.4,0.00186,,,,,,,,,,
554.4,0.00198,,,,,,,,,,
568.8,0.00196,,,,,,,,,,
586.8,0.0023,,,,,,,,,,
601.2,0.00211,,,,,,,,,,
615.6,0.00208,,,,,,,,,,
633.6,0.00218,,,,,,,,,,
648.0,0.00247,,,,,,,,,,
666.0,0.00235,,,,,,,,,,
680.4,0.0022,,,,,,,,,,
694.8,0.00208,,,,,,,,,,
712.8,0.00212,,,,,,,,,,
727.2,0.00231,,,,,,,,,,
745.2,0.00195,,,,,,,,,,
759.6,0.00236,,,,,,,,,,
774.0,0.00235,,,,,,,,,,
792.0,0.00227,,,,,,,,,,
806.4,0.0022,,,,,,,,,,
824.4,0.0023,,,,,,,,,,
838.8,0.00238,,,,,,,,,,
853.2,0.00245,,,,,,,,,,
871.2,0.00238,,,,,,,,,,
885.6,0.00223,,,,,,,,,,
900.0,0.00243,,,,,,,,,,
8100.0,0.00433,,,,,,,,,,
15300.0,0.00496,,,,,,,,,,
22500.0,0.00541,,,,,,,,,,
29700.0,0.00547,,,,,,,,,,
32410.8,0.00577,,,,,,,,,,
36000.0,0.00559,,,,,,,,,,
43200.0,0.00602,,,,,,,,,,
50400.0,0.00728,,,,,,,,,,
53085.6,0.00717,,,,,,,,,,
60285.6,0.00737,,,,,,,,,,
67485.6,0.00772,,,,,,,,,,
74685.6,0.00776,,,,,,,,,,
