time,strain,temperature,stress,type,state,form,process,medium,title,youngs,poissons
0.0,0.0,900.0,22.0,creep,Ruptured,Plate,Base,Air,AirBase_900_22_b,149000.0,0.3
0.0,0.0,,,,,,,,,,
0.0,0.00046,,,,,,,,,,
59669.0,0.0001904,,,,,,,,,,
119256.0,0.000476,,,,,,,,,,
176856.0,0.0006664,,,,,,,,,,
234456.0,0.0008806,,,,,,,,,,
292056.0,0.0010948,,,,,,,,,,
351029.0,0.0012376,,,,,,,,,,
411409.0,0.0014042,,,,,,,,,,
436339.0,0.0014756,,,,,,,,,,
472037.0,0.0016184,,,,,,,,,,
529637.0,0.0017612,,,,,,,,,,
587237.0,0.001904,,,,,,,,,,
648000.0,0.0020887,,,,,,,,,,
705600.0,0.0022878,,,,,,,,,,
763200.0,0.0024618,,,,,,,,,,
766800.0,0.0024833,,,,,,,,,,
820800.0,0.0026558,,,,,,,,,,
878400.0,0.0028664,,,,,,,,,,
936000.0,0.0030427,,,,,,,,,,
993600.0,0.0032408,,,,,,,,,,
1051200.0,0.0034231,,,,,,,,,,
1069200.0,0.0034902,,,,,,,,,,
1108800.0,0.003616,,,,,,,,,,
1166400.0,0.0037925,,,,,,,,,,
1224000.0,0.0040002,,,,,,,,,,
1281600.0,0.0041758,,,,,,,,,,
1339200.0,0.0043665,,,,,,,,,,
1371600.0,0.0045042,,,,,,,,,,
1396800.0,0.0045595,,,,,,,,,,
1454400.0,0.0047714,,,,,,,,,,
1512000.0,0.0049555,,,,,,,,,,
1569600.0,0.0051543,,,,,,,,,,
1627200.0,0.0053585,,,,,,,,,,
1670400.0,0.0055039,,,,,,,,,,
1684800.0,0.0055276,,,,,,,,,,
1742400.0,0.0056919,,,,,,,,,,
1800000.0,0.0058963,,,,,,,,,,
1857600.0,0.0061015,,,,,,,,,,
1915200.0,0.0062668,,,,,,,,,,
1972800.0,0.0064671,,,,,,,,,,
1987200.0,0.0065299,,,,,,,,,,
2030400.0,0.0066534,,,,,,,,,,
2088000.0,0.0068469,,,,,,,,,,
2145600.0,0.0070638,,,,,,,,,,
2203200.0,0.0072669,,,,,,,,,,
2260800.0,0.0074166,,,,,,,,,,
2289600.0,0.0075621,,,,,,,,,,
2318400.0,0.0076493,,,,,,,,,,
2376000.0,0.0077881,,,,,,,,,,
