time,strain,temperature,stress,type,state,form,process,medium,title,youngs,poissons
0.0,0.0,950.0,20.0,creep,Ruptured,Plate,Base,Air,AirBase_950_20_a,144000.0,0.3
0.0,0.0,,,,,,,,,,
16749.8,0.0007767,,,,,,,,,,
56949.1,0.0008286,,,,,,,,,,
97148.5,0.0008854,,,,,,,,,,
137347.8,0.0009472,,,,,,,,,,
177547.2,0.0010137,,,,,,,,,,
217746.6,0.0010848,,,,,,,,,,
257946.0,0.0011605,,,,,,,,,,
298145.3,0.0012407,,,,,,,,,,
338344.7,0.0013251,,,,,,,,,,
378544.1,0.0014139,,,,,,,,,,
418743.5,0.0015067,,,,,,,,,,
458942.9,0.0016037,,,,,,,,,,
499142.2,0.0017046,,,,,,,,,,
539341.6,0.0018095,,,,,,,,,,
579541.0,0.0019182,,,,,,,,,,
619740.4,0.0020307,,,,,,,,,,
659939.7,0.0021469,,,,,,,,,,
700139.1,0.0022668,,,,,,,,,,
740338.5,0.0023902,,,,,,,,,,
780537.9,0.0025172,,,,,,,,,,
820737.2,0.0026478,,,,,,,,,,
860936.6,0.0027818,,,,,,,,,,
901136.0,0.0029192,,,,,,,,,,
941335.3,0.00306,,,,,,,,,,
981534.7,0.0032041,,,,,,,,,,
1021734.1,0.0033516,,,,,,,,,,
1061933.5,0.0035023,,,,,,,,,,
1102132.8,0.0036563,,,,,,,,,,
1142332.2,0.0038136,,,,,,,,,,
1182531.6,0.0039741,,,,,,,,,,
1222731.0,0.0041377,,,,,,,,,,
1262930.3,0.0043046,,,,,,,,,,
1303129.7,0.0044746,,,,,,,,,,
1343329.1,0.0046478,,,,,,,,,,
1383528.5,0.0048242,,,,,,,,,,
1423727.8,0.0050037,,,,,,,,,,
1463927.2,0.0051863,,,,,,,,,,
1504126.6,0.0053721,,,,,,,,,,
1544325.9,0.005561,,,,,,,,,,
1584525.3,0.0057531,,,,,,,,,,
1624724.7,0.0059483,,,,,,,,,,
1664924.1,0.0061466,,,,,,,,,,
1705123.4,0.0063481,,,,,,,,,,
1745322.8,0.0065528,,,,,,,,,,
1785522.2,0.0067606,,,,,,,,,,
1825721.6,0.0069716,,,,,,,,,,
1865920.9,0.0071857,,,,,,,,,,
1906120.3,0.0074031,,,,,,,,,,
1946319.7,0.0076237,,,,,,,,,,
1986519.1,0.0078475,,,,,,,,,,
2026718.4,0.0080745,,,,,,,,,,
2066917.8,0.0083048,,,,,,,,,,
2107117.2,0.0085383,,,,,,,,,,
2147316.6,0.0087751,,,,,,,,,,
2187515.9,0.0090153,,,,,,,,,,
2227715.3,0.0092587,,,,,,,,,,
2267914.7,0.0095055,,,,,,,,,,
2308114.0,0.0097556,,,,,,,,,,
2348313.4,0.0100091,,,,,,,,,,
2388512.8,0.010266,,,,,,,,,,
2428712.2,0.0105263,,,,,,,,,,
2468911.5,0.01079,,,,,,,,,,
2509110.9,0.0110572,,,,,,,,,,
2549310.3,0.0113279,,,,,,,,,,
2589509.7,0.011602,,,,,,,,,,
2629709.0,0.0118797,,,,,,,,,,
2669908.4,0.0121609,,,,,,,,,,
2710107.8,0.0124456,,,,,,,,,,
2750307.2,0.0127339,,,,,,,,,,
2790506.5,0.0130258,,,,,,,,,,
2830705.9,0.0133213,,,,,,,,,,
2870905.3,0.0136205,,,,,,,,,,
2911104.6,0.0139233,,,,,,,,,,
2951304.0,0.0142297,,,,,,,,,,
2991503.4,0.0145399,,,,,,,,,,
3031702.8,0.0148537,,,,,,,,,,
3071902.1,0.0151713,,,,,,,,,,
3112101.5,0.0154926,,,,,,,,,,
3152300.9,0.0158177,,,,,,,,,,
3192500.3,0.0161465,,,,,,,,,,
3232699.6,0.0164792,,,,,,,,,,
3272899.0,0.0168156,,,,,,,,,,
3313098.4,0.0171559,,,,,,,,,,
3353297.8,0.0175,,,,,,,,,,
3393497.2,0.0178479,,,,,,,,,,
3433696.5,0.0181997,,,,,,,,,,
3473895.9,0.0185553,,,,,,,,,,
3514095.3,0.0189149,,,,,,,,,,
3554294.7,0.0192783,,,,,,,,,,
3594494.0,0.0196456,,,,,,,,,,
3634693.4,0.0200169,,,,,,,,,,
3674892.8,0.020392,,,,,,,,,,
3715092.1,0.0207711,,,,,,,,,,
3755291.5,0.0211541,,,,,,,,,,
3795490.9,0.0215411,,,,,,,,,,
3835690.3,0.021932,,,,,,,,,,
3875889.6,0.0223269,,,,,,,,,,
3916089.0,0.0227257,,,,,,,,,,
3956288.4,0.0231284,,,,,,,,,,
3996487.8,0.0235351,,,,,,,,,,
4036687.1,0.0239458,,,,,,,,,,
4076886.5,0.0243604,,,,,,,,,,
4117085.9,0.024779,,,,,,,,,,
4157285.3,0.0252015,,,,,,,,,,
4197484.6,0.025628,,,,,,,,,,
4237684.0,0.0260584,,,,,,,,,,
4277883.4,0.0264928,,,,,,,,,,
4318082.7,0.026931,,,,,,,,,,
4358282.1,0.0273733,,,,,,,,,,
4398481.5,0.0278194,,,,,,,,,,
4438680.9,0.0282694,,,,,,,,,,
4478880.2,0.0287234,,,,,,,,,,
4519079.6,0.0291812,,,,,,,,,,
4559279.0,0.0296429,,,,,,,,,,
4599478.4,0.0301085,,,,,,,,,,
4639677.7,0.0305779,,,,,,,,,,
4679877.1,0.0310512,,,,,,,,,,
4720076.5,0.0315282,,,,,,,,,,
