time,strain,temperature,stress,type,state,form,process,medium,title,youngs,poissons
0.0,0.0,900.0,45.0,creep,Ruptured,Plate,Base,He,HeBase_900_45_a,149000.0,0.3
0.0,0.0,,,,,,,,,,
17.0,0.00869,,,,,,,,,,
53.0,0.00869,,,,,,,,,,
125.0,0.00853,,,,,,,,,,
269.0,0.00894,,,,,,,,,,
558.0,0.00969,,,,,,,,,,
941.0,0.00994,,,,,,,,,,
1158.0,0.01088,,,,,,,,,,
1193.0,0.01088,,,,,,,,,,
4799.0,0.01244,,,,,,,,,,
7200.0,0.01312,,,,,,,,,,
9600.0,0.01425,,,,,,,,,,
12000.0,0.01425,,,,,,,,,,
14400.0,0.01506,,,,,,,,,,
16800.0,0.01506,,,,,,,,,,
19200.0,0.01578,,,,,,,,,,
21600.0,0.01578,,,,,,,,,,
24000.0,0.01578,,,,,,,,,,
26400.0,0.01675,,,,,,,,,,
28800.0,0.01675,,,,,,,,,,
31200.0,0.01709,,,,,,,,,,
33600.0,0.01738,,,,,,,,,,
36000.0,0.01794,,,,,,,,,,
38400.0,0.01794,,,,,,,,,,
40800.0,0.01881,,,,,,,,,,
43200.0,0.01881,,,,,,,,,,
45600.0,0.01881,,,,,,,,,,
48000.0,0.01906,,,,,,,,,,
50400.0,0.01991,,,,,,,,,,
52800.0,0.01991,,,,,,,,,,
55200.0,0.01991,,,,,,,,,,
57600.0,0.02038,,,,,,,,,,
60000.0,0.02056,,,,,,,,,,
62400.0,0.02056,,,,,,,,,,
64800.0,0.02122,,,,,,,,,,
67201.0,0.02122,,,,,,,,,,
69600.0,0.02175,,,,,,,,,,
72001.0,0.02178,,,,,,,,,,
74401.0,0.02241,,,,,,,,,,
76801.0,0.02241,,,,,,,,,,
79201.0,0.02241,,,,,,,,,,
81601.0,0.02331,,,,,,,,,,
84001.0,0.02338,,,,,,,,,,
86401.0,0.02362,,,,,,,,,,
88801.0,0.02416,,,,,,,,,,
91201.0,0.02444,,,,,,,,,,
93601.0,0.02494,,,,,,,,,,
96001.0,0.02516,,,,,,,,,,
98401.0,0.02556,,,,,,,,,,
100801.0,0.02641,,,,,,,,,,
103201.0,0.02641,,,,,,,,,,
105601.0,0.02684,,,,,,,,,,
108001.0,0.02684,,,,,,,,,,
110401.0,0.02738,,,,,,,,,,
112802.0,0.02769,,,,,,,,,,
115201.0,0.02816,,,,,,,,,,
117602.0,0.02903,,,,,,,,,,
120002.0,0.02888,,,,,,,,,,
122402.0,0.02888,,,,,,,,,,
124802.0,0.02984,,,,,,,,,,
127202.0,0.02984,,,,,,,,,,
129602.0,0.03078,,,,,,,,,,
132002.0,0.03078,,,,,,,,,,
134402.0,0.03078,,,,,,,,,,
136802.0,0.03178,,,,,,,,,,
139202.0,0.03178,,,,,,,,,,
141602.0,0.03178,,,,,,,,,,
144002.0,0.03275,,,,,,,,,,
146402.0,0.03275,,,,,,,,,,
148802.0,0.03275,,,,,,,,,,
151202.0,0.03328,,,,,,,,,,
153602.0,0.03328,,,,,,,,,,
156002.0,0.03391,,,,,,,,,,
158402.0,0.03391,,,,,,,,,,
160802.0,0.03481,,,,,,,,,,
163202.0,0.03481,,,,,,,,,,
165602.0,0.03481,,,,,,,,,,
168002.0,0.03569,,,,,,,,,,
170403.0,0.03569,,,,,,,,,,
172803.0,0.03637,,,,,,,,,,
175202.0,0.03641,,,,,,,,,,
177603.0,0.03703,,,,,,,,,,
180003.0,0.03759,,,,,,,,,,
182403.0,0.03853,,,,,,,,,,
184803.0,0.03853,,,,,,,,,,
187203.0,0.03856,,,,,,,,,,
189603.0,0.03944,,,,,,,,,,
192003.0,0.03944,,,,,,,,,,
194403.0,0.04028,,,,,,,,,,
196803.0,0.04028,,,,,,,,,,
199203.0,0.04088,,,,,,,,,,
201603.0,0.04088,,,,,,,,,,
204003.0,0.04169,,,,,,,,,,
206403.0,0.04209,,,,,,,,,,
208803.0,0.04209,,,,,,,,,,
211203.0,0.04259,,,,,,,,,,
213603.0,0.04344,,,,,,,,,,
216003.0,0.04344,,,,,,,,,,
218403.0,0.04372,,,,,,,,,,
220803.0,0.04391,,,,,,,,,,
223203.0,0.04481,,,,,,,,,,
225603.0,0.04481,,,,,,,,,,
228003.0,0.04531,,,,,,,,,,
230404.0,0.04531,,,,,,,,,,
232804.0,0.04603,,,,,,,,,,
235204.0,0.04603,,,,,,,,,,
237603.0,0.04675,,,,,,,,,,
240004.0,0.04675,,,,,,,,,,
242404.0,0.04725,,,,,,,,,,
244804.0,0.04791,,,,,,,,,,
247204.0,0.04791,,,,,,,,,,
249604.0,0.04791,,,,,,,,,,
252004.0,0.04869,,,,,,,,,,
254404.0,0.04869,,,,,,,,,,
256804.0,0.04947,,,,,,,,,,
259204.0,0.04947,,,,,,,,,,
261604.0,0.04997,,,,,,,,,,
264004.0,0.05047,,,,,,,,,,
266404.0,0.0505,,,,,,,,,,
268804.0,0.05131,,,,,,,,,,
271204.0,0.05206,,,,,,,,,,
273604.0,0.05206,,,,,,,,,,
276004.0,0.05309,,,,,,,,,,
278404.0,0.05309,,,,,,,,,,
280805.0,0.05356,,,,,,,,,,
283205.0,0.05356,,,,,,,,,,
285605.0,0.05459,,,,,,,,,,
288005.0,0.05459,,,,,,,,,,
290405.0,0.05484,,,,,,,,,,
292805.0,0.05553,,,,,,,,,,
295205.0,0.05556,,,,,,,,,,
297605.0,0.0565,,,,,,,,,,
300005.0,0.0565,,,,,,,,,,
302405.0,0.05738,,,,,,,,,,
304805.0,0.05738,,,,,,,,,,
307205.0,0.05791,,,,,,,,,,
309605.0,0.05831,,,,,,,,,,
312005.0,0.05869,,,,,,,,,,
314405.0,0.05925,,,,,,,,,,
316805.0,0.05925,,,,,,,,,,
319205.0,0.06009,,,,,,,,,,
321605.0,0.06009,,,,,,,,,,
324005.0,0.06009,,,,,,,,,,
326405.0,0.06031,,,,,,,,,,
328805.0,0.06069,,,,,,,,,,
331205.0,0.06125,,,,,,,,,,
333606.0,0.0615,,,,,,,,,,
336005.0,0.0615,,,,,,,,,,
338406.0,0.06203,,,,,,,,,,
340806.0,0.06256,,,,,,,,,,
343206.0,0.06319,,,,,,,,,,
345606.0,0.06319,,,,,,,,,,
348006.0,0.06356,,,,,,,,,,
350406.0,0.06481,,,,,,,,,,
352806.0,0.06484,,,,,,,,,,
355206.0,0.06488,,,,,,,,,,
357606.0,0.06619,,,,,,,,,,
360006.0,0.06619,,,,,,,,,,
362406.0,0.06669,,,,,,,,,,
364806.0,0.06669,,,,,,,,,,
367206.0,0.06741,,,,,,,,,,
369606.0,0.06741,,,,,,,,,,
372006.0,0.06809,,,,,,,,,,
