time,strain,stress,temperature,type,strain_rate,max_strain,title,youngs,poissons
0.0,2e-05,12.75,850,fatigue,0.001,0.00234,4-1-1,153000,0.3
0.03,4e-05,16.4,,,,,,,
0.06,7e-05,20.13,,,,,,,
0.08,0.0001,23.67,,,,,,,
0.11,0.00012,27.3,,,,,,,
0.14,0.00015,31.07,,,,,,,
0.17,0.00017,34.6,,,,,,,
0.2,0.0002,38.28,,,,,,,
0.23,0.00022,42.11,,,,,,,
0.26,0.00025,45.43,,,,,,,
0.29,0.00027,49.17,,,,,,,
0.33,0.0003,53.28,,,,,,,
0.36,0.00032,57.08,,,,,,,
0.39,0.00035,60.56,,,,,,,
0.42,0.00037,64.45,,,,,,,
0.46,0.0004,68.49,,,,,,,
0.49,0.00043,72.38,,,,,,,
0.52,0.00045,76.54,,,,,,,
0.55,0.00048,80.75,,,,,,,
0.57,0.0005,84.69,,,,,,,
0.6,0.00053,88.5,,,,,,,
0.62,0.00055,92.53,,,,,,,
0.64,0.00058,96.45,,,,,,,
0.66,0.0006,100.29,,,,,,,
0.68,0.00063,104.1,,,,,,,
0.7,0.00066,108.0,,,,,,,
0.72,0.00068,111.7,,,,,,,
0.74,0.00071,115.67,,,,,,,
0.76,0.00073,119.49,,,,,,,
0.78,0.00076,123.27,,,,,,,
0.8,0.00078,127.06,,,,,,,
0.82,0.00081,130.93,,,,,,,
0.84,0.00083,134.63,,,,,,,
0.86,0.00085,136.73,,,,,,,
0.87,0.00086,138.24,,,,,,,
0.89,0.00088,141.64,,,,,,,
0.92,0.00091,145.22,,,,,,,
0.94,0.00094,148.85,,,,,,,
0.97,0.00096,152.42,,,,,,,
0.99,0.00099,155.34,,,,,,,
1.01,0.00101,157.65,,,,,,,
1.02,0.00104,159.38,,,,,,,
1.04,0.00106,160.6,,,,,,,
1.05,0.00109,161.45,,,,,,,
1.06,0.00112,162.03,,,,,,,
1.07,0.00115,162.42,,,,,,,
1.07,0.00117,162.64,,,,,,,
1.08,0.0012,162.81,,,,,,,
1.09,0.00123,162.86,,,,,,,
1.1,0.00125,162.77,,,,,,,
1.11,0.00128,162.35,,,,,,,
1.23,0.00125,152.33,,,,,,,
1.32,0.00128,157.65,,,,,,,
1.35,0.0013,161.25,,,,,,,
1.37,0.00133,164.73,,,,,,,
1.38,0.00136,167.98,,,,,,,
1.4,0.00138,169.6,,,,,,,
1.4,0.00142,163.21,,,,,,,
1.41,0.00146,163.32,,,,,,,
1.41,0.0015,163.51,,,,,,,
1.41,0.00154,163.75,,,,,,,
1.41,0.00159,163.87,,,,,,,
1.41,0.00165,163.99,,,,,,,
1.41,0.00171,164.17,,,,,,,
1.41,0.00178,164.29,,,,,,,
1.41,0.00184,164.45,,,,,,,
1.41,0.0019,164.62,,,,,,,
1.41,0.00195,164.78,,,,,,,
1.42,0.00199,164.97,,,,,,,
1.42,0.00202,165.09,,,,,,,
1.42,0.00205,165.3,,,,,,,
1.42,0.00202,165.71,,,,,,,
1.43,0.00199,165.55,,,,,,,
1.43,0.00202,165.01,,,,,,,
1.46,0.00199,152.76,,,,,,,
1.47,0.00197,148.43,,,,,,,
1.48,0.00194,143.87,,,,,,,
1.48,0.00191,139.75,,,,,,,
1.49,0.00188,135.65,,,,,,,
1.5,0.00186,131.54,,,,,,,
1.5,0.00183,127.38,,,,,,,
1.51,0.0018,123.36,,,,,,,
1.51,0.00177,119.43,,,,,,,
1.52,0.00174,115.57,,,,,,,
1.53,0.00172,111.91,,,,,,,
1.53,0.00169,108.42,,,,,,,
1.54,0.00166,104.43,,,,,,,
1.54,0.00163,100.78,,,,,,,
1.55,0.00161,97.32,,,,,,,
1.56,0.00158,93.58,,,,,,,
1.57,0.00155,89.93,,,,,,,
1.58,0.00153,86.63,,,,,,,
1.59,0.0015,83.16,,,,,,,
1.6,0.00147,80.12,,,,,,,
