time,strain,stress,temperature,type,strain_rate,max_strain,title,youngs,poissons
0.0,2e-05,16.81,850,fatigue,0.001,0.00388,416-3,153000,0.3
0.03,5e-05,21.14,,,,,,,
0.05,7e-05,24.74,,,,,,,
0.07,0.0001,28.23,,,,,,,
0.09,0.00013,31.74,,,,,,,
0.12,0.00015,35.16,,,,,,,
0.15,0.00018,38.71,,,,,,,
0.18,0.0002,42.39,,,,,,,
0.21,0.00023,45.73,,,,,,,
0.25,0.00025,50.19,,,,,,,
0.28,0.00028,54.87,,,,,,,
0.31,0.0003,58.97,,,,,,,
0.33,0.00033,63.08,,,,,,,
0.36,0.00036,66.75,,,,,,,
0.38,0.00038,70.2,,,,,,,
0.41,0.00041,73.92,,,,,,,
0.44,0.00043,77.27,,,,,,,
0.47,0.00046,80.61,,,,,,,
0.49,0.00048,84.0,,,,,,,
0.52,0.00051,87.43,,,,,,,
0.55,0.00053,90.79,,,,,,,
0.58,0.00056,94.31,,,,,,,
0.61,0.00058,97.87,,,,,,,
0.64,0.00061,101.37,,,,,,,
0.66,0.00064,104.93,,,,,,,
0.69,0.00066,108.42,,,,,,,
0.72,0.00069,111.82,,,,,,,
0.75,0.00071,115.37,,,,,,,
0.78,0.00074,119.05,,,,,,,
0.8,0.00076,122.75,,,,,,,
0.83,0.00079,126.58,,,,,,,
0.86,0.00081,130.29,,,,,,,
0.87,0.00082,131.62,,,,,,,
0.88,0.00084,133.84,,,,,,,
0.91,0.00086,137.36,,,,,,,
0.93,0.00089,140.72,,,,,,,
0.96,0.00091,144.23,,,,,,,
0.99,0.00094,147.79,,,,,,,
1.02,0.00096,151.74,,,,,,,
1.04,0.00099,155.93,,,,,,,
1.06,0.00102,159.56,,,,,,,
1.08,0.00104,163.0,,,,,,,
1.1,0.00107,166.12,,,,,,,
1.12,0.00109,168.38,,,,,,,
1.13,0.00112,169.28,,,,,,,
1.14,0.00114,169.43,,,,,,,
1.14,0.00117,169.52,,,,,,,
1.15,0.0012,169.66,,,,,,,
1.15,0.00122,169.74,,,,,,,
1.16,0.00125,169.82,,,,,,,
1.16,0.00128,169.82,,,,,,,
1.16,0.00131,169.74,,,,,,,
1.17,0.00133,169.54,,,,,,,
1.17,0.00136,169.14,,,,,,,
1.18,0.00139,168.4,,,,,,,
1.19,0.00142,167.05,,,,,,,
1.23,0.00139,146.64,,,,,,,
1.24,0.00136,142.95,,,,,,,
1.25,0.00134,139.75,,,,,,,
1.25,0.00131,137.14,,,,,,,
1.26,0.00128,134.98,,,,,,,
1.27,0.00126,133.54,,,,,,,
1.29,0.00123,133.53,,,,,,,
1.33,0.00126,147.85,,,,,,,
1.34,0.00128,152.39,,,,,,,
1.35,0.00131,156.47,,,,,,,
1.36,0.00133,159.82,,,,,,,
1.37,0.00136,163.24,,,,,,,
1.38,0.00139,166.21,,,,,,,
1.39,0.00141,168.87,,,,,,,
1.41,0.00144,171.24,,,,,,,
1.42,0.00147,173.1,,,,,,,
1.44,0.00149,174.28,,,,,,,
1.46,0.00152,174.42,,,,,,,
1.48,0.00154,172.9,,,,,,,
1.49,0.00157,172.33,,,,,,,
1.49,0.0016,172.13,,,,,,,
1.5,0.00163,171.92,,,,,,,
1.51,0.00166,171.65,,,,,,,
1.51,0.00168,171.2,,,,,,,
1.52,0.00171,169.86,,,,,,,
1.57,0.00168,157.94,,,,,,,
1.58,0.00166,154.69,,,,,,,
1.59,0.00163,152.22,,,,,,,
1.61,0.0016,151.17,,,,,,,
1.67,0.00163,162.99,,,,,,,
1.68,0.00166,167.31,,,,,,,
1.7,0.00168,170.95,,,,,,,
1.71,0.00171,174.01,,,,,,,
1.72,0.00173,176.87,,,,,,,
1.73,0.00176,170.22,,,,,,,
1.74,0.0018,170.77,,,,,,,
1.74,0.00183,171.07,,,,,,,
1.74,0.00187,171.38,,,,,,,
1.74,0.00192,171.68,,,,,,,
1.74,0.00194,171.82,,,,,,,
1.75,0.00197,172.03,,,,,,,
1.75,0.002,172.13,,,,,,,
1.75,0.00202,172.2,,,,,,,
1.75,0.00205,172.27,,,,,,,
1.75,0.00208,172.3,,,,,,,
1.75,0.00211,172.38,,,,,,,
1.75,0.00213,172.49,,,,,,,
1.75,0.00216,172.52,,,,,,,
1.75,0.00221,172.43,,,,,,,
1.76,0.00225,172.33,,,,,,,
1.76,0.00229,172.22,,,,,,,
1.76,0.00232,171.76,,,,,,,
1.76,0.00235,171.3,,,,,,,
1.76,0.00238,170.61,,,,,,,
1.77,0.00242,168.92,,,,,,,
1.77,0.00244,166.9,,,,,,,
1.77,0.00247,163.16,,,,,,,
1.8,0.00244,128.53,,,,,,,
1.8,0.00241,121.08,,,,,,,
1.8,0.00238,113.68,,,,,,,
1.81,0.00235,107.99,,,,,,,
1.81,0.00232,102.45,,,,,,,
1.81,0.00229,96.94,,,,,,,
1.82,0.00225,91.6,,,,,,,
