time,strain,stress,temperature,type,strain_rate,max_strain,title,youngs,poissons
0.0,2e-05,3.01,950,fatigue,0.001,0.00304,B-15,144000,0.3
0.04,5e-05,7.6,,,,,,,
0.07,7e-05,11.17,,,,,,,
0.1,0.0001,15.17,,,,,,,
0.13,0.00013,18.92,,,,,,,
0.16,0.00015,22.51,,,,,,,
0.18,0.00018,26.01,,,,,,,
0.21,0.0002,29.17,,,,,,,
0.25,0.00023,32.58,,,,,,,
0.28,0.00025,36.1,,,,,,,
0.32,0.00028,39.52,,,,,,,
0.36,0.0003,43.04,,,,,,,
0.41,0.00033,46.25,,,,,,,
0.45,0.00035,50.41,,,,,,,
0.48,0.00038,54.54,,,,,,,
0.51,0.0004,58.29,,,,,,,
0.53,0.00043,62.17,,,,,,,
0.56,0.00046,65.79,,,,,,,
0.58,0.00048,69.47,,,,,,,
0.6,0.00051,72.96,,,,,,,
0.63,0.00053,76.61,,,,,,,
0.65,0.00056,79.68,,,,,,,
0.67,0.00058,82.87,,,,,,,
0.7,0.00061,86.04,,,,,,,
0.73,0.00064,89.71,,,,,,,
0.76,0.00066,92.99,,,,,,,
0.8,0.00069,96.3,,,,,,,
0.8,0.00069,97.21,,,,,,,
0.83,0.00071,99.47,,,,,,,
0.86,0.00074,102.78,,,,,,,
0.9,0.00076,106.45,,,,,,,
0.93,0.00079,109.54,,,,,,,
0.96,0.00081,112.88,,,,,,,
0.99,0.00084,116.48,,,,,,,
1.02,0.00086,119.94,,,,,,,
1.05,0.00089,123.22,,,,,,,
1.08,0.00091,126.17,,,,,,,
1.1,0.00094,129.52,,,,,,,
1.13,0.00097,133.35,,,,,,,
1.16,0.00099,137.1,,,,,,,
1.18,0.00102,140.67,,,,,,,
1.2,0.00104,144.04,,,,,,,
1.22,0.00107,147.24,,,,,,,
1.23,0.00109,150.91,,,,,,,
1.26,0.00112,154.5,,,,,,,
1.27,0.00115,157.73,,,,,,,
1.3,0.00117,160.84,,,,,,,
1.31,0.0012,163.48,,,,,,,
1.33,0.00122,164.97,,,,,,,
1.34,0.00125,164.4,,,,,,,
1.34,0.00128,164.73,,,,,,,
1.34,0.00131,164.98,,,,,,,
1.35,0.00134,165.24,,,,,,,
1.35,0.00137,165.49,,,,,,,
1.36,0.00139,165.78,,,,,,,
1.36,0.00142,165.95,,,,,,,
1.36,0.00145,166.13,,,,,,,
1.37,0.00148,166.4,,,,,,,
1.37,0.0015,166.6,,,,,,,
1.38,0.00153,166.68,,,,,,,
1.38,0.00156,166.89,,,,,,,
1.38,0.00159,167.04,,,,,,,
1.38,0.00162,167.0,,,,,,,
1.39,0.00165,167.21,,,,,,,
1.39,0.00167,167.11,,,,,,,
1.4,0.0017,167.13,,,,,,,
1.4,0.00173,166.99,,,,,,,
1.41,0.00176,166.87,,,,,,,
1.41,0.00179,166.34,,,,,,,
1.42,0.00181,165.73,,,,,,,
1.44,0.00184,164.02,,,,,,,
