time,strain,stress,temperature,type,title,medium,strain_rate,youngs,poissons
82.0000008,0,16.59,1000,tensile,D12,Air,0.000103139,139000,0.31
82.1999988,7.18E-07,16.83001208,,,,,,,
82.5000012,2.90E-06,17.05004946,,,,,,,
82.6999992,4.37E-06,17.25007531,,,,,,,
82.9000008,6.55E-06,17.48011448,,,,,,,
83.0999988,9.48E-06,17.70016778,,,,,,,
83.3000004,1.17E-05,17.94020922,,,,,,,
83.5999992,1.38E-05,18.21025212,,,,,,,
83.8000008,1.60E-05,18.41029508,,,,,,,
83.9999988,1.75E-05,18.67032659,,,,,,,
84.2000004,2.04E-05,18.90038599,,,,,,,
84.4999992,2.26E-05,19.14043268,,,,,,,
84.7000008,2.41E-05,19.40046698,,,,,,,
84.8999988,2.70E-05,19.65053,,,,,,,
85.1000004,2.84E-05,19.9005659,,,,,,,
85.3999992,3.14E-05,20.14063173,,,,,,,
85.6000008,3.35E-05,20.39068408,,,,,,,
85.7999988,3.65E-05,20.63075258,,,,,,,
86.0000004,3.87E-05,20.90080806,,,,,,,
86.1999984,4.16E-05,21.14087925,,,,,,,
86.5000008,4.38E-05,21.38093591,,,,,,,
86.6999988,4.60E-05,21.62099363,,,,,,,
86.9000004,4.96E-05,21.87108488,,,,,,,
87.0999984,5.25E-05,22.1211621,,,,,,,
87.4000008,5.55E-05,22.42124355,,,,,,,
87.5999988,5.84E-05,22.63132085,,,,,,,
87.8000004,6.05E-05,22.92138781,,,,,,,
87.9999984,6.28E-05,23.15145294,,,,,,,
88.2,6.57E-05,23.39153586,,,,,,,
88.4999988,6.86E-05,23.66162291,,,,,,,
88.7000004,7.22E-05,23.921728,,,,,,,
88.8999984,7.44E-05,24.20180106,,,,,,,
89.1,7.66E-05,24.44187228,,,,,,,
89.3999988,7.95E-05,24.72196615,,,,,,,
89.6000004,8.24E-05,24.9820593,,,,,,,
89.7999984,8.61E-05,25.25217367,,,,,,,
90,8.97E-05,25.52229001,,,,,,,
90.2000016,9.19E-05,25.75236761,,,,,,,
90.5000004,9.56E-05,26.06249118,,,,,,,
