time,strain,stress,temperature,type,title,medium,strain_rate,youngs,poissons,
1.00E-01,1.97E-06,17.07003359,20,tensile,D5,Air,0.00010906,211000,0.3,
3.00E-01,1.97E-06,17.11003367,,,,,,,,
3.6,3.00E-05,23.4707041,,,,,,,,
3.8999988,3.20E-05,23.90076406,,,,,,,,
4.1000004,3.40E-05,24.370828,,,,,,,,
4.2999984,3.60E-05,24.78089168,,,,,,,,
4.5,3.70E-05,25.21093199,,,,,,,,
4.7999988,3.90E-05,25.62099857,,,,,,,,
5.0000004,4.10E-05,26.03106681,,,,,,,,
5.1999984,4.30E-05,26.471138,,,,,,,,
5.4,4.50E-05,26.89121005,,,,,,,,
5.6000016,4.70E-05,27.31128379,,,,,,,,
5.9000004,4.90E-05,27.75136019,,,,,,,,
6.0999984,5.10E-05,28.20143775,,,,,,,,
6.3,5.30E-05,28.65151822,,,,,,,,
6.5000016,5.60E-05,29.07162745,,,,,,,,
6.8000004,5.60E-05,29.50165153,,,,,,,,
6.9999984,5.80E-05,29.92173512,,,,,,,,
7.2,6.10E-05,30.35185086,,,,,,,,
7.4000016,6.20E-05,30.79190923,,,,,,,,
7.5999996,6.40E-05,31.2019973,,,,,,,,
7.8999984,6.60E-05,31.66208905,,,,,,,,
8.1,6.80E-05,32.1221839,,,,,,,,
8.3000016,7.00E-05,32.5322771,,,,,,,,
8.4999996,7.20E-05,32.9723741,,,,,,,,
8.7999984,7.40E-05,33.41247287,,,,,,,,
9,7.60E-05,33.84257265,,,,,,,,
9.2000016,7.80E-05,34.28267357,,,,,,,,
9.3999996,7.90E-05,34.72274344,,,,,,,,
9.6000012,8.10E-05,35.1628488,,,,,,,,
9.9,8.40E-05,35.62299265,,,,,,,,
10.1000016,8.50E-05,36.09306765,,,,,,,,
10.2999996,8.80E-05,36.53321435,,,,,,,,
10.5000012,8.90E-05,36.97329092,,,,,,,,
10.8,9.10E-05,37.45340885,,,,,,,,
11.0000016,9.30E-05,37.89352347,,,,,,,,
11.1999996,9.50E-05,38.3236404,,,,,,,,
11.4000012,9.70E-05,38.79376294,,,,,,,,
11.5999992,9.90E-05,39.2338844,,,,,,,,
11.9000016,0.000101015,39.67400746,,,,,,,,
12.0999996,0.000102985,40.18413814,,,,,,,,
12.3000012,0.000106014,40.63430759,,,,,,,,
12.4999992,0.000106014,41.0843553,,,,,,,,
12.8000016,0.000109014,41.55452978,,,,,,,,
12.9999996,0.000111014,42.01466395,,,,,,,,
13.2000012,0.000112984,42.45479643,,,,,,,,
13.3999992,0.000114993,42.91493465,,,,,,,,
13.6000008,0.000117003,43.36507355,,,,,,,,
13.8999996,0.000117983,43.80516796,,,,,,,,
14.1000012,0.000121013,44.3153624,,,,,,,,
14.2999992,0.000122982,44.7555038,,,,,,,,
14.5000008,0.000124992,45.21565125,,,,,,,,
14.7999996,0.000127002,45.67580055,,,,,,,,
15.0000012,0.000129012,46.14595298,,,,,,,,
15.1999992,0.000131011,46.60610553,,,,,,,,
15.4000008,0.000132981,47.05625718,,,,,,,,
15.5999988,0.000134991,47.45640575,,,,,,,,
15.9000012,0.000137001,47.92656552,,,,,,,,
16.0999992,0.00013798,48.44668424,,,,,,,,
16.3000008,0.00014101,48.9268987,,,,,,,,
16.4999988,0.00014298,49.34705513,,,,,,,,
16.8000012,0.000144989,49.83722535,,,,,,,,
16.9999992,0.000146009,50.27734043,,,,,,,,
17.2000008,0.000149009,50.76756426,,,,,,,,
17.3999988,0.000151998,51.20778291,,,,,,,,
17.6000004,0.000152978,51.68790652,,,,,,,,
17.8999992,0.000154988,52.15808325,,,,,,,,
18.1000008,0.000156998,52.65826658,,,,,,,,
18.2999988,0.000159987,53.1485024,,,,,,,,
18.5000004,0.000161997,53.6386886,,,,,,,,
18.7999992,0.000164007,54.09887184,,,,,,,,
19.0000008,0.000166006,54.56905805,,,,,,,,
19.1999988,0.000169006,55.05930455,,,,,,,,
19.4000004,0.000169986,55.5494418,,,,,,,,
19.5999984,0.000172975,56.01968917,,,,,,,,
19.9000008,0.000174005,56.49983039,,,,,,,,
20.0999988,0.000176005,57.03003666,,,,,,,,
20.3000004,0.000179004,57.49029007,,,,,,,,
20.4999984,0.000181004,57.96049011,,,,,,,,
20.8000008,0.000182973,58.44069211,,,,,,,,
20.9999988,0.000184983,58.9309002,,,,,,,,
21.2000004,0.000187972,59.42116849,,,,,,,,
21.3999984,0.000189002,59.90132041,,,,,,,,
21.6,0.000191992,60.38159164,,,,,,,,
21.8999988,0.000194001,60.85180418,,,,,,,,
22.1000004,0.000196001,61.32201799,,,,,,,,
22.2999984,0.00019797,61.88224964,,,,,,,,
22.5,0.00019998,62.352468,,,,,,,,
22.7999988,0.00020199,62.82268825,,,,,,,,
23.0000004,0.000204979,63.3129765,,,,,,,,
23.1999984,0.000206989,63.80320517,,,,,,,,
23.4,0.000208998,64.27343163,,,,,,,,
23.6000016,0.000209978,64.7535954,,,,,,,,
23.9000004,0.000213997,65.25396266,,,,,,,,
24.0999984,0.000215997,65.7942098,,,,,,,,
24.3,0.000217966,66.2844462,,,,,,,,
24.5000016,0.000220996,66.7747553,,,,,,,,
24.8000004,0.000223005,67.26499877,,,,,,,,
24.9999984,0.000224975,67.74523925,,,,,,,,
25.2,0.000226984,68.23548662,,,,,,,,
25.4000016,0.000229974,68.7258033,,,,,,,,
25.5999996,0.000231983,69.23605973,,,,,,,,
